D94.	Transformation: man to ogre.
G303.3.3.8.	Miscellaneous other animal forms in which the devil appears: bear; ant; wild goose. Fb IV 99a; *Loomis White Magic 74; Spanish Exempla: Keller.
G303.3.4.	Devil in form of inanimate objects.
G303.3.4.1.	Devil in form of wheel on wagon. Fb I 266b.
G303.3.4.2.	Devil as a black ball. Finnish-Swedish: Wessman 9 No. 68.
G303.3.4.2.1.	Devil as a ball of fire. Lithuanian: Balys Legends Nos. 848ff.
G303.3.4.3.	Devil (Black Donald) as a bunch of ferns. Rolls down hill. Scotch: Campbell Superstitions 303.
G303.3.4.4.	Devil as wind. Jewish: Neuman.
G303.3.4.4.1.	Devil as whirlwind. Persons met by him are killed or maimed. Finnish-Swedish: Wessman 14 No. 122.
G303.20.	Ways in which the devil kills people. as a
G303.3.4.5.	, Devil barrel. Rolls and is impossible to catch. Lithuanian: Balys Legends No. 802.
G303.3.4.6.	Devil in shape of a stone. Lithuanian: Balys Historical.
G303.3.4.7.	Devil in the form of a sheaf. Cheremis: Sebeok-Nyerges.
G303.3.4.8.	Devil in form of round bowl. Wales: Baughman.
G303.3.4.9.	Devil in form of house. Wales: Baughman.
G303.3.4.10.	Devil in form of ungainly bundle. U.S.: Baughman.
G303.3.4.11.	Devil as stream of water. Jewish: *Neuman.
G303.3.5.	Devil changes shape. India: *Thompson-Balys.
G303.3.5.1.	Devil becomes larger and larger. Wünsche Teufel 40; Lithuanian: Balys Legends Nos. 532, 539, 542, 556, 722, 780, 839; India: Thompson-Balys.
D1836.	Magic waxing and waning of strength,
F531.6.5.2.	Giants large or small at will.
F531.6.17.2.	Giant inflates self and floats through air.
G365.2.	Ogress can extend leg or arm any distance.
G369.1.1.	Rakshasas have power of extending bodies eighty miles.
G303.3.5.2.	Devil becomes smaller and smaller. Lithuanian: Balys Le- gends Nos. 837f.   ## p. 320 (#338) ############################################  320 Motif-Index of Folk-Literature 9
G303.3.5.3.	Devil becomes heavier and heavier. Animal taken into cart becomes so heavy that horses are unable to pull cart. If it is brought home it turns to stone or tree-stump. Lithuanian: Balys Index No. 3301; Legends Nos. 533, 535, 541ff., 54553, 558.
D1687.	Object magically becomes heavy.
G303.3.6.	Forms into which the devil cannot change.
G303.3.6.1.	Devil cannot change into pike. Fb I 440a.
G303.3.6.2.	Devil cannot change into dove. Tobler 46; England: Baugh- man.
G303.3.6.3.	Devil cannot change into lamb. Tobler 46; England: Baugh- man.
G303.3.6.3.1.	The devil cannot change into a sheep. Dh I 165.
G303.4.	The devil's physical characteristics.
G303.4.1.	The devil's head.
G303.4.1.1.	Devil has ninety-nine heads. Dh I 135.
B15.1.2.	Many-headed animal.
G303.4.1.2.	Devil's eyes.
G303.4.1.2.1.	Devil with eye in middle of forehead. Type 756B; Fb I 189b, 266b; Andrejev FFC LXIX 62.
F512.1.1.	Person with eye in middle of forehead.
G303.4.1.2.2.	Devil with glowing eyes. Fb I 189b, 266b, U.S.: Baughman.
B19.4.	Glowing animals.
G303.4.1.2.3.	Two beams of fire shoot from devil's eyes. England: Hunt Popular Romances 218.
G303.4.1.2.4.	Devil has saucer eyes. English: Hunt 224.
G303.4.1.2.5.	Devil has passionate look in eyes. Wünsche Teufel 59.
G303.4.1.2.6.	Devil has no eyebrows. Cheremis: Sebeok-Nyerges.
G303.4.1.2.7.	Devil is blind. Jewish: Neuman.
G303.4.1.3.	Devil's beard.
G303.4.1.3.1.	Devil has a red beard. Dh I 239; German: Henne-Am Rhyn (1874) 278.
G303.4.1.4.	Devil's nose.
G303.4.1.4.1.	Devil has a long nose. German: Henne-Am Rhyn (1874) 277.
G303.4.1.4.2.	Devil has only one nostril or is without nostrils at all. Lithuanian: Balys Legends Nos. 349, 351, 395, 654f., 657f., 776, 785f., 799, 803, 814. .
G303.4.1.5.	Devil's teeth.
G303.4.1.5.1.	Devil has shining teeth. Girl wishes to marry man whose teeth shine. Such a man appears and they marry. When he removes his hat she finds he is the devil. Spanish: Boggs FFC XC 52 No. 340a, Espinosa Jr. No. 93.
J2355.	Numbskull talks about his secret instructions and thus allows himself to be cheated.   ## p. 321 (#339) ############################################  G. Ogres 321
G303.4.1.5.2.	One of devil's teeth grows down to the earth; another to sky. India: Thompson-Balys.
F545.2.2.	Horns on forehead.
G303.4.1.6.	Devil has horns. Scotland: Baughman; German: Henne-Am Rhyn 278; Italian Novella: Rotunda; Cent Nouvelles Nouvelles No. 70.
F545.2.2.	Horns on forehead.
G303.4.1.6.1.	Devil has two horns. Wünsche Teufel 40.
G303.4.1.6.2.	Devil child born with horns. U.S.: *Baughman.
G303.4.1.7.	The devil's face.
G303.4.1.7.1.	Devil's face is black. Irish myth: *Cross. 2133. Symbolic color: black.
G303.4.1.8.	Devil's hair. Jewish: Neuman.
G303.4.1.8.1.	Devil's hair blood-red. India: Thompson-Balys.
G303.4.1.8.2.	Devil has three golden hairs. *Type 461.
G303.4.2.	The devil's wings.
G303.4.2.1.	The devil has six wings. Dh I 138.
G303.4.2.2.	The devil has twelve wings. Jewish: *Neuman.
G303.4.3.	The devil's thumb.
G303.4.3.1.	Devil has glowing thumb. Wünsche Teufel 44.
G303.4.3.2.	Devil's thumb the size of two fists. Wünsche Teufel 44.
G303.4.4.	Devil has claws. Wünsche Teufel 42f., 83f.
G303.4.4.1.	Devil has five claws. Wünsche Teufel 84.
G303.4.4.2.	Devil has claws on his feet. One can tell a devil by claws protruding through his shoes. Fb II 184, 204b.
G303.4.5.	The devil's feet and legs.
F517.	Person unusual as to his legs.
F517.1.	Person unusual as to his feet.
F531.1.3.	Feet of giant.
F551.	Remarkable feet.
G216.	Witch with extraordinary feet.
G365.	Ogre monstrous as to feet.
G303.4.5.1.	Devils have only one leg. They broke one leg when trying to run away from God's attack to protect himself from them. Dh I 50.
G303.4.5.1.1.	Devil has only one foot. The wolf which he made has eaten the other. Dh I 148.
G303.4.5.1.2.	Devil's shoes are empty. Lithuanian: Balys Legends Nos. 350, 654, 657.
G303.4.5.2.	Devil has a broken foot. He limps. Type 756B; Andrejev FFC LXIX 62, *231 n.; German: Henne-Am Rhyn 277.
G303.4.5.3.	Devil has horse's foot. Type 756B; Hdwb. d. Abergl. III 226; Andrejev FFC LXIX 62; Fb I 601b; Wünsche Teufel 52. Scotch: Campbell Superstitions 290; Finnish-Swedish: Wessman 8 No. 66; Lithuanian: Balys Legends No. 137.
F551.1.2.	Person with horse's foot.
G303.4.5.3.1.	Devil detected by his hoofs. While playing cards the devil drops a card on the floor and his partners notice his monstrous feet. 21   ## p. 322 (#340) ############################################  322 Motif-Index of Folk-Literature England, Wales, U.S.: Baughman; Finnish: Aarne FFC XXXIII 41 No. 34; Estonian: Aarne FFC XXV 120 No. 34; Lithuanian: Balys Index No. 3350, Legends Nos. 676, 793.
N4.	Devil as gambler.
G303.4.5.3.2.	Devil's footprints without any toes. India: Thompson-Balys.
G303.4.5.4.	The devil has goat feet. Irish: O'Suilleabhain 92, Beal XXI 330; England: Baughman; German: Henne-Am Rhyn (Leipzig, 1874) 278.
G303.4.5.4.1.	Devil is betrayed by his goat hoofs. Finnish-Swedish: Wes- man 8 No. 66.
G303.4.5.5.	Devil has pig's foot. Scotch: Campbell Superstitions 290.
G303.4.5.6.	Devil's knees are backwards. Type 756B; Andrejev FFC LXIX 62; Irish myth: *Cross.
A526.8.	Culture hero can turn feet and knees backwards.
F531.1.3.2.	Giant with heels in front.
G303.4.5.7.	Devil has no heels. Bitten off by wolf who was created by devil. Lithuanian: Balys Legends Nos. 139f., 142.
A1833.	Creation of wolf.
G303.4.5.8.	Devil has club foot. England, U.S.: Baughman.
G303.4.5.9.	Devil has cock's feet. Jewish: Neuman.
G303.4.6.	The devil's tail. Lithuanian: Balys Legends No. 792.
G303.4.6.1.	A little girl recognizes the devil by his tail. Estonian: Aarne FFC XXV 119 No. 29; Lithuanian: Balys Index No. 3675, Legends Nos. 382, 395.
F518.	Persons with tails.
G303.4.6.2.	Boy recognizes devil when he fans fire with his tail. Africa (Masai): Fuchs Sagen, Mythen, und Sitten der Masai (Jena, 1910) 21ff. No. 4.
G303.4.7.	Devil speaks with voice of a he-goat. Scotch: Campbell Superstitions 301.
G303.4.8.	Miscellaneous characteristics of devil.
G303.4.8.1.	Devil has sulphurous odor. (Cf.
G303.6.3.	4,
G303.17.2.8.	) Eng- land, U.S.: Baughman; German: Henne-Am Rhyn (1874) 271; Italian Novella: Rotunda; Jewish: Neuman.
G303.4.8.2.	Devil holds molten coin in mouth. Fb I 267a.
G303.4.8.2.1.	Devil holds fire in his hands. Irish: O'Suilleabhain 38.
G303.4.8.3.	Devil claims to be 7,777 years old. Dh I 195. 271. Formulistic numbers.
G303.4.8.4.	Devil never eats in an inn. Devil's coachman observes this. Estonian: Aarne FFC XXV 119 No. 28.
G303.4.8.5.	Devil carries a thorn stick. German: Henne-Am Rhyn 278.
G303.4.8.6.	Devil is swift of foot. Type 756B; Andrejev FFC LXIX 62; Irish myth: Cross.
F681.	Marvelous runner.   ## p. 323 (#341) ############################################  G. Ogres 323
G303.4.8.7.	Devil with pitchfork. North Carolina: Brown Collection I 688.
G303.4.8.8.	Devil laughs (weeps) when men weep (laugh). Cheremis: Sebeok-Nyerges.
G303.4.8.9.	Devil all speckled and spotted. England: Baughman.
G303.4.8.10.	Devil's hand marks person he touches. England, U.S.: *Baughman.
G303.4.8.11.	Devil in animal form cannot be hit by bullets. Scotland, U.S.: *Baughman.
G303.4.8.12.	Devil picks up live coals to light pipe. U.S.: Baughman.
G303.4.8.13.	Devil invisible. Jewish: Neuman.
G303.5.	How the devil is dressed.
G303.5.1.	Devil is dressed in black. French: Sébillot France I 287, III 144; Jewish: *Neuman.
G303.5.1.1.	Devil in a black cloak. German: Henne-Am Rhyn 278.
G303.5.2.	Devil is dressed in green.
G303.5.2.1.	Devil in green clothing with hat. Wünsche Teufel 34f.
G303.5.2.2.	Devil as a hunter in green. Wünsche Teufel 53f., 90f.
G303.5.2.3.	Devil wears a bright green coat. German: Henne-Am Rhyn 278.
G303.5.3.	The devil dressed in red. French: Sébillot France II 29.
G303.5.4.	Devil dressed in blue clothes. Fb I 266a; U.S.: Baughman.
G303.5.5.	Devil dressed in hunting clothes. Wünsche Teufel 65f.
G303.6.	Circumstances of the devil's appearance. Jewish: Neuman.
G303.6.1.	When the devil appears. Danielsson Djävulgestalten i Finlands Svenska Folktro (Helsingfors, 1930) 74.
G303.6.1.1.	Devil appears at midnight. Hunt Popular Romances 230; Wünsche Teufel 54, 59, 106f.; Danielsson op. cit. 77.
G303.6.1.2.	Devil comes when called upon. Fb I 267a, IV 99a; Wünsche Teufel 54, 99; Irish: O'Suilleabhain 34, 59, Beal XXI 312, 323; Eng- lish: Hunt 232, 241; England, Wales: Baughman; Finnish-Swedish: Wessman 12 No. 106; Lithuanian: Balys Legends Nos. 601-604.
C12.	Devil invoked: appears unexpectedly.
C12.5.	Devil's name used in curse. Appears.
G303.6.1.2.1.	Devil writes into book names of those who call on him. Cheremis: Sebeok-Nyerges.
G303.6.1.3.	Devil appears to claim soul offered to devil in jest. Wünsche Teufel 36f.; Irish: O'Suilleabhain 56, Beal XXI 322.
G303.6.1.4.	Devil appears when a woman looks at herself in the mirror after sunset. England, Wales, U.S.: Baughman; French: Sébillot France I 139; Italian Novella: Rotunda. 21*   ## p. 324 (#342) ############################################  324 Motif-Index of Folk-Literature
G303.6.1.5.	Devil appears when cards are played. Fb IV 99a; Scotch: Campbell Superstitions 292.
N4.	Devil as gambler.
G303.6.1.6.	Devil invoked through medium of a black dog. Peru: Jijena Sanchez 132.
G303.6.1.7.	Devil appears on Hallowe'en. Irish myth: Cross.
F211.1.1.	Door to fairyland opens once a year.
G303.6.2.	People to whom the devil appears.
G303.9.4.9.	Devil tries to move repentant sinner to despair.
G303.6.2.1.	Devil appears invisible among dancers. (Cf.
G303.10.4.	) Canada, U.S.:*Baughman (
G303.6.2.	12); Finnish-Swedish: Wessman 10 No. 79; Icelandic: Boberg.
G303.6.2.2.	Devil appears at meetings of witches. Scotch: Campbell Superstitions 292; Finnish-Swedish: Danielsson op. cit. 84.
G303.6.2.3.	Devil appears among youths who jest while they say their evening prayers. Finnish-Swedish: Wessman 10 No. 76.
G303.6.2.4.	Devil visible to one who walks in minister's (or minister's wife's) holy shoes (galoshes). Finnish-Swedish: Wessman 10. No. 79.
G303.6.2.5.	Devil appears to persons ready to abandon their integrity. Scotch: Campbell Superstitions 292.
G303.6.2.6.	Devil appears to minister's serving man to warn of im- pending disaster to the house. Scotch: Campbell Superstitions 298f.
G303.6.2.7.	Devil appears to girl who prays over pit where she has thrown the bodies of her babies. French: Sébillot France II 313.
G303.6.2.8.	Devil appears to dying man. Irish myth: Cross.
G303.6.2.9.	Devil appears to saint (cleric). Irish myth: *Cross.
G303.6.2.9.1.	Saint is able to see devils. *Loomis White Magic 76f.
G303.6.2.10.	Devil appears to scholar. Irish myth: *Cross.
G303.6.2.11.	Devil appears to Eve. Irish myth: *Cross.
G303.6.2.12.	Devil hides in clothes of people running from storm. See references to
G303.6.3.1.1.	Balys Tautosakos Darbai VI 87-100.
G303.6.2.13.	Devil appears to person who cuts both ends off loaf of bread. England: Baughman.
G303.6.2.14.	Devil appears to Sabbath breakers. (Cf.
C631.	) England, Wales: *Baughman.
G303.6.2.15.	Devil appears when person steals.
G303.6.2.15.1.	Devil causes boy to make noise of wind breaking after he has stolen bushel of corn to pay for shoes. (Cf.
D2063.5.	) U.S.: Baugh- man.
G303.6.3.	Natural phenomena accompanying the devil's appearance.
G303.6.3.1.	Devil is followed by a thunderstorm. Dh I 154; England, U.S.: Baughman.   ## p. 325 (#343) ############################################  G. Ogres 325
G303.6.3.1.1.	The devil appears during thunderstorm, seeking shelter among people. Swedish, Lappish, Finnish, Estonian, Livonian, Latvian, Lithuanian, Russian, White Russian: *Balys Tautosakos Darbai VI 87-100.
A162.3.	Thundergod pursues and slays the devil.
G303.6.3.2.	Devil comes in the whirlwind. French: Sébillot France I 113.
F411.1.	Demon travels in whirlwind.
G303.6.3.3.	Devil and the wind travel together. French: Sébillot France II 313.
G303.6.3.4.	Devil appears in an intense light and with strong odor of sulphur. (Cf.
G303.4.8.1.	) Sébillot France II 313; U.S.: Baughman.
G303.6.3.5.	Devil's coming heralded by piercing whistle. German: Grimm No. 195.
G303.7.	How the devil travels.
G303.7.1.	Devil rides horse. U.S.: Baughman; Irish: Beal XXI 322, O'Suilleabhain 55.
G303.7.1.1.	Devil rides on black horse. Wesselski Märchen 199; English: Hunt Popular Romances 217, 222, Baughman.
G303.7.1.2.	Devil's horses are transformed men. Finnish: Aarne FFC XXXIII 40 No. 33; Estonian: Aarne FFC XXV 118 Nos. 25, 33; Lithuanian: Balys Index No. 3304, Legends Nos. 469, 581ff., 585.
G303.7.1.2.1.	Devil's horse has human feet. Finnish: Aarne FFC XXXIII 40 No. 33; Estonian: Aarne FFC XXV 120 No. 33.
G303.7.1.2.2.	Devil (gentleman) invites traveler into his wagon. Explains that his horses are Earl X, etc. (Cf.
G303.25.17.1.	) Estonian: Aarne FFC XXV 118 No. 25.
G303.7.1.2.3.	Devil (gentleman) invites girls into his sleigh. French Ca- nadian: Sister Marie Ursule.
G303.7.1.3.	Devil rides horse at night hunting lost souls over the heath. England: Baughman.
E752.1.1.	Devil in disguise hunts souls.
G303.7.2.	Devil rides away on an ass. Angered because God has not in- vited him to his wedding. Dh I 129.
G303.7.3.	Devil drives horse and wagon. Fb I 266b; Finnish-Swedish: Wessman 9 No. 69.
G303.7.3.1.	Devil in wagon drawn by two black horses carries off im- pious people. Finnish-Swedish: Wessman 13 No. 118; Lithuanian: Balys Legends No. 822.
R11.2.1.	Devil carries away impious people.
G303.7.3.2.	Devil drives carriage drawn by horses whose nostrils shoot fire. Finnish-Swedish: Wessman 9 No. 69; French: Sébillot France I 428.
G303.7.3.3.	Devil in coach drawn by headless horses. English: Hunt Popular Romances 224ff.
B15.1.1.	Headless animals.
E501.4.2.7.	Headless horse in wild hunt.
G303.7.3.4.	Devil pursues man from carriage drawn by four white horses. U.S.: Baughman.   ## p. 326 (#344) ############################################  326 Motif-Index of Folk-Literature
G303.7.3.5.	Devil travels in coach drawn by four blood-red horses, the hoofs of which strike fire from the pavement. German: Grimm No. 120.
G303.7.4.	Devil comes in a cart. Fb I 266b; Lithuanian: Balys Legends No. 776.
G303.7.5.	Devil drives several teams of oxen. English: Hunt Popular Romances 230.
G303.7.6.	Devil rides on hog, drives another. Fb III 676b.
G303.7.7.	Devil drives six he-goats. Wünsche Teufel 41.
G303.7.8.	Devil rides cow until she goes mad. England: Baughman.
G303.7.9.	Devil flies like bird. Jewish: Neuman.
G303.8.	Devil's expulsion from heaven and his present haunts.
F408.	Habitation of spirit.
X424.	The devil in the cemetery.
G303.8.1.	Devil driven from heaven. Spanish Exempla: Keller; Lithua- nian: Balys Index No. 3002, Legends Nos. 5f.; Jewish: *Neuman.
G303.8.1.1.	God has Elias drive devils from heaven. They use thunder, lightning, and rain for forty days. Dh I 133f.
G303.8.1.2.	Archangels Michael and Gabriel drive Satan and other devils from heaven to earth. Dh I 67, 138; Irish: Beal XXI 323, O'Suillea- bhain 59.
G303.8.1.2.1.	Devil becomes an angel. Forced by monk, devil sings a hymn and becomes a white angel as he was before the sin. Lithuanian: Balys Legends No. 670, Balys Ghosts.
G303.8.2.	Devils carry away the sun when they fall from heaven. Dh I 136.
A721.1.	Theft of sun.
G303.8.3.	The devil in hell. Irish myth: *Cross.
Q569.3.	Sinners in hell fall into the mouth of devil.
G303.8.3.1.	Devil is thrust into hell by God. Dh I 5; Lithuanian: Balys Legends Nos. 5f.
G303.8.3.2.	Devil builds himself a castle and calls it hell. Dh I 145.
G303.8.3.3.	Devil's house is visible on the way to hell. Estonian: Aarne FFC XXV 121 No. 38.
G303.8.4.	Devil lives in a church. Fb I 266a.
G303.8.4.1.	Devil bound with huge chain near northern side of Tamdrup church. Fb I 189a.
G303.8.4.2.	Devil in each stone of church built with ill-gotten wealth. Scala Celi 84a No. 481; Spanish Exempla: Keller.
G303.8.5.	Devil in interior of earth. Banished there by God as punish- ment for trying to usurp God's rule of the world. Dh I 208.
G303.8.6.	Devil and his servants live where perjurers dwell. Finnish- Swedish: Wessman 12. No. 107.
G303.8.7.	Devil's abode is between hoofs of swine. Fb I 189a.
G303.8.8.	Devil lives in the water. Dh I 56, 67.   ## p. 327 (#345) ############################################  G. Ogres 327
G303.8.9.	Devils in woman's train. Scala Celi 141a No. 787; *Loomis White Magic 76.
G303.8.9.1.	Devil in fold of knight's cloak. (Cf.
G303.6.2.12.	) Knight per- mits him to lodge there and accompany him to a tournament on con- dition that he leave him without harm upon request. Pauli (ed. Bolte) 93.
G303.8.10.	Devil in dragon's head on a shield. Is expelled by a knight (Percival). Dickson 197 No. 84.
G303.8.11.	Devil in a stone. Irish myth: *Cross; Finnish-Swedish: Wess- man 9 No. 70.
H171.5.	Stone of destiny.
G303.8.12.	Devil in the stable wrapped in horse-hide. Devil chases youth as he hides himself. Estonian: Aarne FFC XXV 122 No. 43. G30 8.13 Devil in the woods.
G303.8.13.1.	Youth meets devil in woods. Scala Celi 120a No. 658.
G303.8.13.2.	Forest devil the one which fell in the forest when driven from heaven. Dh I 67.
G303.8.13.3.	Devil in woods to gather nuts on Christmas Eve. Fb I 266a.
G303.8.14.	Devils dwell in heathen idols, as well as portraits and images. *Loomis White Magic 75.
G303.1.3.4.	Pagan gods become devils.
G303.8.15.	Devil hidden in a corpse. *Loomis White Magic 74.
G303.9.	Deeds of the devil.
G303.9.1.	The devil as a builder. *Broderius 27, 58; Boberg FFC CLI.
F531.6.6.	Giant as builder.
G303.9.1.1.	Devil as builder of bridges. Wünsche Teufel 30—37; England, Wales, U.S.; Baughman; Lithuanian: Balys Index No. 3285, Legends Nos. 489f.; Japanese, Korean: Ikeda.
G303.9.1.2.	Devil as builder of dams. Finnish-Swedish: Wessman 17 No. 155; Wünsche Teufel 29f.
G303.9.1.3.	Devil as builder of mill. Wünsche Teufel 38ff.
G303.9.1.4.	Devil as builder of walls. Wünsche Teufel 27f., 69; England: Baughman.
G303.9.1.5.	Devil as builder of palaces (châteaux). Wünsche Teufel 49f.; Icelandic: Boberg; French: Sébillot France IV 126.
G303.9.1.6.	Devil as builder of churches. Wünsche Teufel 42; Danish: Kristensen Danske Sagn III (1931) 26ff.; Lithuanian: Balys Legends No. 491; French: Sébillot France IV 126.
G303.9.1.7.	Devil builds a road. Wünsche Teufel 37; England, Scotland: Baughman.
G303.9.1.8.	Devil builds a ditch. Wünsche Teufel 37f.; England: Baugh- man.
G303.9.1.9.	Devil builds two islands in a lake. Wünsche Teufel 30.   ## p. 328 (#346) ############################################  328 Motif-Index of Folk-Literature
G303.9.1.10.	Devil builds an inn for a man in competition with a church being built. Wünsche Teufel 44.
G303.9.1.11.	Devil builds Mont Saint Michel. French: Sébillot France IV 11.
G303.9.1.12.	Devil helps build Halberstadt Cathedral thinking a tavern is being built. Wünsche Teufel 44.
G303.9.1.13.	Devil builds a building. England, U.S.: *Baughman.
M211.2.	Man sells soul to devil in return for devil's building house (barn).
G303.9.1.14.	Satan builds idol. Jewish: Neuman.
G303.9.1.15.	Satan builds another world. Jewish: Neuman.
G303.9.2.	The devil performs deeds of unusual strength.
F610.	Remarkably strong man.
G303.9.2.1.	Devil pulls up tree to goad his oxen. English: Hunt Popular Romances 230, Baughman.
F621.	Strong man: tree-puller.
G303.9.2.2.	Devil builds road for farmer in one day. Wünsche Teufel 50f.
H1091.	Tasks requiring miraculous speed.
G303.9.2.3.	Devil plows and plants grain for farmer in one day. Wünsche Teufel 50f.
G303.9.2.4.	Devil and Drake carry waters of English Channel from Dart- moor to Plymouth. English: Hunt Popular Romances 231, Baughman.
G303.9.2.5.	Devil and Michael Scott carry tide an additional five miles up River Wansbeck. England: Baughman.
G303.9.3.	The devil hires out.
G303.9.3.1.	Devil hires out to a farmer. Wünsche Teufel 71f.; Irish: Beal XXI 314, O'Suilleabhain 38; Lithuanian: Balys Index Nos. 329ff., Legends Nos. 505-524.
G303.9.3.1.1.	The devil takes service with a farmer in return for the bread he stole. Punishes the evil landowner and makes his master prosperous. Lithuanian: Balys Index No. 3290, Legends Nos. 505511.
F613.	Strong man makes labor contract.
G303.9.3.2.	Devil is employed as a midwife. Lappish: Qvigstad FFC LX 43 No. 30.
G303.9.3.3.	Devils help people at work, but are feared nevertheless. Lithuanian: Balys Legends Nos. 790—794.
G303.9.3.4.	The devil is always to blame. Even when he tries to be helpful to man. Lithuanian: Balys Index No. 3340, Legends Nos. 659— 663; Estonian: Aarne FFC XXV 41 No. 49.
G303.9.4.	The devil as a tempter. Irish myth: *Cross; Icelandic: Boberg; Jewish: *Neuman.
Q582.2.	Man brings fire to his house at devil's temptation: burns to death.
G303.9.4.0.1.	Satan causes storm to destroy property of man he tempts. Jewish: Neuman.   ## p. 329 (#347) ############################################  G. Ogres 329
G303.9.4.0.2.	Satan smites man he tempts with leprosy. Jewish: Neuman.
G303.9.4.1.	Devil gives Eve two grains of corn. One is for her and one for Adam. Dh I 212.
G303.9.4.2.	Devil persuades man to commit suicide. Scala Celi 153a No. 843; Lithuanian: Balys Legends No. 758; Spanish Exempla: Keller.
G303.9.4.2.1.	The devil teaches man how to hang himself. Lithuanian: Balys Legends Nos. 610_614.
N334.2.	Hanging in game or jest accidentally proves fatal.
G303.9.4.3.	Devil tries to get man to kill his bride (wife). Finnish- Swedish: Wessman 12 No. 104.
G303.9.4.4.	Devil tempts cleric (hermit). Pauli (ed. Bolte) No. 670; Scala Celi 5b, 165a, 166a Nos. 29, 930, 938; Alphabet Nos. 28, 128, 129; Irish myth: *Cross; English: Hunt Popular Romances 232; Spanish Exempla: Keller; Buddhist myth: Malalasekera I 388, II 1059.
G303.9.4.5.	Devils appear to knight to try to call him from doing penance. Scala Celi 162a No. 919.
G303.9.4.5.1.	Devil by trick conjures vision to make idolators of believers. Jewish: Neuman.
G303.9.4.5.2.	Disguised devil as messenger to adulterous people. Irish Myth: Cross.
T481.	Adultery.
G303.9.4.5.3.	Satan stops men from praying. Jewish: Neuman.
G303.9.4.6.	Devil tempts saints. Scala Celi 112a, 154b Nos. 623, 855; Dh I 174. Irish myth: Cross.
G303.9.4.6.1.	Devil instructs saint on virtues by which to attain Heaven. Irish myth: Cross.
G303.9.4.7.	Devil tempts girl. Scala Celi 47b No. 267; Lithuanian: Balys Legends Nos. 395f., 399; West Indies: Flowers 447f.
T332.	Man tempted by fiend on woman's shape.
G303.9.4.7.1.	Devil and girl. “Are you lonely?” Girl: “No, devil, with God and angels.” Lithuanian: Balys Legends No. 365.
G303.16.8.	Devil leaves at mention of God's name.
H335.8.	Devil as suitor assigned tasks.
K1227.3.	Respite from wooer while he brings clothes all night.
G303.9.4.8.	Devil tempts youth to deny Virgin. Promises youth riches. Scala Celi No. 658.
G303.9.4.9.	Devil tries to move repentant sinner to despair. Irish myth: Cross.
G303.9.4.10.	Woman worships the devil. Irish myth: Cross.
G303.9.5.	The devil as an abductor. Fb I 266a, 267a; Dh I 176; French: Sébillot France II 38, IV 341; Jewish: *Neuman; West Indies: Flowers 448f.
E752.2.	Soul carried off by devil.
G275.1.	Witch carried off by devil.
G275.1.1.	Witch carried off by devil's crew.
M215.	With his whole heart: devil carries off judge.
R11.2.1.	Devil carries off wicked people.
G303.9.5.1.	Devil abducts girl: has her hang about his neck and he flees to hell. Wünsche Teufel 65f.   ## p. 330 (#348) ############################################  330 Motif-Index of Folk-Literature
G303.9.5.2.	Devil carries away a lord on his back. French: Sébillot France IV 341; Spanish Exempla: Keller.
G303.9.5.3.	Devil compels two miners to follow him. English: Hunt Popular Romances 218.
G303.9.5.4.	Devil carries man through air as swift as wind (thought). Finnish: FFC XXXIII 41 No. 37; Estonian: Aarne FFC XXV 121 No. 37.
D2122.3.	Magic journey as swift as thought.
G303.9.5.5.	Devil combs Mme. Anna's hair while he takes her away. Fb I 266b.
G303.9.5.6.	Man temporarily abducted by devil. Lithuanian: Balys Le- gends No. 710; Estonian and Latvian: Tautosakos Darbai VI 19_23.
G303.9.5.7.	Devil carries a Jew to hell. Lithuanian: Balys Index No. 3335, Legends No. 650ff.
E752.2.	Soul carried off by demon (devil).
M211.4.	Jews must repay devil's help.
R11.2.1.	Devil carries off wicked people.
V360.	Christian traditions concerning Jews.
G303.9.5.8.	Devil takes violinist when he needs a good fiddler in hell. England: Baughman.
G303.9.6.	The devil fights.
E756.3.	Raven and devil fight over man's soul.
G303.9.6.0.1.	The devil is armed. Irish myth: Cross.
G303.9.6.1.	Devil fights with man. Estonian: Aarne FFC XXV 121 No. 35. G30 6.1.1. Devil is overcome by man in fight. Man pulls out one of his horns and beats him with it. Cent Nouvelles Nouvelles No. 70; Italian Novella: *Rotunda.
G303.9.6.1.2.	Satan fights Israel. Jewish: Neuman.
G303.9.6.2.	Satan attacks saints. Kittredge Witchcraft 218, 525 nn. 49, 50; Dh I 138; Irish myth: Cross; England: Baughman; French: Sébillot France II 128, III 530.
G303.9.6.2.	1: Devil inflames saint's injured eye. Irish myth: Cross.
F402.1.5.	Demon (crosan) causes disease. .
G303.9.7.	The devil advises human beings.
G303.9.7.1.	Devil advises young girl not to go to a castle. Later, when she returns pregnant she says that the devil advised her to serve at the castle. He slaps her and tells her she is lying. Pauli (ed. Bolte) No. 84; Lithuanian: Balys Legends No. 664.
G303.9.7.2.	Devil exhorts youth to enjoy himself and not to think of God. When the youth has grown old the devil says, “It is now too late to think of God." Type 823*.
G303.9.7.3.	The devil advises a suspicious husband. The Ring of Hans Garvel. Appears in a dream and hands the husband a ring. “When you wear this ring you will be sure of your wife.” He awakens to un- derstand the obscene implication. Cent Nouvelles Nouvelles no. 11; Italian Novella: *Rotunda.
D1076.	Magic ring.
