A1541.	Origin of religious feasts.
V222.4.	) Irish myth: Cross.
V211.1.2.	Star shines through day of Nativity. (Cf.
F961.2.	) Irish myth: Cross.
V211.1.2.1.	Hairy star appears before Nativity. Irish myth: Cross.
V211.1.3.	Shining cloud marks place of Nativity. Irish myth: Cross.
V211.1.3.1.	Vast intolerable light on night of Christ's Nativity. Irish myth: Cross.
V211.1.4.	Virgin suffers no birth pangs at Christ's Nativity. Irish myth: Cross.
V211.1.5.	Elements silent and motionless at Nativity. Irish myth: Cross.
V211.1.6.	A "crown of thorns" among gifts given by the shepherds to Joseph, husband of Virgin Mary. Irish myth: Cross.   ## p. 451 (#455) ############################################  V. Religion 451
V211.1.7.	Three (seven) druids come to adore infant Jesus. Irish myth: *Cross.
V211.1.8.	The Infant Jesus. Irish myth: Cross.
V211.1.8.1.	Christ in form of an infant nursed by saint. Irish myth: Cross.
V211.1.8.2.	Christ in form of an infant fondled by nuns. Irish myth: Cross.
V211.1.8.3.	Christ as infant in mother's arms causes bare hillside to become field of wheat as protection. Irish myth: Cross.
V211.2.	Christ on earth. Irish myth: Cross.
A972.1.1.	Indentations on rocks from footprints of Christ.
K1811.	Gods (saints) in disguise visit mortals.
V227.	Saints have divine visitors.
V211.2.1.	Fiery pillar as sign of Christ's visit. (Cf.
F964.0.1.	) Irish myth: Cross.
V211.2.1.1.	Christ disguised as leper. Irish myth: *Cross.
V211.2.1.2.	Christ disguised as beggar. Irish myth: *Cross.
V211.2.1.2.1.	Jesus had "dark hair and a long red beard". Irish myth: Cross.
V211.2.2.	Christ leaves bachall after visit. (Cf.
D1277.	) Irish myth: *Cross.
V211.2.3.	The Crucifixion. Irish myth: *Cross.
A2221.2.	Animals blessed for good services at crucifixion.
F960.2.	Extra- ordinary nature phenomena at death of hero.
V211.2.3.0.1.	Angel warns of Christ's danger. Irish myth: Cross.
V238.	Guardian angel.
V211.2.3.0.2.	Smith's wife made nails for the Cross because her hus- band believed Christ to be a true prophet. *Loomis White Magic 51f.
V211.2.3.1.	Earth trembles at Crucifixion. Irish myth: Cross.
V211.2.3.2.	Moon bloody at Crucifixion. (Cf.
F961.3.	) Irish myth: Cross.
V211.2.3.3.	Sun darkened at Crucifixion. (Cf.
F965.2.	) Irish myth: Cross.
V211.3.	Finding of the Cross. Irish myth: Cross.
V211.4.	Construction of the Cross.
V211.4.1.	Cross of Christ made of four kinds of wood. Irish myth: *Cross.
V211.5.	The five wounds of Christ. Irish myth: Cross.
V211.5.1.	Blood and wine issue from wound in side of crucified Savior. Irish myth: *Cross.
V211.6.	Dialogue between Christ and the Virgin Mary. Irish myth: Cross.
V211.7.	Christ's descent to hell. Irish myth: Cross.
V211.7.1.	The harrowing of hell. Irish myth: *Cross.
V211.7.2.	Dialogue (debate) between Christ and Satan (at the harrowing of hell). Irish myth: *Cross. 29*   ## p. 452 (#456) ############################################  452 Motif-Index of Folk-Literature
V211.7.3.	The three bolts left on hell by Christ. Irish myth: Cross.
V211.8.	Christ's resurrection (on March 27). Irish myth: Cross.
V211.9.	Christ's ascent to Heaven (on May 5). Irish myth: Cross.
V211.10.	Letter (message) of Christ. Irish myth: *Cross. Cf. North Caro- lina: Brown Collection I 642.
V211.10.1.	Christ sends message to voyaging clerics. Irish myth: Cross.
V212.	Buddha.
V212.1.	340.
V212.2.	Sacred books received from Buddha in person. Chinese: Werner Precepts heard from Buddha in person. India: Thompson-Balys.
V220.	Saints. **Toldo Studien zur vgl. Litgsch. I-IX passim; **Saint- yves Saints Successeurs 23-26; *Encyc. Rel. Ethics Index 514a. Norwegian: Solheim Register 22; Jewish: Neuman; Chinese: Eber- hard FFC CXX 140-42, 162, 210, 411. For references in addition to those given below, see volume VI s.v. "Saints".
A581.3.	Culture hero returns to prove power of saint.
A661.0.1.2.	Saint Peter as porter of heaven.
A725.1.	Sun does not set for a year through power of saint.
A934.5.	Rivers originate through saint's prayer during drought.
A941.5.	Spring breaks forth through power of saint.
A972.1.	Indentions on rocks from imprints of gods and saints.
A974.1.	Certain stones are druids transformed by power of saint.
A2002.	Origin of insects from various experiences of saints.
A2217.3.1.	Marks on certain fish from St. Peter's fingerprints.
A2231.1.	Animal characteristics: punish- ment for discourteous answer to God (saint).
B155.3.	Animal determines burial place of saint.
B251.2.	Animals honor saint.
B256.	Animal as servant of saint.
B524.2.1.1.	Saint sends swarm of bees or wasps against the enemy.
B771.2.	Animal tamed by holiness of saint.
C51.2.	Tabu: stealing from god or saint.
C901.1.6.	Tabu imposed by saint.
D480.0.1.	Things miraculously stretched or shortened if needed by saint.
D683.4.	Transformation by saint.
D812.1.	Magic object received from saint.
D1093.1.	The boomerang effect of hurled missiles caused by saint.
D1277.	Magic bachall. D1311,16.0.1. Saint's blessing makes stone oracular.
D1313.11.	Magic fountain indicates road for saint by removing itself.
D1331.4.1.	Saint's gospel-book causes sight-shifting.
D1337.1.6.	Beautification by use of saint's spittle.
D1344.6.	Saint's tunic renders invulnerable.
D1344.7.	Saint's girdle renders invulnerable.
D1344.8.	Saint's cowl renders invulner- able.
D1355.2.1.	Water blessed by saint as love-philtre.
D1356.1.	Saint's girdle represses lust.
D1361.12.1.	Saint's tunic renders invisible.
D1361.16.	Saint's cowl renders invisible.
D1364.5.	Saint's breath causes magic sleep.
D1364.7.1.	Liquor blessed by saint causes magic sleep.
D1381.2.	Saint's spittle protects fugitive from attack.
D1381.12.	Saint's bachall keeps off enemies.
D1385.1.	Earth from saint's grave expels demons.
D1385.8.	Saint's bachall keeps off monsters and ghosts.
D1385.12.1.	Saint's bell rung against black birds (demons).
D1385.19.1.	Saint's hose protects woman from devil.
D1388.1.1.	Saint's bachall protects from shipwreck.
D1389.6.	Saint's bell carried around tribe averts all danger.
D1391.2.	Saint's bachall saves prisoner from execution.
D1395.4.	Saint's bachall enables captive to escape.
D1400.1.9.	Saint's bell conquers enemies.
D1400.1.12.	Saint's bachall defeats enemies.
D1442.3.	Saint's bachall subdues wild animals.
D1444.1.1.	Saint's bachall catches fish.
D1446.1.	Saint's bell keeps cattle from straying.
D1446.2.	Saint's gospel-book keeps cattle from straying.
D1524.1.2.	Saint's bachall permits him to walk on sea.
D1549.2.	Saint's girdle causes tree to fall in right direction.
D1549.3.1.	Saint's bachall drives back flooding river.
D1549.3.2.	Saint's bachall leads stream through mountain (or up hill).
D1549.4.	Saint's bachall brings down mountain on heads of enemies.
D1549.6.	Saint's veil quells volcano.
D1551.5.	Saint's bachall causes sea to divide.
D1563.1.4.	Saint's bell starts crops growing.
D1564.2.	Saint's spittle splits rocks.
D1564.3.	Saint's bachall splits rock, cuts stone, and cleaves ground.
D1565.4.	Saint's breath restores shattered vessel.
D1566.1.4.	Saint's breath kindles lamp.
D1566.2.1.	Saint's bachall quenches fire.
D1567.1.	Saint's blood produces fountain.
D1567.2.	Saint's tears produce fountains.
D1567.3.	Water poured from saint's bell pro- duces fountain.
D1567.4.	Saint's bachall produces fountain.
D1567.5.	Saint's crozier produces fountain.
D1572.	Magic smoke carries power of saint.
D1574.	Line drawn by saint's bachall separates calves from their mothers.
D1602.2.1.	Fallen trees upraised at saint's request.
D1602.8.	Saint's bell when stolen miraculously returns.
D1602.9.	Saint's bachall when lost   ## p. 453 (#457) ############################################  V. Religion 453 returns.
D1610.15.2.	Saint's bell speaks.
D1622.3.	Saint's image lets golden shoe (ring) fall as sign of favor to suppliant.
D1652.16.	Lime (for building church) miraculously renewed by power of saint.
D1654.0.1.	Magic im- movability of saints (or their possessions).
D1674.	Iron blessed by saint incapable of wounding.
D1677.	Mill refuses to work when saint is ill- treated.
D1684.	Dye blessed by saint colors animals, trees.
D1685.	Interred body of saint performs signs and miracles.
D1713.	Magic power of hermit (saint, yogi).
D1719.1.1.	Contest in magic between druid and saint.
D1722.	Magic power from saint.
D1741.7.	Saint causes loss of magic power.
D1766.7.3.	Magic results produced in name of saint.
D1820.1.	Magic sight of saints.
D1840.1.	Magic invulnerability of saints.
D1841.3.2.3.1.	Saint carries fire in hand to warm guests.
D1882.1.	Rejuvenation by saint.
D1925.4.	Barrenness removed by saint's blessing.
D1926.	Craftsmanship magically bestowed by saint.
D1981.2.	Magic invisibility of saints.
D2031.0.1.	Saints causes illusions.
D2072.3.	Magic paralysis caused by saint.
D2084.3.	Saint causes dyes to work incorrectly.
D2089.4.	Saint causes mill to turn backwards.
D2102.3.	Saint magically produces treasure.
D2106.1.	Magic multiplication of objects by saints.
D2125.1.1.1.	Saint rides blessed wave.
D2135.3.	Stones fly through the air at saint's bidding.
D2136.4.1.	Saint drives lake into sea.
D2140.1.	Control of weather by saint's prayers.
D2141.0.9.	Storm raised by saint.
D2143.1.12.	Arrival of saint brings rain to rainless land.
D2146.2.5.	Saint banishes night for a year.
D2148.2.	Saint is able to produce earthquakes at will.
D2148.3.	Stopping the eruption of a volcano by a saint.
D2149.2.	Saint magically causes mountain to melt away.
D2149.3.	Saint causes sun to come down and cook for him.
D2151.0.1.	Saint regu- lates temperature of waters.
D2151.1.2.2.	Tide held back by saint.
D2152.5.	Mountain moved by saint.
D2156.3.	Saint forces beast to bring back stolen child.
D2156.4.	Wild boar reprimanded by saint.
D2156.5.	Vicious snakes controlled by saint.
D2156.6.	Saint destroys disastrous insects.
D2157.2.1.	Magic quick growth of saint's crops.
D2157.3.	Withered and dead trees suddenly blossom at saint's command.
D2158.1.3.	Fire obeys the saints.
D2161.5.1.	Cure by holy man.
D2176.0.1.	Saint sanctifies locality against death.
D2176.3.3.	Evil spirit exorcised by saint.
D2182.	Flow of cow's milk increased by licking saint's garment.
E1.1.	Saint cut into pieces or decapitated comes back to life.
E64.3.1.	Resuscitation by saint's bell.
E64.4.1.	Resuscitation by saint's bachall.
E121.4.	Resuscitation by saint.
E501.1.6.	Saint as leader of wild hunt.
E545.7.	Holy man converses with entombed dead.
F552.1.2.	Fingers of saint (angel) give light or fire.
F555.3.2.	Holy man's hair of enormous length, so long has he remained praying at one spot.
F624.0.1.	Saint as mighty lifter.
F660.2.	Unskilled man made skillful by saint's blessing.
F866.7.2.	Saint able to carry fluid (water, wine or oil) in a broken container, bottomless jar, etc.
F930.1.	Book dropped in water by saint not wet.
F932.2.	River arches over saint's body like a vault.
F932.3.	Stream becomes hot in which saint performs his ascetic devotions.
F933.1.	Miraculous spring bursts forth for holy person.
F971.5.1.	Fruit produced out of season at saint's request.
F971.6.	Flowers spring up when saint strikes ground.
F979.1.	Sour fruits made sweet by saint.
F979.2.	Leaves of tree open and close to give saint passage.
F979.3.	Leaves of tree make melody for saints.
F1041.16.4.	Heat of saint's anger sets cowl afire.
F1051.	Prodigious weeping. Usually by saint.
F1086.	Saint preaches for three days and three nights.
G303.6.2.9.1.	Saint is able to see devils.
G303.9.6.2.	Satan attacks saints.
G303.16.11.4.	Saint expels devil to hell.
H984.	Tasks performed with help of saint.
H1573.2.1.	Magic manifestation required as proof in test of saintliness.
K405.3.	Thief successfully claims that stolen image has been given him by the saint himself.
K1811.	Gods (saints) in disguise visit mortals.
K1827.	Disguise as holy man,
K1842.	Living person acts as image of saint.
M364.11.	Everyone buried in saint's soil shall go to heaven.
M411.8.	Saint's (prophet's) curse.
M414.3.	Saint cursed.
N848.	Saint (pious man) as helper.
Q1.1.	Gods (saints) in disguise reward hospitality and punish inhospitality.
Q42.3.	Generosity to saint (god) in disguise rewarded.
Q292.1.	Inhospitality to saint (god) punished.
Q552.2.3.1.1.	Earth swallows man who opposes saint.
Q552.2.3.3.	Saint causes parricide to sink into earth to his knees.
Q558.18.	Saints bring about miraculous death because of desecration of sanctuaries.
R121.6.	Rescue from prison by saint who enters and breaks fetters.
R165.	Rescue by saint (holy man).
R165.2.	Innocently hanged person saved by saint.
T312.	Saint's daughter dies when wooed.
T540.1.	Supernatural birth of saints.
T579.4.	Mother of saint has healing spittle during pregnancy.
X452.1.	No need to give sermon about saint again.
V221.	Miraculous healing by saints. Encyc. Rel. Ethics Index 246a; Irish myth: *Cross; India: Thompson-Balys; Icelandic: *Boberg.
D1500.1.1.1.	Magic healing well dug by saint.
D1500.1.1.2.	The water of spring which saint caused to flow has curative powers.
D1500.1.7.1.1.	Ma- gic head (of saint) heals diseases.
D1500.1.7.2.1.	Healing power of saint's saliva.
D1500.1.10.2.1.	Wine blessed by saint or received from the saint's hand cures various ills.
D1500.1.13.1.	Saint's girdle as magic cure.
D1500.1.18.1.	Dew from saint's grave as cure.
D1500.1.33.1.1.	Cures by the   ## p. 454 (#458) ############################################  454 Motif-Index of Folk-Literature milk of the mothers of saints.
D1500.3.2.	Disease transferred to saint's bell.
D1500.1.1.	Saint causes pain of sick man to be transferred to him- self.
D1500.4.2.1.	Saint's breath makes men drunk.
D1505.10.	Saint's breath restores sight.
D1507.2.	Saint's gospel-book restores speech.
D1507.3.	Saint's bell restores speech.
D1507.4.	Saint's breath restores speech.
D1508.1.	Saint's bell restores reason.
T579.4.	Mother of saint has healing spittle during pregnancy.
V221.0.1.	Relics of saint cure disease. Alphabet Nos. 398, 432; *Loomis White Magic 104.
D1500.	Magic object controls disease.
V140.	Sacred relics.
V221.0.1.1.	Oil flowing from relics has curative powers. *Loomis White Magic 104.
V221.0.1.2.	The wine (water) occasionally used to bathe relics assumes healing powers. *Loomis White Magic 104.
V221.0.1.3.	Shrine of saint carried around to supress pestilence. *Loomis White Magic 105.
V221.0.2.	Saint miraculously healed. Irish myth: Cross.
V221.0.2.1.	Crippled saint miraculously receives horse and chariot. Irish myth: Cross.
V221.0.3.	Miraculous healing power of saint as child. *Loomis White Magic 25.
V221.1.	Saint cures palsy. Alphabet No. 731; Irish myth: *Cross.
V221.2.	Saint restores dumb man's speech. (Cf.
D1507.	) Alphabet No. 401; Icelandic: *Boberg.
V221.3.	Saint cures leprosy. Irish myth: *Cross.
D1502.4.	Magic object cures leprosy.
V221.3.1.	Leper cured by the kiss of a saint. *Loomis White Magic 103.
V221.4.	Saint subdues madman. (Cf.
D1508.1.	) Irish myth: *Cross.
V221.4.0.1.	Saint cures frenzied animal. Irish myth: *Cross.
B255.	Miracle wrought for animal.
V221.4.0.1.1.	Saint's blessing sufficient to control a mad dog. *Loomis White Magic 106.
V221.5.	Saint purifies monk with sign of the cross. (Cf.
D1766.6.	) Irish myth: Cross.
V221.6.	Saint sustains man on gallows. Spanish Exempla: Keller.
V221.7.	Woman relieved of incurable malady by kissing letter from saint. (Cf.
D1266.1.	) *Loomis White Magic 105.
V221.8.	Wounds cured by saint leave no scars. *Loomis White Magic 106.
V221.9.	Cut off parts of body attached again by saint. *Loomis White Magic 84.
V221.10.	Men with enormous and unnatural appetite cured by saint. Irish myth: Cross.
V221.11.	Saint cures dumb person. Irish myth: *Cross.
V221.12.	Saint cures blindness. Irish myth: *Cross.   ## p. 455 (#459) ############################################  V. Religion 455
V222.	Miraculous manifestation acclaims saint. Alphabet Nos. 345, 354, 602, 637, 762; Irish: Beal XXI 305, 326, 335, O'Suilleabhain 70f., 115; Spanish: Keller, Espinosa Jr. Nos. 45, 182; India: Thompson-Balys.
D1313.11.	Magic fountain indicates road for saint by removing itself.
D1361.39.	Fact that woman bears future saint in womb renders her invi- sible.
D1648.1.2.	Tree bows down to holy person.
F960.1.	Extraordinary nature phenomena at birth of holy person.
F961.2.1.	Bright star indicates birth of holy person.
F960.2.6.	Winter's day changes to summer's day at saint's funeral.
F979.2.	Leaves of tree open and close to give saint pas- sage.
H1573.2.1.	Magic manifestation required as proof in test of saint- liness.
V222.0.1.	Birth of saint predicted by visions of miracles. Irish myth: *Cross.
M364.7.	Coming (birth) of saint prophesied.
V510.	Religious visions.
V222.0.1.1.	Pillar of fire rises over woman pregnant with future saint. Irish myth: Cross.
F964.0.1.	Pillar of fire in sky.
V222.0.1.2.	Saint identified by pillar of fire above her head. Irish myth: *Cross.
V222.0.1.3.	Dazzling heavenly light by day and night marks place of saint's birth. Irish myth: *Cross.
V222.0.2.	Angels appear above place where saint is born. Irish myth: Cross.
V222.1.	Marvelous light accompanying saint. Alphabet No. 473; Plum- mer cxxxviii, clxxviii; Loomis White Magic 27f.; Irish myth: *Cross; Icelandic: *Boberg.
F960.1.3.	Exhibition of lights at saint's birth.
F969.3.2.	Hero's light: appears around head of hero aroused to extraordinary feats of valor.
F969.3.1.	Marvelous light reveals man hiding from saint.
V222.1.0.1.	Supernaturally bright light marks sleeping infant saint. Irish myth: Cross.
V222.1.0.2.	"Fair Drop" from Heaven falls upon infant saint. Irish myth: Cross.
V222.1.1.	Radiance fills church when saint dies. Irish myth: *Cross.
V222.1.2.	Hand of saint made bright by Lord's touch. Too splendid for man's sight thereafter. Irish myth: *Cross.
F552.1.2.	Fingers of saint give light or fire. F574, Luminous person.
V227.	Saints have divine visitors.
V222.1.3.	Column of light descends from heaven upon chosen man. Loo- mis White Magic 28.
V222.1.4.	Lights shov where the body of saint is buried. Loomis White Magic 28.
V222.2.	Brake in which saint loses tooth bursts into flame. Irish myth: Cross.
V222.3.	Choral singing accompanies saint. Irish myth: Cross.
F966.	Voices from heaven (or from the air).
V222.4.	House of saint filled with fragrance. Irish myth: *Cross.
V211.1.1.	Air fragrant at Nativity.   ## p. 456 (#460) ############################################  456 Motif-Index of Folk-Literature
V222.4.1.	Aromatic smell of a saint's body. *Loomis White Magic 54f.
V222.5.	Oil bursts from ground as saint is made bishop. Irish myth: Cross.
V222.6.	Bell sounds at approach of saint. Irish myth: Cross; England: Baughman; India: Thompson-Balys.
D1601.18.1.	Self-ringing bell.
F960.1.4.	Bells ring without human hands when a saint is born.
V222.6.1.	Church bells ring without aid of human hands at death of holy person. *Loomis White Magic 52.
V222.7.	Dead holy man stretches hand from tomb to honor saint. Irish myth: *Cross.
E542.	Dead man touches living.
V222.8.	Holy man passes through fire for his faith. Only his clothing burns. Spanish Exempla: Keller.
D1841.3.2.	Fire does not injure saint.
V222.9.	Earthquake accompanies entrance of holy man into palace of heathen emperor. Irish myth: Cross.
V222.10.	Saint falling into an abyss found perched in the branches of a tree which projected from the cliff. As soon as the man is drawn up, the tree vanishes. *Loomis White Magic 127.
V222.11.	Flowers fall from saint's mouth while he speaks. (Cf.
D1454.2.1.	) *Loomis White Magic 95.
V222.12.	Holy man restores a garden to bloom. India: *Thompson-Balys.
V222.13.	Sun sends shaft of heat to cook meat given persecuted saint. India: Thompson-Balys.
V222.14.	Roses lose thorns when saint walks on them. England: Baugh- man.
V222.15.	Saint changes maggots in the sores of a nun into precious stones. Spanish Exempla: Keller.
V222.16.	Robbers who enter saint's garden to steal are caused to spade it up for him. This proves him to be saint. Spanish Exempla: Keller.
V223.	Saints have miraculous knowledge. Alphabet No. 482; *Loomis White Magic 72f.; Irish myth: *Cross; Swiss: Jegerlehner Oberwallis 307 No. 25.
D1810.0.3.	Magic knowledge of saints.
D1812.0.2.	Saints have foreknow- ledge of coming of guests.
D1817.2.	Saints magically detect crime.
M301.5.	Saints (holy men) as prophets.
V511.1.1.	Saints have visions of heaven.
V223.1.	Saint gives advice. Chinese: Eberhard FFC CXX 119f.
V223.2.	Saint warns against poisoned well. Chinese: Eberhard FFC CXX 114 No. 99.
V223.3.	Saint can perceive the thoughts of another man and reveal hid- den sins. Irish myth: *Cross.
V223.4.	Saint helps with learning.
V223.4.1.	Truant boy learns long lesson while asleep with head in saint's lap. Irish myth: *Cross.   ## p. 457 (#461) ############################################  V. Religion 457
V223.5.	Saints blessed with ability to discourse in the native idioms of the people whom they visit. *Loomis White Magic 72.
V223.5.1.	Saint understands language of wren, fly, cat. Irish myth: Cross.
B216.	Knowledge of animal languages.
V223.6.	Saint as prognosticator. India: Thompson-Balys.
V223.6.1.	Saint can foretell the weather. Irish myth: Cross.
V224.	Miraculous replacement of objects (animals) for saint. Irish myth: Cross.
V224.1.	
D1602.	Self-returning magic object.
D2178.	Objects produced by magic.
V411.5.	Treasure given away by saint miraculously restored.
V411.6.	Food given away by saint miraculously restored. Objects used as firewood for saint miraculously replaced. Irish myth: *Cross.
V224.2.	Food (animals) eaten by saint miraculously replaced. Loomis White Magic 70; Irish myth: *Cross; India: Thompson-Balys.
D2105.	Provisions magically furnished.
E32.	Resuscitated eaten animal.
V224.3.	Animals stolen from saint miraculously replaced. Irish myth: *Cross.
V224.4.	
C51.2.	Tabu: stealing from god or saint.
K423.0.1.	Stolen animal returns to owner. Performing fox accidentally killed miraculously replaced for saint. Irish myth: Cross.
V224.5.	Supply of lime for building church miraculously renewed for saint. Irish myth: Cross.
V225.	Saints in several places at once. *Toldo V 343; *Loomis White Magic 131.
V226.	Saints as hermits. *Toldo II 99; Irish myth: Cross; Icelandic: Bo- berg.
V227.	Saints have divine visitors. *Toldo IV 49ff.; Irish myth: *Cross; India: Thompson-Balys.
K1811.	Gods (saints) in disguise visit mortals.
V235.	Mortal visited by angel.
V227.1.	God gives staff of Jesus to saint. Irish myth: *Cross.
D811.	Magic object received from God (a god).
V228.	Immunities of saints (holy men). (Cf.
D1840.	)
V228.1.	Saint immune to poisoning. India: Thompson-Balys.
V228.1.1.	Saint drinks poison without being injured. Irish myth: *Cross.
V228.2.	Anchorite immune to magician's powers. India: Thompson- Balys.
V229.	Saints-miscellaneous. Irish myth: Cross.
V229.1.	Saint commands return from dead with supernatural infor- mation. Irish myth: Cross.
V229.2.	Sanctity of saints. Irish myth: Cross.
T585.4.	Infant saint rebukes mother's impiety.
V238.	Guardian angel.   ## p. 458 (#462) ############################################  458 Motif-Index of Folk-Literature
V229.2.1.	Saintly babe repeatedly found with arms extended in form of cross. Irish myth: Cross.
V229.2.2.	Saintly babe disgorges unclean food. Irish myth: *Cross.
V229.2.3.	Saint will drink only milk of cow milked by faithful woman. Irish myth: Cross.
V229.2.3.1.	Saint as baby refuses to take mother's breast on Wednesdays and Fridays. *Loomis White Magic 114.
V229.2.4.	Baptism of a wonder child is accompanied by a variety of phenomena. *Loomis White Magic 23.
V229.2.5.	Place of saint's martyrdom perpetually green. *Loomis White Magic 95.
V229.2.6.	Martyrs emit milk instead of blood from their wounds. *Loomis White Magic 79.
V229.2.6.1.	Saint sheds tears of blood. Irish myth: Cross.
V229.2.7.	Flowers grow on graves from the mouths or hearts of holy persons. (Cf.
E631.1.	) *Loomis White Magic 95.
V229.2.8.	Saint's body remains unspoiled in the earth for a long time. *Loomis White Magic 43f.
V229.2.9.	Tombs of saints distill oil. *Loomis White Magic 43.
V229.2.10.	Stones answer “Amen” after saint's preaching. *Loomis White Magic 126.
V229.2.11.	Miracle saves saint from unjust censure. Irish myth: Cross.
V229.2.11.1.	Saint causes gluttonous reptile to leap from saint's body into bishop's throat and then return as proof of bishop's injustice. Irish myth: Cross.
V229.2.12.	Extraordinary longevity of saints. Irish myth: *Cross.
A191.1.	Great age of the gods.
D1345.	Magic objects gives longevity.
D1857.	Magic longevity.
F571.	Extremely old person.
Q145.	Miraculously long life as reward.
V229.2.12.1.	Seven Irish saints who never died. Irish myth: *Cross.
V229.2.12.2.	Saint lives for 300 (100?) years without eating food or uttering evil. Irish myth: *Cross.
V229.2.13.	Saint promises to return from heaven. Irish myth: Cross.
V229.3.	Saint banishes snakes. Irish myth: *Cross.
A531.2.	Culture hero banishes snakes.
A2434.2.3.	Why there are no snakes in Ireland.
V229.4.	Saint *Cross. overcomes (destroys) monsters (dragons). Irish myth:
V229.5.	Saint banishes demons. Irish myth. *Cross.
A531.1.1.	Culture hero banishes demons.
D1385.12.1.	Saint's bell rung against black birds (demons).
D2176.3.3.	Evil spirit exorcised by saint.
E754.1.	Condemned soul recovered.
E756.	Contest over souls.
G303.16.	How the devil's power may be escaped or avoided.
G303.16.11.4.	Saint expels devil to hell.
V229.5.1.	Saint confines monster (dragon) in lake. Irish myth: *Cross.   ## p. 459 (#463) ############################################  V. Religion 459
V229.6.	Saint in conflict with druid. Irish myth: *Cross.
A974.1.	Certain stones are druids transformed by power of saint.
D1719.1.1.	Contest in magic between druid and saint,
P427.	Druid.
Q552.2.3.1.1.	Earth swallows druid who opposes saint.
V229.6.1.	Saint limits powers of satirist (druid). Irish myth: Cross.
V229.6.2.	Cross. Ale poisoned by druid miraculously purified by saint. Irish myth:
V229.6.3.	Druid raised in air, cast down, and brains scattered on stone by power of saint. Irish myth: Cross.
V229.6.4.	Druid by spells seeks to drive saint from island. Irish myth: Cross.
V229.7.	Invaders miraculously defeated by saints. Irish myth: Cross.
V229.7.1.	Saint drives away an army by bringing upon it a dense and smoky cloud. (Cf.
D2163.4.	) *Loomis White Magic 123; Irish myth: Cross; India: Thompson-Balys.
V229.8.	Saints create magic concealing mist. (Cf.
D1361.1.	) Irish myth: *Cross.
V229.9.	Unusual fuel used by saints: burning stone, snow and icicles, marble pillar, and green timber. *Loomis White Magic 34f.
V229.10.	Broken objects restored to their original forms by saint. *Loomis White Magic 82f., 85.
V229.10.1.	Burned clothes restored to their previous form. *Loomis White Magic 128.
V229.10.2.	Holy man restores cut-off hands and feet. India: Thompson- Balys.
V229.10.3.	Saint causes grey hair to grow in black. India: Thompson- Balys.
V229.11.	Saint with tongue of fire (literally). *Loomis White Magic 34.
V229.12.	Sinful beauty is converted and spends the end of her life doing penance (Mary Magdalene, Mary of Egypt, and Thais). *Loomis White Magic 109f.
V229.13.	Ground elevates itself to give protection or comfort to saint. *Loomis White Magic 45.
V229.14.	Saint in anger shows strength: wall broken by his kick. (Cf.
F610.	) *Loomis White Magic 131.
V229.15.	Saint disguised as poor man saves almsgiving king from punish- ment in hell. Irish myth: Cross.
V229.16.	Lake of milk made through merit of saint. Irish myth: Cross.
V229.17.	Saint's blessing causes a river to be best place for fishing. Irish myth: Cross.
V229.18.	Dispute between two saints settled by angel. Irish myth: Cross.
V229.19.	Objects mourn death of saint (holy man). India: Thompson- Balys.   ## p. 460 (#464) ############################################  460 Motif-Index of Folk-Literature
V229.20.	Downfall of ascetic (saint). Chinese: Eberhard FFC CXX 185 No. 126.
T337.	Woman wagers that she can seduce anchorite.
V229.20.1.	After birth of son holy person loses miraculous power. India: Thompson-Balys.
V229.21.	House and family appear overnight to afford hospitality to benighted priests. (Cf.
Q45.1.	) U.S.: Baughman.
V229.22.	Severed head of saint speaks so that searchers can find it. (Cf.
D1610.5.	) England: Baughman.
V229.23.	Stone turns red when saint's picture is removed. England: Baughman.
V229.24.	Saint turns snakes to stones. (Cf.
D420.	) England: Baughman.
V229.25.	Conversation of animals reveals to man how to become saint. Chinese: Eberhard FFC CXX 42.
V230.	Angels. *Encyc. Rel. Ethics Index 26b; Irish: *Cross, O'Suillea- bhain 107, Beal XXI 334; German: Grimm No. 3. For an extensive analysis of angels in Jewish tradition see *Neuman.
A42.	Angels as God's advisers.
A106.2.	Revolt of evil angels against God.
A972.2.	Indentions on rocks from footprints of fairies (angels).
B41.2.1.	Angel horse.
C13.1.	Prince invites angel to wedding.
C51.4.2.	Tabu: spying on secret help of angels.
D683.8.	Transformation by angel (God).
D1725.	Magic power obtained from angels.
D1810.5.	Magic knowledge from angel.
E754.2.2.	Souls carried to heaven by angels.
E756.1.	Devils and angels contest for man's soul.
F251.6.	Fairies as fallen angels.
F403.2.2.2.	Angels as familiar spirits.
F531.6.1.1.	Sons of God and daughters of men. Before the flood angels have relations with human women: origin of giants.
G303.1.1.3.	God changes an angel into the devil, because he tried to imitate God in creating the world.
G303.3.2.2.	Devil (Satan) appears as an angel.
G303.16.10.	Angels save persons from the devil.
H634.1.	What is the sweet- est song? Angel song.
H663.	Riddle: What is whiter than a swan? An angel.
J225.0.1.	Angel and hermit.
J225.3.	Angel takes cup from old man.
J225.5.	Angel kills man because he loves his child too much.
J2212.2.	Burial in old grave to deceive angel.
K18.1.1.	Throwing contest: trickster addresses Angel Gabriel.
K311.2.	Thief disguised as angel.
K1315.1.1.	Se- duction by posing as Angel Gabriel.
K2371.1.6.	Heaven entered by trick: angel tricked by drink into telling woman how to enter.
L411.	Proud king displaced by angel.
