B278.	Captured animal ransoms self.
H1561.1.	Test of valor: tournament.
L225.	Hero refuses reward. Rides away without it.
P561.	Tournaments.
R169.1.	Hero in disguise of foolish knight, then of black knight, rescues lady.
R169.11.	Unknown helper(s) emerge(s) in the last moment and turn(s) out later to be well known.
T236.	Woman enamored of an un- known knight in a tournament loses interest.
R224.	Girl flees to escape incestuous brother. India: *Thompson-Balys.
T311.1.	Flight of maiden (bridegroom) to escape marriage.
T415.1.	Lecherous brother.
R225.	Elopement. *Type 516; Rösch FFC LXXVII 106; *Thien Motive 27; *Boje 110ff.; *Krappe Revue Hispanique LXXVIII (1930) 489-543. - Irish myth: *Cross; Icelandic: *Boberg; Missouri French: Car- rière; Italian Novella: Rotunda; Greek: *Frazer Apollodorus II 174 19   ## p. 290 (#294) ############################################  290 Motif-Index of Folk-Literature n. 1 (Helen); India: *Thompson-Balys; Buddhist myth: Malalasekera II 860.
D2143.1.10.	Wizard sells charm to raise rainstorm to enable eloping couple to escape pursuers.
K1371.1.	Lover steals bride from wedding with unwelcome suitor.
N318.2.	Princess accidentally elopes with wrong man.
R312.1.	Forest as refuge of eloping lovers.
R315.1.	Cave as elop- ing lovers' refuge.
R355.	Eloping girl recaptured by parents. Girl mistakenly elopes with wrong man.
T100.	Marriage.
T92.4.	
R225.1.	Elopement on winged horse. Type 516; Rösch FFC LXXVII 110.
B542.2.	Escape on flying horse.
R225.2.	Lovers elope to prevent girl's marriage to undesired fiancé. Cent Nouvelles Nouvelles No. 98.
R227.	Wife flees from husband. (Cf. P210,
T200.	) India: Thompson-Balys.
R227.1.	Wife flees from animal husband. India: Thompson-Balys.
R227.2.	Flight from hated husband. Irish myth: *Cross.
R227.3.	Supernatural wife finds garment stolen from her by husband and leaves him. India: Thompson-Balys.
F302.4.2.	
C31.	Tabu: offending supernatural wife.
D361.1.	Swan Maiden. Fairy comes into man's power when he steals her wings.
K1335.	Seduc- tion (or wooing) by stealing clothes of bathing girl,
R228.	Children leave home because their parents refuse them food. Irish myth: Cross.
R231.	Obstacle flight-Atalanta type. Objects are thrown back which the pursuer stops to pick up while the fugitive escapes. *Pauli (ed. Bolte) No. 526; Köhler-Bolte I 430; Irish myth: Cross; Icelandic: *Boberg; Spanish: Espinosa II Nos. 122-25; Greek: Roscher Lexikon s.v. “Absyrtos"; India: Thompson-Balys; Buddhist myth: Mala- lasekera II 860; Japanese: Anesaki 224; N. A. Indian: *Thompson Tales 342 n. 232; S. A. Indian (Toba): Métraux MAFLS XL 74; Africa (Gold Coast): Barker and Sinclair 99 No. 18, 125 No. 22, (Zulu): Callaway 145, (Angola): Chatelain 101 No. 6, (Kaffir): Theal 46 No. 2, (Yoruba): Ellis 269 No. 4.
D672.	Obstacle flight.
D672.1.	Magic objects as decoy for pursuer.
F381.2.1.	Escape from pursuing fairies by strewing path with bananas.
H331.5.1.1.	Apple thrown in race with bride. Distracts girl's attention, and as she stops to pick it up, suitor passes her. (Atalanta.)
J351.	Bodily member sacrificed to save life.
K622.2.	Escape from captor by throwing objects to great distance which captor tries to procure.
K671.	Captive throws his hat to lions who fight over it while he escapes.
K672.	Captive throws his shoe at serpent who chokes while he escapes.
R231.1.	Ogre tries to retain fugitive by tempting him with gold ring; but he takes ring by cutting off the hand. Icelandic: Boberg.
R231.2.	Fugitive cuts tail of camel caught by pursuer and it turns into grass. India: Thompson-Balys.
R231.2.1.	Helpful animal's tail cut off so pursuers who hang onto tail are shaken off into river. India: Thompson-Balys.
R265.	Pursuer (witch, giant) pulls out tail of fugitive's horse.
R233.	Fugitive kills pursuer and takes his extraordinary horse to continue flight. Boje 96ff.
R235.	Fugitives cut support of bridge so that pursuer falls. Indonesia: Dixon 229.
R236.	Pursuers aided by magic weather phenomenon. Jewish: *Neu- man.   ## p. 291 (#295) ############################################  R. Captives and fugitives 291
R236.1.	Fugitive aided by magic mist. Irish myth: *Cross; Jewish: Neu- man.
R236.2.	man.
D1361.1.	Magic mist of invisibility.
K532.1.	Escape in mist of invisibility. Sun sets at high noon to hide fugitive. (Cf.
F965.	) Jewish: *Neu-
R236.3.	Earthquake saves fugitive. Jewish: Neuman.
R236.4.	Fugitive has magic wind against him, pursuer with him (caused by goddess). Icelandic: Boberg.
R241.	Flight on skis; two on one pair. Icelandic: *Boberg.
R242.	Flight carrying friend (girl) on back. Icelandic: *Boberg.
R243.	Fugitives aided by helpful animal. (Cf.
B520.	)
R243.1.	Pursuer misdirected by animal to help fugitive. India: Thomp- son-Balys.
D1393.4.	Tree points way to fugitive but misdirects enemy.
R244.	Ships burned to prevent flight. Icelandic: Boberg.
R245.	Whale-boat. A man is carried across the water on a whale (fish). (He usually deceives the whale as to the nearness of the land or as to hearing thunder. As a consequence the whale runs into the shore or is killed by lightning.) *Loomis White Magic 91; cf. Aarne FFC XXIII 137; Maori: Dixon 8; N. A. Indian: *Thompson Tales 327 n. 179; Jamaica: Beckwith MAFLS XVII 256f. Nos. 38, 39, 275 No. 86; Cape Verde Islands: Parsons MAFLS XV (1) 310 n. 1.
B175.1.	Magic salmon carries hero over water.
B472.	Helpful whale.
B541.1.	Escape from sea on fish's back.
B551.1.	Fish carries man across water.
B552.1.	Alexander carried by two birds with meat held in front of them.
J1172.4.	Turtle released by man to carry him across stream.
J1761.1.	Whale thought to be island.
K952.1.	Ungrateful river passenger kills carrier from within.
K1042.	Water bird takes dupe to sea; shakes him off into water.
K1177.	Dupe deceived concerning the thunder; finally killed by it.
M205.1.1.1.	Fish (whale) carrying man through water shakes him off when man strikes him with coconut.
S131.1.	River carrier (whale, crocodile) throws passenger off and drowns him.
R245.1.	Crocodile-boat. Trickster props his jaws apart and leaves him. India: Thompson-Balys.
R245.2.	
K952.1.	Ungrateful river passenger kills carrier from within. Snake king takes fleeing captives across river. Buddhist myth: Malalasekera I 785.
R246.	Crane-bridge. Fugitives are helped across a stream by a crane who lets them cross on his leg. The pursuer is either refused as- sistance or drowned by the crane. N. A. Indian: *Thompson Tales 340 n. 227.
B463.3.	Helpful crane.
B523.	Animals save man from pursuer.
B555.	Animals serve as bridge across stream.
Q2.	Kind and unkind.
R246.1.	Stone bridge appears for fugitives. Disappears and drowns pur- suers. Loomis White Magic 130.
R251.	Flight on a tree, which ogre tries to cut down. **Parsons Zs. f. Ethnologie LIV 1-29; Bolte Zs. f. Vksk. XXXIII-XXXIV 38; Jap- anese: Ikeda; Korean: Zong in-Sob 9 No. 3; Africa (Togo): Einstein 12f.; Cape Verde Islands: Parsons MAFLS XV (1) 121 n. 3, 125, 131f.; 19*   ## p. 292 (#296) ############################################  292 Motif-Index of Folk-Literature American Negro (Georgia): Harris Friends 91 No. 12. Cf. Thomp- son Tales 341 n. 230. Most African references in
B421.	
B524.1.2.	Dogs rescue fleeing master from tree refuge.
R311.	Tree refuge.
R252.	Flight by vaulting on stick. N. A. Indian (California): Gayton and Newman 92.
R253.	Escape from nest of giant bird by seizing two young birds and jumping. Philippine (Tinguian): Cole 201.
R255.	Formula for girl fleeing: behind me night, etc. "Behind me night and before me day that no one shall see where I go." *Type 510B; *BP II 46; Ainu: Ikeda (Type 175).
R257.	Fugitives sustain selves on apples. Hdwb. d. Märchens I 90b no. 3.
R260.	Pursuits. Missouri French: Carrière; India: Thompson-Balys.
D1432.	Waters magically pursue man.
D1813.2.	Pursuit revealed by magic.
F932.1.	River pursues fugitive.
K897.2.1.	Giant impales self on javelin fugitive holds behind himself.
Z49.2.	Cumulative pursuit.
R261.	Pursuit by rolling object.
C91.1.	The offended rolling stone.
D1430.	Magic object pursues,
R261.1.	Pursuit by rolling head. *Kittredge Gawain and the Green Knight 189 n. 1; Japanese: Ikeda; N. A. Indian: *Thompson Tales 343 nn. 238, 238a, *Alexander N. A. Myth. 290 n. 37; cf. JAFL II 69; (California): Gayton and Newman 79; S. A. Indian (Cashinawa): Métraux BBAE CXLIII (3) 684, (Chaco, Warrau, Shipaya): Lowie ibid. 54f., (Tenetehara): Wagley-Galvão ibid. 148; Africa (Congo): Weeks 207 n. 4.
R262.	
D1641.7.1.	Self-rolling head.
E261.1.	Wandering skull pursues man.
F493.0.3.1.	Pestilence in form of a head.
F531.1.2.0.1.	Gigantic head.
G361.2.	Great head as ogre.
Q503.1.	Skull of suicide must roll in dust until it has saved a life. Magic eel pursues man over land. Irish myth: Cross.
R265.	Pursuer (witch, giant) pulls out tail of fugitive's horse. Fb "hale" IV 197b; cf. Burns "Tam O'Shanter"; India: Thompson-Balys.
G100.	Giant ogre.
G200.	Witch.
G273.4.	Witch powerless to cross stream.
R231.2.1.	Helpful animal's tail cut off so pursuers who hang onto tail are shaken off into river.
R267.	Fugitives trailed by mustard seeds (ashes) dropped from bag. (Cf.
R135.	) India: *Thompson-Balys; Africa (Kaffir): Theal 127ff.
K321.	Thief learns location of dupe's food supply by strewing ashes.
R268.	Dew in footprints reveals man's way. Icelandic: *Boberg.
R271.	Pursuit by fire. N. A. Indian (California): Gayton and Newman 82.
R272.	Pursuer follows successive night campfires (each brighter than last). Chinese: Graham. R300-
R399.	Refuges and recapture.
R300.	Refuges and recapture.
R310.	Refuges. *Encyc. Rel. & Ethics s.v. “Asylum”.
D1380.1.	Waberlohe. Magic fire surrounds and protects.
F942.1.	Ground opens and swallows up person.
K515.	Escape by hiding.
P322.	Guest given refuge.
S445.	Abandoned wife hidden under a tub.   ## p. 293 (#297) ############################################  R. Captives and fugitives 293 -
R311.	Tree refuge. Type 162*; *Fb "træ” III 865a; *Hdwb. d. Märchens I 199a; BP I 429, II 195f. Breton: Sébillot Incidents s.v. "arbres"; Missouri French: Carrière; India: *Thompson-Balys; Chinese: Gra- ham; Japanese: Ikeda; N. A. Indian: *Thompson Tales 341 n. 230; S. A. Indian (Toba): Métraux MAFLS XL 62; Africa (Zulu): Callaway 145, 346.
A1023.	Escape from deluge on tree.
F811.10.1.	Hollow tree as residence for hero.
F1045.	Night spent in tree.
H135.1.	Recognition by trimmed leaf thrown from tree hiding place.
N711.1.	King (prince) finds maiden in woods (tree) and marries her.
N776.	Light seen from tree lodging place at night leads to adventures.
R251.	Flight on a tree, which ogre tries to cut down.
R351.	Fugitive discovered by reflection in water.
R311.1.	Trees magically hide a fugitive. Dh II 40ff.; N. A. Indian: Kroeber JAFL XXI 225.
R311.1.1.	Thorn-brake as refuge. Irish myth: Cross.
R311.2.	King escapes pursuers through hollow tree in his hall. Ice- landic: Boberg.
R311.3.	Stolen child found in hollow tree. India: Thompson-Balys.
R311.4.	Stretching tree refuge for fugitive. (Cf.
D482.1.	) India: *Thomp- son-Balys.
R312.	Forest as refuge.
R312.1.	Forest as refuge of eloping lovers. (Cf.
R225.	) Schoepperle 391ff.; Irish myth: *Cross.
R313.	Princess hides in straw. *Fb "halmstrå" I 540.
R314.	Negro takes refuge under princess's throne. Malone PMLA XLIII 407.
R315.	Cave as refuge. Irish myth: *Cross; Jewish: *Neuman; India: Thompson-Balys; Eskimo (Greenland): Rasmussen I 150.
B523.1.	Spider web over hole saves fugitive.
R315.1.	Cave as eloping lovers' refuge. (Cf. R225,
T35.	) Schoepperle 391ff.; Irish myth: Cross.
R315.2.	Christians crushed in cave where they take refuge from heathen. Icelandic: Boberg.
R316.	Refuge on rock in sea. Finnish: Kalevala rune 4.
R316.1.	Refuge on island. Icelandic: Boberg.
R317.	Well (spring) as refuge. Fb "kilde" II 118b; Irish myth: Cross; Africa (Benga): Nassau 225 No. 33, (Kaffir): Theal 129, (Basuto): Ja- cottet 160 No. 23.
R318.	Girl hidden in skin of her dead mother. Köhler-Bolte I 346.
R318.1.	Boy hidden under skin in order not to be seen and prophesied about. Icelandic: Örvar-Odds saga 12-13.
R321.	Escape to the stars. Fugitives rise in the air and become stars. (Cf.
R324.	) Greek: Fox 250; Hindu: Keith 76; Japanese: Ikeda; Korean: Zong in-Sob 218 No. 98; Eskimo (West Hudson Bay): Boas BAM XV 360; N. A. Indian: Thompson Tales 291f. nn. 71, 71a; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 158, 164, (Jivaro): ibid. 149.   ## p. 294 (#298) ############################################  294 Motif-Index of Folk-Literature
R321.1.	Sister escapes to the stars to avoid marrying brother. He is the thunder and her face is lightning. India: Thompson-Balys.
A736.1.	Sun sister and moon brother.
A1141.	Origin of lightning.
A1142.	Origin of thunder.
T415.	Brother-sister incest.
R321.2.	Escape to moon. Pursued hero escapes to moon. India: Thomp- son-Balys.
R322.	Eagle's nest as refuge. Scottish: Campbell-McKay 1 n., 25; N. A. Indian (California): Gayton and Newman 95.
R323.	Refuge in upper world.
R323.1.	Murderer escapes to sky on sky rope. (Cf.
F51.	) India: Thompson- Balys.
R323.2.	Murderer escapes to sky in magic chariot. Greek: Euripides' Medea.
R324.	Refuge in air. Fugitive supernaturally rises in air to escape. (Cf.
R321.	) India: Thompson-Balys.
R324.1.	Escape from battle by flying in air. Irish myth: *Cross; Eskimo (Mackenzie Area): Jenness 81, 86, (West Hudson Bay): Boas BAM XV 315, 541f., (Labrador): Hawkes GSCan XIV 151, (Greenland): Rasmussen III 99f., Rink 320, 455, 460.
R325.	Church (altar) as refuge. Fb "kirke" II 125b; Irish myth: *Cross; Greek: Frazer Apollodorus I 276 n. 4; Jewish: *Neuman; Gaster Thespis 303f.; Japanese: Ikeda.
C51.1.	Tabu: profaning shrine.
R325.1.	Devil chases ghost of wicked man until he puts his head into chapel window. (Cf.
E754.	) England: *Baughman.
R325.2.	Idol cracks open to grant refuge to fugitive in answer to prayer; then closes again. India: Thompson-Balys.
R325.3.	Saint offers murderer refuge. Irish myth: Cross.
R326.	Escape to fairyland. (Cf.
F210.	) Irish myth: *Cross.
R327.	Earth opens to rescue fugitive. India: *Thompson-Balys.
F940.	Extraordinary underground (underwater) disappearance.
R331.	Hero takes refuge at king's court. *Dickson 143 nn. 140-42; Deutschbein 34; *Boje 74ff.
N836.1.	King adopts hero (heroine).
R335.	Roof as refuge for pursued animals. West Indies: *Flowers 573 -75, Parsons MAFLS XVIII (3) 26 No. 6.
R336.	Refuge under kettle. Icelandic: Boberg.
R341.	Escape by intervention of Providence. (Cf.
F942.1.	)
R341.1.	Lightning strikes branch on which man is being hanged. Delay gives him chance to prove his innocence. (Cf.
R175.	) U.S.: *Baugh- man.
R345.	Cities of refuge. Jewish: *Neuman.
R350.	Recapture of fugitive.
J1146.1.	Detection by pitch-trap.   ## p. 295 (#299) ############################################  R. Captives and fugitives 295
R351.	Fugitive discovered by reflection in water. *Type 408; *Cox 503; *Cosquin Contes indiens 85ff.; *Köhler-Bolte I 281; Köhler-Bolte Zs. f. Vksk. VI 64 to Gonzenbach No. 14; Malone PMLA XLIII 399. India: *Thompson-Balys; Chinese: Graham; Japanese: Ikeda; Indo- nesia: DeVries's list No. 212, Dixon 140 n. 21, 226 n. 33; New He- brides, Torres Straits, New Guinea: ibid. 140 n. 21; Melanesia: ibid. 226 n. 33; N. A. Indian: *Thompson Tales 352 n. 270.
J1791.	Reflection in water thought to be the original of the thing reflected.
R311.	Tree refuge.
T11.5.	Falling in love with reflection in water.
R351.1.	Milk drops from woman's breast on tiger's leg and reveals her hiding place in tree. S. A. Indian (Chiriguano): Métraux RMLP XXXIII 156, 161.
N696.	Fugitive in tree urinates from fright; pursuers think it rain and leave
R352.	Lovers fleeing from slavery are recaptured. (Cf.
R211.4.	) Italian Novella: *Rotunda.
R355.	Eloping girl recaptured by parents. (Cf.
R225.	) Type 516; Rösch FFC LXXVII 111.
