A1313.	Origin of sex-organs.
T317.3.	Repression of lust through preaching. Alphabet No. 638.
T317.4.	Repression of lust through fasting. Cent Nouvelles Nouvelles No. 99; Spanish Exempla: Keller; Italian Novella: *Rotunda.
T317.5.	Man and woman in chaste love for twenty-five years. Italian Novella: Rotunda.
T317.6.	Monk finds that only abuse and cruel treatment from his fellow monks can conquer his lust. Spanish Exempla: Keller.
T318.	Wife proves her faithfulness. Had substituted for husband's mistress. Proves legitimacy of her child by producing tokens and by child's missing toe (like her husband's four-toed foot). Italian Novella: Rotunda.
D659.7.	Transformation: wife to mistress.
K1843.2.	Wife takes mistress's place in husband's bed.
T320.	Escape from undesired lover. Heptameron No. 26; Irish myth: Cross; Icelandic: Schlauch Romance in Iceland (New York, 1934) 105f., *Boberg.
D642.3.	Transformation to escape lover.
D1385.3.	Marriage ring protects from devil.
D1386.	Magic object protects from unwelcome lover.
D1386.1.	Magic sword protects woman from fairy lover in husband's absence.
K522.0.1.	Death feigned to escape unwelcome marriage.
K675.	Sleeping potion given to man who is to pass the night with a girl.
K1210.	Humiliated or baffled lovers.
Q87.	Reward for preservation of chastity.
R111.1.9.	Princess rescued from undesired suitor.
T320.1.	Oft-proved fidelity. Repeated attempts to seduce innocent woman. She escapes them all. *Types 881, 882, 883AB, 888, 892; *Loomis White Magic 95; Irish myth: *Cross; Italian Novella: *Ro- tunda; India: Thompson-Balys.
K443.2.	Clever wife gets money from those who attempt to seduce her.
K2112.	Woman slandered as adulteress.
T320.1.1.	Virginity saved in spite of torture. Undesired suitors give up task. Italian Novella: Rotunda.
T320.2.	Girl kills man who threatens her virtue. Irish myth: *Cross; Italian Novella: Rotunda; India: Thompson-Balys.
T320.2.1.	Woman escaping from slavery kills man who would ravish her. Italian Novella: Rotunda.
T320.3.	Bride puts to flight man who attempts to ravish her. Italian Novella: Rotunda.
T320.3.1.	Widow dons late husband's armor to put would-be ravisher to flight. Italian Novella: Rotunda.   ## p. 378 (#382) ############################################  378 Motif-Index of Folk-Literature
T320.4.	Wife escapes lust of king by shaming him. Spanish Exempla: Keller; India: Thompson-Balys.
J81.	The dishes of the same flavor.
T481.5.	King covets his subject's wife.
T320.4.1.	Woman escapes king's lust by inducing bad breath. India: Thompson-Balys.
T320.5.	Girl gives up wealth and flees to escape lecherous emperor. Spanish Exempla: Keller.
T320.6.	Wife sets fire to house to escape undesired lover. India: Thomp- son-Balys.
T321.	Escape from undesired lover by miracle. Icelandic: Boberg.
T321.1.	Maid pledged to celibacy is given, at her prayer, a beard. BP III 242.
T321.2.	Girl named Mary has virginity spared by knight who has bought her. The Virgin appears to her. *Ward II 628 No. 16, 697 No. 9; Scala Celi 115a No. 641; Von der Hagen III 451.
T321.3.	Girl's virginity spared by knight when he sees her surrounded by the Virgin and her train. In her straits the girl has prayed for help. *Herbert III 356; Irish: Beal XXI 327.
T321.4.	Girl prays to Virgin to spare her virginity. Two soldiers quarrel over possessing her. Captain slays her, thus "saving" her. Italian Novella: Rotunda.
T321.5.	Magic sickness (discomfort) prevents lover from raping woman. Icelandic: *Boberg.
T321.6.	In answer to maiden's prayer saint changes boat's course and guides it to another place. India: Thompson-Balys.
T322.	Girl strikes man who tries to kiss her. Pauli (ed. Bolte) Nos. 618, 619.
T322.1.	Woman kicks lecherous monk down the stairs. Heptameron No. 46A.
T322.2.	Princess threatens to kill amorous king. French Canadian: Sister Marie Ursule.
T322.3.	Undesired lover drugged and carried out. India: Thompson- Balys.
T322.4.	Girl pleads vow of chastity to repel lover. India: Thompson- Balys.
G303.16.19.5.	Demon has to serve girl whom he cannot persuade to break vow of chastity.
M131.	Vow of chastity.
T323.	Escape from undesired lover by strategy.
K1223.	Mistress deceives lover with a substitute.
T323.1.	Princess escapes from undesired lover by fleeing disguised as a bishop. Italian Novella: Rotunda.
K1812.8.	Incognito queen (princess).
K1826.	Disguise as churchman.
K1837.	Disguise of woman in man's clothes.
T323.2.	Princess evades unwelcome lover by putting on foul-smelling skin-coat. India: Thompson-Balys.   ## p. 379 (#383) ############################################  T. Sex 379
T324.	Girl's virginity saved by the kindness of an emissary. Makes the lord believe she is a relative. Italian Novella: Rotunda.
T325.	Chaste woman resists advances of a conqueror. Italian Novella: Rotunda.
T325.1.	Chaste woman promises conqueror drug of invulnerability. Has him try it on her. Cuts her head off. *Bonner Byzantion XIV 142ff.
T326.	Suicide to save virginity. Spanish Exempla: Keller.
M149.2.	Vow rather to die than marry unwelcome suitor.
T326.1.	Girls drown selves to save their virginity. Alphabet No. 773; Italian Novella: Rotunda.
T326.2.	Man is killed defending sweetheart's honor. She kills herself. Italian Novella: Rotunda.
T326.3.	Martyrdom to preserve virginity. Der Heiligen Leben und Leiden 100ff. (Santa Barbara).
T327.	Mutilation to repel lover. (Cf. S160,
T333.	) Heptameron No. 10; Irish myth: Cross; India: Thompson-Balys.
T327.1.	Maiden sends to her lecherous lover (brother) her eyes (hands, breasts) which he has admired. Type 706; **Williamson Philological Quarterly XI 149; *BP I 303; *Crane Vitry 158 No. 57; Herbert III 72, 611; Hervieux IV No. 120; *Penzer III 20f.; Alphabet No. 136; *bin Gorion Born Judas2 IV 175, 283; Pauli (ed. Bolte) Nos. 11, 12; Krappe Bulletin Hispanique XXXIX 40; Nouvelles de Sens No. 12. Spanish Exempla: Keller; Italian: Basile Pentamerone III No. 2; N. A. In- dian: *Thompson Tales 273 n. 6; Africa (Bangola): Weeks 122. ―
T327.2.	Woman successfully prays for disease to repel lover. India: Thompson-Balys.
T327.3.	Saint plucks out her eye when urged to marry. Irish myth: *Cross.
T327.4.	Maidens befoul selves with blood to escape rape. Spanish Ex- empla: Keller.
T327.5.	Woman raises sores on her body to preserve chastity. India: Thompson-Balys.
T327.6.	Princess takes on loathsome disguise to avoid unwelcome de- mon-lover. India: Thompson-Balys.
T327.7.	Girl escapes from undesired lover by cutting off her plaits of hair. Lithuanian: Balys Index No. 871*; Russian: Andrejev No. 871*.
T328.	Girl lives in sepulchre to preserve chastity. Scala Celi 33a No. 184.
T330.	Anchorites under temptation. *Toldo II 304ff.; *Loomis White Magic 187 n. 140; Italian Novella: Rotunda.
D733.1.	Hairy anchorite. Beast-like man seduced by beautiful woman becomes human and handsome.
Q537.2.	Cleric tempts self among beautiful women; lives chastely.
T75.5.	Scorned lover becomes an anchorite.
V131.1.	Sight of holy fringe on garment restrains a man from fornication and reforms the harlot.
T331.	Man unsuccessfully tempted by woman. (St. Anthony.) Alphabet Nos. 128, 795; Wesselski Mönchslatein 103 No. 87; Krappe Bulletin Hispanique XXXIX 30; Irish myth: *Cross; Spanish Exempla: Keller; Jewish: *Neuman, Gaster Exempla 192 Nos. 34, 34A; India: *Thomp-   ## p. 380 (#384) ############################################  380 Motif-Index of Folk-Literature son-Balys; Buddhist myth: Malalasekera I 168, 887, 1034, II 37, 226, 594, 616, 707, 716, 892, 996, 1052, 1214, 1322.
C686.	Injunction: to forsake woman who arouses love.
T55.	Girl as wooer.
T71.	Woman scorned in love.
T317.	The repression of lust.
V461.3.	Chastity as a clerical virtue.
W34.1.	Man constrained to flee with leader's fiancée resists her blandishments.
T331.1.	Monk unsuccessfully tempted in nunnery. Alphabet No. 127.
T331.2.	Knight unsuccessfully tempted by host's wife. **Kittredge Gawain and the Green Knight.
T281.	Sex hospitality. Host gives his wife (daughter) to his guest as bed companion.
T331.3.	Woman masks as man to deceive anchorite. Toldo I 347.
T331.4.	No place secret enough for fornication. Monk thus repels temptress. Herbert III 21; *Crane Vitry 243f. Nos. 256, 257.
U232.	No place secret enough for sin.
V465.1.2.2.	Nun tempted into sinning with man who tells her God can't see things that happen in the dark.
T331.5.	Anchorite saved by a miracle. When he is about to give in to temptation a dove flies out of his mouth. On repenting the dove re-enters his mouth. Italian Novella: *Rotunda.
T331.6.	Saint flogs woman who tempts him. Irish myth: Cross.
Q227.	Punishment for opposition to holy person.
Q458.	Flogging as punishment.
T331.7.	Saint sleeps with maidens without sinning. Another saint, who doubts fact, undergoes same test and perceives its effacy. Irish myth: Cross.
T331.8.	Monk unsuccessfully tempted by woman he formerly loved. Heptameron No. 64.
T331.9.	Monk yells “thief" to repel temptress. When she seeks him in his bed he screams. He says she steals his most valuable possession, virtue. Spanish Exempla: Keller.
T332.	Man tempted by fiend in woman's shape. (Or woman by fiend in man's shape.) *Kittredge Witchcraft 211, 525 n. 49; *Herbert III 357ff.; Chauvin II 226 No. 3; Gaster Exempla 213 No. 136; *Toldo II 307ff., 310ff.; Pauli (ed. Bolte) No. 887; Wesselski Mönchslatein 72 No. 63; Alphabet No. 257. Lithuanian: Balys Index No. 816*; Finnish- Swedish: Wessman 11 No. 86; Spanish Exempla: Keller; Italian Novella: *Rotunda. -
D12.	Transformation: man to woman.
F471.2.	Incubus. A demon who comes in sleep and has sexual intercourse with one.
G303.9.4.6.	Devil tempts saints.
G303.9.4.7.	Devil tempts girl.
T332.1.	Woman sent by deity to tempt self-righteous anchorite. India: Thompson-Balys.
T333.	Man mutilates himself to remove temptation. *Mensa Philosophica No. 104; Italian Novella: Rotunda.
S160.	Mutilations.
T327.	Mutilation to repel lover.
V256.	3 Saint cuts off hand to repress lust.
T333.1.	Tempted man bites out his tongue and spits it in temptress's face. *Herbert III 343; Alphabet No. 138; Scala Celi 15b No. 186.
T333.2.	Tempted man burns off his fingers. Frightens his temptress. Wesselski Mönchslatein 23 No. 18; *Crane Vitry 236 No. 246; Herbert III 20; Scala Celi 13b No. 80; *Krappe Bulletin Hispanique XXXIX 34. Spanish Exempla: Keller; Italian Novella: Rotunda. -   ## p. 381 (#385) ############################################  T. Sex 381
T333.3.	Man disfigures his face to remove temptation. Alphabet No. 659; Spanish Exempla: Keller.
T333.3.1.	Tempted rabbi tears out his eyes to escape temptation. Jew- ish: Neuman.
T333.4.	Tempted holy man mutilates genitals. Irish myth: Cross; Jew- ish: Neuman.
T333.5.	Hero cuts off head and wraps it in napkin so he will not be tempted by sight of virgins. India: Thompson-Balys.
T334.	Monk cures himself of desire for dead sweetheart. He digs up her remains. *Crane Vitry 236 No. 245; Herbert III 20.
T85.4.1.	Ring of Fastrada.
T334.1.	Monk goes into desert to avoid temptation of women, the prime source of sin. Spanish Exempla: Keller.
T335.	Saint exposes self to temptation but preserves chastity. Thus insures self greater reward in Heaven. Irish myth: *Cross:
T336.	Sight or touch of woman as source of sin. Alphabet Nos. 16, 527, 732, 776; Scala Celi 121b, 156b Nos. 666, 874; Mensa Philosophica No. 104; Herbert III 343, 434; Spanish Exempla: *Keller.
T336.1.	Woman's girdle as source of sin. Pauli (ed. Bolte) No. 378.
T336.2.	Woman's voice as source of sin. Jewish: Neuman.
T337.	Woman wagers that she can seduce anchorite. Alphabet No. 528; Italian Novella: *Rotunda.
T337.1.	
N15.	Chastity wager.
V229.20.	Downfall of an ascetic (saint). Saint's enemy, wishing to cause saint to violate his oath never to "commit folly and utter lie," induces his daughter to tempt saint. Saint perceives trick and avoids sin. Irish myth: Cross.
T338.	Virtuous man seduced by woman. Nouvelles de Sens No. 15; In- dia: Thompson-Balys.
T338.1.	Ascetic successfully tempted: kills son born in consequence. India: Thompson-Balys.
T350.	Chaste sleeping together. Irish myth: *Cross.
C117.	Nuptial tabu. Husband and wife forbidden intercourse for definite time.
H1472.	Test: sleeping by princess three nights without looking at her or disturbing her.
H1556.4.1.	Lover's fidelity tested by going to bed with mistress and only kissing.
T351.	Sword of chastity. A two-edged sword is laid between the couple sleeping together. *Type 303; *BP I 554, IV 202; *Cox Cinderella 488 n. 21; *Huet Romania XXXVI 50; *Chauvin V 62 No. 19 n. 2, VIII 194 No. 235 n. 1; *Fb "sværd" III 690a; Hdwb. d. Märchens I 104a; Gaster Exempla 242 No. 330; *Hibbard 69 n. 8; Tardel Untersuchun- gen zur mittelhochdeutschen Spielmannspoesie (Schwerin, 1894) 22 n. 2; Thien 24; Günter Die christliche Legende des Abendlandes 21; *Schoepperle II 430ff.; Köhler-Bolte Zs. f. Vksk. VI 76 (to Gonzen- bach No. 40); Child V 497 s.v. "sword". Irish myth: Cross; Ice- landic: *Boberg; Italian: Basile Pentamerone I No. 9, *Rotunda; Jewish: *Neuman; India: Thompson-Balys.
K1311.1.	Husband's twin brother mistaken by woman for her husband.
T351.1.	Bed-cover of chastity. Similar to sword of chastity. Italian: Basile Pentamerone I No. 7.   ## p. 382 (#386) ############################################  382 Motif-Index of Folk-Literature
T352.	Boy sleeps between couple to safeguard their virtue. Irish myth: *Cross.
T353.	Object set between beds of couple sleeping in same room. Irish myth: *Cross.
T354.	Chaste sleeping together to torment woman. Man remains utterly impassive. India: Thompson-Balys.
T355.	Chaste sleeping together with six sisters-in-law one by one. India: Thompson-Balys.
T356.	Young man sleeps on girl's mat without touching her to signify his desire. S. A. Indian (Brazil): Oberg Mato Grosso 110.
T360.	Chastity and celibacy-miscellaneous.
P12.9.	Kings overcomes passion for beautiful captives and sends them back untouched to their people.
T362.	Nun refuses to look at man.
T362.1.	Nun so opposed to seeing men that she refuses to see St. Martin. Spanish Exempla: Keller.
F647.4.	Marvelous sensitiveness: woman blushes in presence of male statue.
T371.	The boy who had never seen a woman: the Satans. When he sees a girl and asks his father what it is, the father tells him it is Satan. Asked what he most likes he says, "The Satans." *Type 1678; *Chauvin III 105 No. 16; Herbert III 5; *Crane Vitry 169f. No. 82; Alphabet No. 170; Scala Celi 15b No. 89; Boccaccio Decameron IV (proem) (*Lee 110); Nouvelles de Sens No. 2. - U.S.: Baughman; Spanish Exempla: Keller; Italian Novella: *Rotunda; Jewish: bin Gorion Born Judas IV 169, 282.
J147.	Child confined to keep him in ignorance of life. Useless.
L122.	Unsophisticated hero.
T617.	Boy reared in ignorance of the world.
T371.1.	Boy is denied sight of all women except his mother and his nurse until he is eighteen. He falls in love with the first woman who is more attractive than his mother. Italian Novella: Rotunda.
T372.	Adulterous love changed into a chaste one. Italian Novella: Rotunda.
T373.	Heavy chastity belt imposed on wife. Italian Novella: Rotunda.
T376.	Young man betrothed to statue. Man puts marriage ring on finger of statue of Venus (Virgin Mary). She afterwards forbids him the embraces of an earthly bride. **Baum PMLA XXXIV 523ff.; Alpha- bet Nos. 48, 465, 656; Ward II 609 No. 22, 621 No. 31, 626 No. 7; Scala Celi 111b No. 620.
T376.1.	Man leaves earthly bride for service of Virgin. *Crane Miraculis 89 No. 16, 98 No. 35; Wesselski Mönchslatein 60 No. 51; Wells 170; Spanish Exempla: Keller.
T177.	Bridegroom magically impelled to leave his bride.
T381.	Imprisoned virgin to prevent knowledge of men (marriage, im- pregnation). Usually kept in a tower. (Danaë.) *Types 310, 516; *Krappe Balor 2ff., 11 nn. 38, 39; *Hertel Zs. f. Vksk. XIX 83ff. (chest on water); *Rösch FFC LXXVII 103, 107f.; *Krappe Le Moyen Age 96ff.; *Loomis White Magic 119. Irish myth: *Cross; Italian No- vella: Rotunda; Greek: *Frazer Apollodorus I 153 n. 3, 154 n. 1, *Hartland Perseus chap. 1; Babylonian: Spence 157; Jewish: *Neu-   ## p. 383 (#387) ############################################  T. Sex 383 man; India: *Thompson-Balys; Korean: Zong in-Sob 5 No. 2; N. A. Indian: *Thompson Tales 277 n. 21b; West Indies: Flowers 578.
C756.2.	Tabu: letting sun shine on girl before she is thirty years old.
D1965.1.	Guardian magically made to sleep while lover visits maiden.
K1349.4.	Lover visits guarded maiden while harper puts mother to sleep.
M372.	Confinement in tower to avoid fulfillment of prophecy.
R41.	Captivity in tower (castle, prison).
S322.1.3.	Father condemns daughter to death because he believes her unchaste.
T50.1.	Girl carefully guarded from suitors.
T521.	Conception from sunlight.
T381.0.1.	Girl intended for marriage with king cloistered. Irish myth: *Cross.
T381.0.2.	Wife imprisoned in tower (house) to preserve chastity. Italian Novella: *Rotunda.
T381.1.	Guarded maiden first seen by hero in church. *Type 516; Rösch FFC LXXVII 103; Icelandic: Boberg.
N711.4.	Prince sees maiden at church and is enamored.
T381.1.1.	Guarded maiden first seen by hero in otherworld. Irish myth: Cross.
T382.	Attempt to keep wife chaste by carrying her in box. In spite of all precautions she meets men. *Hertel Zs. f. Vksk. XIX 83ff.; Wes- selski Märchen 185; Jewish: *Neuman; India: *Thompson-Balys; Buddhist myth: Malalasekera II 1053; Japanese: Ikeda.
F1034.2.	Magician carries mistress with him in his body. She in turn has paramour in hers.
K1510.	Adulteress outwits husband.
T383.	Other futile attempts to keep wife chaste. Italian Novella: *Ro- tunda.
T386.	Message of chastity: uncooked meat left behind. Man conducting a woman leaves uncooked meat behind each night of the journey as a sign to the husband following that she has not been touched. *Schoepperle II 414, 419; Irish myth: *Cross. T400
T499.	Illicit sexual relations.
T400.	Illicit sexual relations.
C110.	Sex tabu. K1300, Seduction or deceptive marriage.
K1500.	De- ception connected with adultery.
Q240.	Sexual sins punished.
T401.	Virgin Mary as protectress of illicit lovers. Ward II 604 No. 8, 606 No. 14, 612 No. 29, 618 No. 39, 621 No. 30, 626 No. 6, 638 No. 6, 650 No. 1, *663 No. 12, 668 No. 15; Herbert III 24; *Crane Vitry 257 No. 282, Miraculis 308 No. 2; *Pauli (ed. Bolte) No. 887; Wells 166f. (Vernon Miracles Nos. 3, 7); Wesselski Mönchslatein 47 No. 40, 72 No. 63.
K1841.1.	The nun who saw the world (Sister Beatrice). The Virgin takes the place of the nun in the nunnery while the latter is living a life of shame.
V250.	The Virgin Mary.
V465.1.2.	Incontinent nun.
T401.1.	Pregnant abbess secretly delivered of her child by Virgin Mary. *Wesselski Mönchslatein 51 No. 44; *Crane Miraculis 99 No. 36; Alphabet No. 13; Spanish Exempla: Keller; Italian Novella: Ro- tunda.
T410.	Incest.. **O. Rank Das Inzest-Motiv in Dichtung und Sage (Leipzig u. Wien, 1912); *Child V 484 s.v. "Incestuous"; Irish myth: *Cross; Arabian: Burton Nights I 110 n., II 172 n.; India: Thompson-Balys; Indo-Chinese: Dixon 165 *n. 47; Indonesia: Dixon 172.
A112.1.	God from incestuous union.
A751.1.	Man in the moon is person thrown or sent there as punishment for incest.
A1006.2.	New race from incest after world calamity.
A1018.2.	Flood as punishment for in-   ## p. 384 (#388) ############################################  384 Motif-Index of Folk-Literature cest.
A1273.1.	Incestuous first parents.
C114.	Tabu: incest.
D1741.6.	Loss of magic power through incest.
N365.	Incest unwittingly committed.
N681.3.	Incest accidentally averted.
Q242.	Incest punished.
S312.1.	Child of incest exposed.
T410.1.	Master discovers that slave girl he wants to marry is a near relative. Type 938*; U.S.: Baughman.
T411.	- Father-daughter incest. *Köhler-Bolte II 190ff.; *Krappe Review of Religion (1941) 3-17; Heptameron No. 30. Irish myth: *Cross, MacCulloch Celtic 74f.; English: Wells 176 (The Tale of an Incestuous Daughter); Danish: De la Saussaye 166 (Helgi); Italian Novella: Rotunda; Greek: Grote I 149; India: *Thompson-Balys; Hindu: Keith 75 (Prajapati); Maori: Dixon 164 n. 46; Eskimo (Greenland): Ras- mussen III 198.
M344.1.	Father-daughter incest prophecy.
N365.2.	Unwitting father- daughter incest.
V132.1.	Holy water prevents a man from committing incest with his daughter. -
T411.1.	Lecherous father. Unnatural father wants to marry his daughter. (Manekine.) *Types 510B, 706; BP I 295ff., *301 n. 5, II 45ff.; *Hibbard 25ff.; *Cox Nos. 131-208; Saintyves Perrault 187ff.; Köhler-Bolte I 420, II 184ff.; Wienert FFC LVI *83 (ET 497), 115 (ST 256); Cosquin Études 3ff.; Rohde Der griechische Roman 37ff., 448; Dickson 199. Irish myth: Cross; English: Wells 129 (Emare); Swiss: Jegerlehner Oberwallis 325 No. 6; Breton: Sébillot Incidents s.v. "père”; Italian: Basile Pentamerone II No. 6, III No. 2, *Rotunda; Greek: *Frazer Apollodorus I 46 n. 1; India: Thompson-Balys; N. A. Indian: *Thomp- son Tales 304 n. 109p; Africa (Ibo, Nigeria): Thomas 139.
S322.1.2.	Father casts daughter forth when she will not marry him.
T311.1.	Flight of maiden to escape marriage.
T411.1.1.	Father by trickery secures priest's advice to marry his own daughter. If a man raise a lamb, shall he eat it himself or let another eat it? *Cosquin Études 9.
K1350.	Woman persuaded (or wooed) by trick.
T411.1.2.	Father feigning death returns in disguise and seduces daughter. N. A. Indian: **Schmerler JAFL XLIV 196ff.
K1315.	Seduction by impostor.
K1325.	Seduction by feigned death.
T411.2.	Girl got with child by intoxicated father. Irish myth: *Cross.
T411.2.1.	Daughters seduce drunken father. Jewish: *Neuman.
T412.	- Mother-son incest. *Types 931, 933; *Sparnaay 50ff.; Köhler-Bolte II 173ff., 182ff. Irish: MacCulloch Celtic 90, *Cross; English: Wells 116 (Sir Eglamour of Artois); Danish: Grundtvig No. 294; Jewish: *Neuman; India: *Thompson-Balys; Buddhist myth: Mala- lasekera II 603; Oceanic: Dixon 164 nn. 33-44; Indonesia: Hambruch Malaiische Märchen 299, Bezemer Volksdichtung aus Indonesien 81; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 162.
A164.1.1.	Mother-son marriage of the gods.
G303.11.1.1.	The devil's son is with his mother at night in his father's place.
H94.8.	Recognition by medallion. Prevents incest.
M344.	Mother-incest prophecy. In spite of all precautions the youth marries his mother.
N365.1.	Boy unwittingly commits incest with his mother.
N383.3.	Mother dies of fright when she learns that she was about to commit incest with her son.
N681.3.1.	Man about to consummate marriage with own mother when he is identified by a plaque.
P231.	Mother and son.
T412.1.	Mother guilty of incest with son forgiven by Pope (Virgin Mary). Wesselski Mönchslatein 21 No. 16; Alphabet Nos. 206, 320; Spanish Exempla: Keller.   ## p. 385 (#389) ############################################  T. Sex 385
T412.2.	Incognito son tempts mother to see whether all women are wicked. Scala Celi 87a No. 509; Icelandic: Gerling Islandzk Æventyri 7 No. 1.
T412.3.	Mother guilty of incest with son whose honor she is testing. Heptameron No. 30.
T412.4.	Boy courts his mother, is driven off by father. Africa (Konnoh): Willans 136.
T415.	Brother-sister incest. *Type 933; *Bolte Zs. f. Vksk. XXVIII 75; *Sparnaay 30; Köhler-Bolte II 173ff., 182ff.; Baum PMLA XXXI 562 n. 59; Schröder Germanisch-Romanische Monatschrift XIX 13; Chauvin V 197 No. 115; *Krappe Archiv für das Studium der neueren Sprachen 167 (1935) 161-176; Heptameron Nos. 30, 33. Irish: MacCulloch Celtic 25, 90, *Cross; Welsh: MacCulloch Celtic 98; Icelandic: De la Saussaye 251, Boberg; Spanish Exempla: Keller; Italian Novella: Rotunda; Persian: Carnoy 310; Egyptian: Müller 119; Jewish: Neuman; India: *Thompson-Balys; Philippine: Dixon 164 n. 45; N. A. Indian: *Thompson Tales 274 n. 8; Africa (Fang): Einstein 189.
A511.1.3.2.	Demigod son of king's unmarried sister by her brother.
A736.1.1.	Sun sister and moon brother.
A1331.2.	Paradise lost because of brother-sister incest.
A1552.1.	Why brother and sisters do not marry.
F1075.	Blood of brother and sister (and smoke from their funeral pyres) refuses to mingle.
N365.3.	Unwitting brother-sister in- cest.
P253.	Sister and brother.
Q541.3.	Penance: Gregory on the stone. Standing on a stone (pillar) as penance for incest.
R321.1.	Sister escapes to the stars to avoid marrying brother.
T550.3.	Misshapen child from brother-sister incest.
T415.1.	Lecherous brother. Wants to seduce (marry) his sister. Lithuanian: Balys Index No. 314A*; Spanish Exempla: Keller; India: *Thompson-Balys; Chinese: Werner 408; N. A. Indian: *Thompson Tales 305 n. 109.
T415.2.	Brother repels incestuous sister. *Bolte Zs. f. Vksk. XXVIII 75; N. A. Indian: *Demetrocoupoulou JAFL XLVI 101-125.
T415.3.	Lovers reared as brother and sister learn to their joy that they are not related. *Bolte Zs. f. Vksk. XXVIII 75; Italian No- vella: *Rotunda.
T415.4.	Two lovers give each other up when they learn that they are brother and sister. *Bolte Zs. f. Vksk. XXVIII 75; India: Thompson- Balys.
T415.5.	Brother-sister marriage. Icelandic: Boberg; Greek: Fox 164 (Zeus and Hera), *Frazer Pausanias II 84; India: Thompson-Balys; N. A. Indian (Klikitat): Jacobs UWash II 31; Africa (Fang): Tess- man 185.
A164.1.	Brother-sister marriage of the gods.
A1552.3.	Brother-sister marriage of children of first parents.
T415.6.	Suicide to prevent brother-sister marriage. India: Thompson- Balys.
T415.7.	When boy cannot have his sister for a wife he asks for one of her eyes and ears instead. India: Thompson-Balys.
T417.	Son-in-law seduces mother-in-law. Italian Novella: Rotunda; N. A. Indian: *Thompson Tales 305 n. 109s.
T417.1.	Mother-in-law seduces son-in-law. Italian Novella: *Rotunda; S. A. Indian (Guaporé): Lévi-Strauss BBAE CXLIII (3) 379.
K1315.7.1.	Seduction by pretending to instruct (or to need instruction) for marital duties. 25 25   ## p. 386 (#390) ############################################  386 Motif-Index of Folk-Literature
T418.	Lustful stepmother. Irish myth: *Cross; Icelandic: *Boberg; Italian Novella: *Rotunda; Greek: Euripides Hippolytus; S. A. In- dian (Viracocha): Steward-Métraux BBAE CXLIII (3) 551.
K2111.	Potiphar's wife.
T418.1.	Lustful stepfather. Italian Novella: *Rotunda.
T421.	Man marries his aunt (mother's sister). Irish myth: *Cross; Greek: Frazer Apollodorus II 98 n. 1.
T423.	Youth attempts to seduce his grandmother. Cent Nouvelles Nouvelles No. 50; Italian Novella: *Rotunda.
T425.	Brother-in-law seduces (seeks to seduce) sister-in-law. Irish myth: *Cross; India: *Thompson-Balys.
T450.	Prostitution and concubinage. *Encyc. Religion Ethics III 809 s.v. "concubinage"; *Penzer X 272 s.v. "prostitution", X 288 s.v. "sacred prostitution"; Pauli (ed. Bolte) No. 218; Irish myth: *Cross; Italian Novella: Rotunda; India: *Thompson-Balys.
E411.2.1.	Priest's concubine cannot rest in grave.
E501.2.4.	Courtisans in wild hunt.
E501.5.1.2.	Prostitutes pursued in wild hunt.
J229.4.	Better send an ugly woman to the devil than a pretty one. Man chooses ugly mistress.
J1115.8.	Clever prostitute.
J1351.	Women call each other prostitutes.
J1551.1.	Imagined intercourse, imagined pay- ment.
K425.	King's daughter put into brothel to catch thief.
Q243.1.1.	Harlot punished by being burned in hell fire.
T450.1.	Wife born to be prostitute. Husband unable to change her ways, submits to them. Cent Nouvelles Nouvelles No. 91.
T450.2.	Woman disappointed in love threatens to become prostitute. India: *Thompson-Balys.
T450.3.	Prostitution to avoid starvation. India: *Thompson-Balys.
T450.4.	Prostitute has favorite lover. India: Thompson-Balys.
T451.	Devil causes girl to become prostitute. Destroys the girl's family and begets on her a boy. English: Wells 42 (Arthour and Merlin).
T452.	Bawds. Professional go-betweens. *Chauvin VI 17 No. 189 n. 1; Bødker Exempler 280 No. 23; Spanish Exempla: Keller.
T452.1.	Mother acts as procuress of bedmate for her son. India: Thomp- son-Balys.
T453.	Getting advice from a woman in bed. Icelandic: *Boberg.
C195.	Tabu: taking the advice of a woman.
J155.	Wisdom (knowledge) from women.
J155.8.	Wisdom from a harlot to a king.
N131.1.	Luck changed after cohabitation.
T453.1.	Hero learns feats of arms through gratifying woman's lust. Irish myth: *Cross.
T453.2.	Prostitute gets advice from customer. India: Thompson-Balys.
T455.	Woman sells favors for particular purpose. Irish myth: *Cross.
H551.2.	Woman gives self to solver of riddles.
K1353.1.	Trickster offers food for woman's favors which will completely satisfy him.
K1357.	Youth tricks lady with promise of shoes.
K1358.	Girl shows herself naked in return for youth's dancing hogs.
K1361.	Beggar buys right to sleep before the girl's door, at foot of bed, in the bed.
K1361.2.	Pro- gressive purchase of favors: the anatomical progression.
K2231.	Treacherous mistress.
M200.	Bargains and promises.   ## p. 387 (#391) ############################################  T. Sex 387
T455.1.	Woman sells favors to obtain a jewel. Icelandic: MacCulloch Eddic 123 (Freja), 176 (Frigg); Spanish: Boggs FFC XC 108 No. 900A*.
T455.1.1.	Woman sells favors to obtain many jewels. India: *Thompson- Balys.
T455.2.	Woman sacrifices her honor to free her husband (brother) from prison. *Bolte Zs. f. Vksk. XII 65.
T455.2.1.	
K1353.	Woman deceived into sacrificing honor. Ruler promises to release her brother (husband) but afterwards refuses to do so.
