rownum	motif_id	text
29376	J242.7	Choice of a learned crow: a dead cat better than a golden crown.
29377	J242.8	In dividing property clever younger brother takes hind part of buffalo, upper part of tree, and use of curtain during night.
29378	J243	Usefulness better than speed.
29379	J243.1	Dog and hog dispute over their children: worth lies not in speed.
29380	J244	Goodness preferred to beauty.
29381	J244.1	Father with handsome son and hideous daughter. Advises both to look in mirror daily lest son exchange handsome face for bad character; daughter to triumph over face by good manners.
29382	J245	Useful and ugly preferred to expensive and beautiful.
29383	J245.1	Millstone preferred to jewels. Man shown jewels that cost much money; he replies that he has better stones (millstones) that earn that much.
29384	J245.2	King who experiences the cultural civilization of an empire in dream would rather be poor and primitive.
29385	J246	Strength preferred to cleverness.
29386	J246.1	Man criticizes the devil because his deeds are not fair. Devil says that they are strong nevertheless. Hence strong speakers rather than clever are to be preferred.
29387	J246.2	Hero, despising weapons, fights with fists alone.
29388	J247	Goodness preferred to wealth.
29389	J247.1	Man advised to choose good poor man for his daughter's husband rather than rich man.
29390	J251	Practical knowledge more vital than theoretical.
29391	J251.1	The bookman and the boatman: each ignorant of other's work. Bookman's swimming saves their lives.
29392	J252	Learned person worth two unlearned. Latter wastes time, former not.
29393	J260	Choice between worth and appearance.
29394	J261	Loudest mourners not greatest sorrowers.
29395	J262	Noisy things often empty.
29396	J262.1	Fox and noisy but empty drum.
29397	J262.2	Little coin in empty bottle noisy.
29398	J263	Among many vain words may be found some of wisdom.
29399	J264	Apparent beauty may be of the least importance. Ruler admires jewels's beauty but neglects to inquire about their marvelous virtues.
29400	J266	Choice between short and dangerous or long and sure way.
29401	J267	Choice between flattering lies and unflattering truths.
29402	J267.1	Raven drowns his young who promise to aid him when he becomes old. He saves one who admits he will not help, because he will have to carry his own young.
29403	J280	Quality preferred to quantity.
29404	J281	Quality of offspring preferred to quantity.
29405	J281.1	"""Only one, but a lion"". Lioness thus answers fox (hog) who twits her that she has only one cub."
29406	J310	The present preferred to the past.
29407	J311	Heed not the past.
29408	J311.1	Count only the waves before you. Fox sees man trying to count the waves. Advises him to count only those immediately before him and to pay no attention to those which have already passed.
29409	J311.2	"Do not ask: ""Why were the former days better than the present ones?"""
29410	J312	Not what you were but what you are counts.
29411	J312.1	Wasp twits butterfly with coming from ugly chrysalis: unimportant where you come from.
29412	J320	Present values preferred to future.
29413	J321	Present possessions preferred to future possibilities.
29414	J321.1	A bird in the hand foolishly given away in hope of greater gain.
29415	J321.1.1	Today's catch of fish traded for prospective larger catch tomorrow.
29416	J321.2	Little fish in the net kept rather than wait for uncertainty of greater catch.
29417	J321.3	Lion leaves sleeping hare to follow the shepherd. Loses both victims.
29418	J321.4	Present possessions preferred to future.
29419	J322	Don't injure yourself to insure your family's future.
29420	J322.1	Man wagers he can run with his head off. Asked what it will profit him, he says that it will profit his family.
29421	J323	Man to be reforged chooses present unhappiness. He is in heaven and God is to reforge him, but he chooses not to change.
29422	J325	Children choose father they know rather than real father they do not yet know. Woman confesses that child is not by her husband. Child, however, chooses to keep the father he knows.
29423	J326	Man prefers servant girl who is present to her absent mistress.
29424	J327	Soldier prefers to live rather than die and be avenged on enemy.
29425	J340	Choices: little gain, big loss.
29426	J341	Weight of bodily member chosen rather than its loss.
29427	J341.1	Fox prefers to bear weight of his tail rather than give part of it to ape.
29428	J342	High wages bring expensive living.
29429	J342.1	Barber leaves inexpensive village for high wages in city. Finds cost of living more than enough to take all his profit.
29430	J342.1.1	In spite of master's advice disciple stays in country where everything has cheap price. Gets into trouble.
29431	J342.2	Wise man refuses income of half a kingdom since expenses will outweigh gain.
29432	J343	Man refuses cure which brings greater inconvenience.
29433	J343.1	Drunkard refuses cure of fever if it is to take away his thirst.
29434	J344	What one has is neglected in search for other things.
29435	J344.1	The monkey and the lost lentil. Lets all others he has in his hand fall in order to search for it.
29436	J344.2	Host wants to learn Hebrew even at risk of forgetting his own language.
29437	J345	The valuable neglected for the interesting.
29438	J345.1	Herdsman neglects his she-goats in favor of wild-goats. She-goats die; wild-goats run off.
29439	J345.2	Man leaves farming for fishing. When water dries up he goes hungry.
29440	J346	Better be content with what you have, than try to get more and lose everything.
29441	J347	Wealth and glory sacrificed for freedom and virtue.
29442	J347.1	Man refuses vast wealth because with it will come covetousness.
29443	J347.2	King lays aside crown since it brings too many cares.
29444	J347.3	Prince chooses exile and honor to foul life at his father's court.
29445	J347.4	Rich merchant is poorer in happiness than poor man.
29446	J347.5	Man refuses rich marriage with house filled with dangerous wild animals.
29447	J350	Choices: small inconvenience, large gain.
29448	J351	Bodily member(s) sacrificed to save life.
29449	J351.1	Beaver sacrifices scrotum to save life. Cuts it off and leaves it for pursuers.
29450	J352	Inconvenience disregarded when booty is in sight.
29451	J352.1	Wolf does not mind the dust. Told that dust from flock of sheep will annoy him; he finds it useful.
29452	J352.2	Snake is willing to suffer the indignity of serving frog king as mount because frog king gives him frogs to eat.
29453	J355	Slight inconvenience in weather, large gain.
29454	J355.1	The widow's meal. King upbraids wind for blowing away a poor widow's last cup of meal. Finds that the wind has saved a ship full of people by that very act. The king is humbled.
29455	J356	Less inconvenience in fighting though tired than in losing all for a little rest.
29456	J357	Priest sells his donkey because worry for its safety distracts him from prayer.
29457	J369	Small inconvenience, large gain miscellaneous.
29458	J369.1	Solomon refuses water of immortality for himself when he cannot have it for his possessions also.
29459	J369.2	Ape throws away nut because of its bitter rind.
29460	J370	Choices: important and unimportant work.
29461	J371	No time for minor fights when life is in danger.
29462	J371.1	Bull refuses to fight goat. Bull being pursued by lion tries to go into cave. Goat refuses to let him in. Bull must go on, for with lion pursuing he has no time to fight goat.
29463	J372	King ridiculed for inventing trifle of musical instrument but praised for constructing a great mosque.
29464	J390	Choices: kind strangers, unkind relatives.
29465	J391	Kind foster-parents chosen rather than cruel parents.
29466	J391.1	Lamb chooses her foster-mother, the she-goat. Owes more to her than to her own mother, who has deserted her.
29467	J400	Choice of associates.
29468	J401	Scarcity of real friends.
29469	J401.0.1	"""A friend is known in need."""
29470	J401.1	"Socrates builds himself a little house. Criticized for its smallness he says, ""I wish I had true friends enough to fill it."""
29471	J410	Association of equals and unequals.
29472	J411	Great refuse to associate with lowly.
29473	J411.1	Boar refuses to fight with lowly ass.
29474	J411.2	Zeus refuses wedding present from snake. Presents to be received only from equals.
29475	J411.3	Prince refuses to play with common children.
29476	J411.3.1	Noble poets refuse to associate with truly good poet because of his lowly birth.
29477	J411.4	Peasant ashamed of being thrown off by ass. Shameful to be thrown by such a creature.
29478	J411.5	Wolf tries to make friends with lion: killed.
29479	J411.6	Dolphin and whale scorn crab as peacemaker.
29480	J411.7	Laurel and olive tree scorn thornbush as umpire in their dispute as to who is most useful.
29481	J411.8	Mouse on lion's mane. Lion angry at impudence of mouse.
29482	J411.9	Knight disregards insult by servant.
29483	J411.9.1	King refuses to quarrel with bird.
29484	J411.10	Leopard ashamed of having been bitten by lizard.
29485	J411.11	Rich man refuses to associate with poor sister.
29486	J412	Profitable association of great and lowly.
29487	J412.1	Prince of democratic tastes chosen. King asks three sons what kind of bird they would prefer to be. First: an eagle, because it is ruler of birds; second: a falcon; because it is beloved by the nobles; third: a bird which flies with many others, so as to receive advice. King chooses third.
29488	J413	Unprofitable association of unequals.
29489	J413.1	Lion licks sick man, who is thereby disgusted.
29490	J414	Marriage with equal or with unequal.
29491	J414.1	Wife chosen instead of fairy mistress. They let man choose between them.
29492	J414.2	Prince prefers first love to princess he later marries.
29493	J414.3	Unsuccessful marriage of jackals and turtles (different habits).
29494	J416	One's own kind preferred to strangers.
29495	J416.1	Bird refuses to maintain friendship with bird of different habits.
29496	J417	Man prefers to live with ordinary rather than with pious man. He will be virtuous by comparison.
29497	J420	Association of strong and weak.
29498	J421	Subordination of weak to strong.
29499	J421.1	Lion as king makes ass his lieutenant.
29500	J421.2	Lion makes lame goat his lieutenant.
29501	J423	Stupid fear company of clever.
29502	J423.1	Jackal realizes that the partridge was too clever for him and leaves.
29503	J425	Weak fear company of strong.
29504	J425.1	Earthen and brazen pots in river. Brazen pot thinks that they should stay together for company. Earthen pot, however, fears approach of brazen pot.
29505	J425.2	Buffalo refuses tiger's invitation to dinner. He sees fire prepared to cook him.
29506	J426	Association of rat with cat ceases as soon as mutual danger has passed. The rat threatened by the weasel and the owl allies himself with a cat caught in a net. Saved by the cat, he rescues the cat with precaution and then prudently renounces further relations with her.
29507	J426.1	Association of mouse with cat ceases as soon as mutual danger has passed.
29508	J426.2	Friendship of snake and frog ceases when snake wants to eat frog.
29509	J427	Association of cow and tiger: tiger eats cow as soon as she is hungry.
29510	J428	Association of tiger and crane. They soon quarrel.
29511	J429	Association of strong and weak miscellaneous.
29512	J429.1	Association of swan and swallow: swan unable to fly away from danger.
29513	J429.2	Associating with a bad friend is fatal: swan and crow. Swan is blamed when crow drops filth.
29514	J440	Association of young and old.
29515	J441	Profitable association of young and old.
29516	J441.1	Old ox yoked with young ox. Thus kept in order.
29517	J445	Foolish association of young and old.
29518	J445.1	Foolish youth in love with ugly old mistress.
29519	J445.2	Foolish marriage of old man and young girl.
29520	J450	Association of the good and the evil.
29521	J451	Contagiousness of bad company.
29522	J451.1	Ass buyer returns ass which has associated with lazy companions.
29523	J451.2	Stork killed along with cranes. Ill-advised associations end fatally.
29524	J451.3	God of wealth in bad company. Heracles on his arrival in heaven fails to greet Plutus, the god of wealth: he has seen him in too bad company.
29525	J451.4	Mirror begrimed by snail.
29526	J452	Bad associates bring death to bishop. Doctor loses his life for him and lawyer his soul.
29527	J455	Harm of association with flatterers.
29528	J460	Unnecessary choices.
29529	J461	Senseless debate of the mutually useful.
29530	J461.1	The belly and the members. Debate as to their usefulness. All mutually useful.
29531	J461.1.1	Tail and head of serpent quarrel as to usefulness.
29532	J461.1.2	Fortune, Intellect, Knowledge, and Health dispute as to which is the greatest.
29533	J461.1.3	Debate of tongue and other bodily members.
29534	J461.2	Common wives of man debate as to which has helped him most. Help of each was indispensable.
29535	J461.3	Tobacco, pipe, and match debate usefulness to smoker.
29536	J461.4	Deer, opossum, and snake each render indispensable aid to man. Foolishly debate their usefulness.
29537	J461.5	Rice, wheat, and dal dispute as to which is the best.
29538	J461.6	Dispute of hammer and anvil.
29539	J461.7	Wealth and wisdom dispute as to who is greater.
29540	J461.8	Elephant and ape debate about superiority. Owl gives them task neither can perform and ends futile debate.
29541	J462	Unnecessary choices of belief.
29542	J462.1	Unnecessary choice of gods. King's sons each choose a god: Jupiter for power, Saturn for wisdom, etc. Father says that a god of all combined would be better.
29543	J462.2	Unnecessary choice of philosophies.
29544	J462.3	Unnecessary choice of religion.
29545	J462.3.1	Father leaves sons three jewels Christianity, Judaism, Mohammedanism. All to be used.
29546	J462.3.1.1	Father gives son three rings. Only one is good although they all look the same. Same with religions.
29547	J463	Unnecessary choice: to go uphill or downhill. Camel prefers the level.
29548	J465	Unnecessary choice: praying or reading. Both are good.
29549	J466	Senseless debates about usefulness.
29550	J466.1	Pomegranate and apple tree dispute as to which is worth most. Blackberry reproves them for useless jangling.
29551	J466.2	Senseless debate: which is the greater, St. John the Baptist or St. John the Evangelist?
29552	J480	Other choices.
29553	J481	Inflicters rather than receivers of wounds chosen. Men with many wounds recommended as soldiers. King had rather have those who gave the wounds.
29554	J482	King advised to marry maid rather than widow. Widow would have things her own way.
29555	J482.1	Woman refuses second marriage. If husband is good she will fear to lose him; if bad she will repent.
29556	J482.1.1	Woman refuses second marriage. Her husband abides in her heart.
29557	J482.1.2	Widow refuses second marriage so her brother cannot kill a second husband.
29558	J482.2	Better to marry ugly than fair wife. Less hard to satisfy.
29559	J482.2.1	Better to marry a man lacking money than money lacking a man.
29560	J482.3	Young man advised to choose as wife a girl whose mother was chaste.
29561	J483	Choice: to do that which one knows or to learn something.
29562	J484	Enjoyment preferred to wealth.
29563	J485	Three sins of the hermit. Choice of three sins given him: adultery, murder (theft), drunkenness. He chooses drunkenness; the others follow.
29564	J486	Death preferred above God and Justice.
29565	J487	Tame dog prefers food basin to fleeing hare.
29566	J488	Fox had rather meet one hen than fifty women.
29567	J491	Old sweetheart chosen in preference to new.
29568	J493	Little men preferred to big men. Preacher prefers small men because the intellect has difficulty in reaching to one's heels.
29569	J494	Choice: death and revenge preferred to life.
29570	J495	Monk chooses solitude and loneliness to company and temptation. By living alone he escapes sin.
29571	J496	Choice of friend over mistress. Given the choice of his friend or his mistress, man chooses his friend.
29572	J497	Eagle prefers own offspring to changeling.
29573	J510	Prudence in ambition.
29574	J511	One should not attempt to change his color.
29575	J511.1	Negro tries in vain to be washed white.
29576	J512	Animal should not try to change his nature.
29577	J512.1	Crab comes ashore: killed by fox.
29578	J512.2	Kite tries to neigh like a horse. Loses his voice and gains nothing.
29579	J512.3	Camel tries in vain to dance.
29580	J512.4	Ass tries in vain to play lyre.
29581	J512.5	Wolf tries in vain to be doctor. Only increases patient's suffering.
29582	J512.6	Crow tries to imitate partridge's walk. Only spoils his own.
29583	J512.7	Mouse, bird, and sausage keep house together. When they exchange duties all goes wrong.
29584	J512.7.1	Elephant, giraffe, snake, and ant try keeping house together: requirements different.
29585	J512.8	"Ass tries to get a cricket's voice. Asks crickets what they eat to get such a voice. They answer, ""dew."" He tries it and starves."
29586	J512.9	Lizard tries to make himself as long as snake. Kills himself.
29587	J512.10	Fox tries to mask as dove, but loses all thoughts of murder.
29588	J512.11	Camel and jackal exchange food: camel is led by his good friend to thorny fruit and thorn sticks in his throat.
29589	J512.12	Frog wants to be shod like a horse.
29590	J512.13	Jackal accidentally made king but joins other jackals in howling at night. Killed.
29591	J512.14	Snake wants to act as pet like parrot: killed.
29592	J512.15	Frogs want to collect honey like bees.
29593	J513	One should let well enough alone.
29594	J513.1	Birds seeking richer lands are nearly all killed. Survivors advise their friends to let well enough alone.
29595	J513.2	Barber tries unsuccessfully to become a trader.
29596	J514	One should not be too greedy.
29597	J514.1	Kite tries to carry off so many partridges that he drops them all.
29598	J514.2	Wolf tries to eat bowstring. Finds hunter, gazelle, and wild boar dead. Tries first to eat the bowstring, and is mortally wounded.
29599	J514.3	Greedy man keeps demanding one more thing from complacent man;  at last is magically blinded.
29600	J514.4	Greedy pig looks up into tree for figs. This causes his death.
29601	J514.5	Greedy man dissatisfied with gold looks for jewels;  finds only iron and eventually nothing.
29602	J514.6	Fowler wants two rubies as ransom for a caught goose;  loses goose and both rubies.
29603	J515	Peacock spends so much time preening for coronation that birds become impatient and make the owl king instead.
29604	J530	Prudence in demands.
29605	J531	Good shepherd shears his sheep; does not skin them. Emperor thus replies to suggestion of a new tax to be laid on the people.
29606	J550	Zeal temperate and intemperate.
29607	J551	Intemperate zeal in truth-telling.
29608	J551.1	Cocks who crow about mistress's adultery killed. Discreet cock saves his life.
29609	J551.1.1	Bird warns mistress against committing adultery: gets neck wrung.
29610	J551.2	"Fool given the truth on his back. He tells his master what the servants have done during his absence. The servants whip him on his bare back, saying at each blow, ""That is the truth."" When the master returns and tells the fool to tell the truth, the latter replies, ""There is nothing worse on earth than the truth."""
29611	J551.3	Doctor loses a horse for the sake of the truth. Overlord asks two doctors whether he is entitled to all the possessions of his retainers. One doctor unrighteously answers yes and receives a horse. The other who tells the truth receives nothing.
29612	J551.4	Man asked to tell truth says that his host, his hostess, and the cat have but three eyes between them. He is driven off for his truth telling.
29613	J551.5	"Magpie tells a man that his wife has eaten an eel, which she said was eaten by the otter. The woman plucks his feathers out. When the magpie sees a bald man, she says, ""You too must have tattled about the eel."""
29614	J551.6	Only youngest son tells king truth when asked where they got their food: banished.
29615	J551.7	Honest servant tells people that shop does not have many customers: dismissed.
29616	J552	Intemperate pugnacity.
29617	J552.1	Noblemen who quarreled over a device. Wiser of the two shows foolishness of such a fight.
29618	J552.2	Noblemen being ruined by long lawsuit decide wisely to join their families in marriage and save their fortunes.
29619	J552.2.1	Bishop fond of lawsuits is ordered by king to settle them: bishop pleads for a few to be left so that he will have something to live for.
29620	J552.3	Serpent (weasel) tries to bite a file.
29621	J552.4	"Helmet left for woman to quarrel with. Woman insists upon quarreling with a nobleman. He says, ""If you wish to quarrel, I shall leave my helmet here. You can talk to it."""
29622	J552.5	Brothers compose quarrel and save umpire's fee.
29623	J552.6	"Boast at home. In Castile a Spaniard maintains to a Portuguese that the Spanish king is best of all. In Portugal, that the Portuguese king is best. ""Each cock crows in his own barnyard."""
29624	J553	Intemperance in work.
29625	J553.1	Aesop with the unbent bow. Upbraided when found playing with children, he unstrings a bow and shows how good relaxation is.
29626	J553.2	"Ruler interrupts meeting of Senate to amuse his small son. When rebuked for making him a whistle he says: ""I would have blown it for him had he asked me to do so."""
29627	J554	Intemperance in service. Emperor rebukes overzealous servant as being a nuisance.
29628	J555	Intemperance in obedience.
29629	J555.1	Cum grano salis. Instructions of mother followed literally by one daughter when she marries. All goes wrong. Second daughter follows them in conformity with her father's explanations and all is well.
29630	J556	Intemperance in honesty.
29631	J556.1	"St. George teaches the poor man, ""Who steals somewhat and lies somewhat will be rich."""
29632	J556.2	Forget God for five years and you will become wealthy.
29633	J557	Intemperance in undertaking labor.
29634	J557.1	Monk discouraged by large amount of work to be done persuaded to undertake but a small amount each day. The small task will be done; the large one will merely discourage.
29635	J557.1.1	True penance for even a day is effective.
29636	J558	Intemperance in sacrificing.
29637	J561	Intemperance in pursuit.
29638	J561.1	Man tracking gorilla sees animal's strength. Wisely refrains.
29639	J561.2	Cow-herd looking for cattle thief recognizes him in the lion. Desists.
29640	J562	Intemperance in charity. A waste of time to make a bed for a dog who lies down wherever he happens to be tired. Likewise a waste of time to help unappreciative people.
29641	J563	Man resuscitates a lion which devours him.
29642	J564	Intemperance in worship.
29643	J565	Intemperance in fasting.
29644	J565.1	Fool fasts on roof till he becomes so weak he falls off.
29645	J570	Wisdom of deliberation.
29646	J571	Avoid hasty judgment.
29647	J571.1	When in anger say the alphabet. Man thus restrained from hasty judgment.
29648	J571.2	King given three wheels to control his anger.
29649	J571.3	King in anger punishes misdeed on Easter day. Is almost killed himself in retaliation. He submits and says that he deserves this punishment for hasty action.
29650	J571.4	Avoid hasty punishment.
29651	J571.4.1	Man has disinterested party punish servant for him lest he himself be unfair in his anger.
29652	J571.4.2	Master when angry will not punish servant who has ruined him.
29653	J571.5	King restrained from hasty judgment by being told story.
29654	J571.6	Judge not that you be not judged: thus judge upbraided when he is later accused in court and claims mercy.
29655	J571.7	Answer questions of a fool the next day.
29656	J571.8	Unpaid servant refuses to blame master: later rewarded.
29657	J572	Wisdom of deliberation in fight.
29658	J572.1	Bravest know how to wait. Three men are pursued in battle. First throws himself on enemies; second waits a little; third does not fight until the enemy begins. Latter is bravest.
29659	J580	Wisdom of caution.
29660	J581	Foolishness of noise-making when enemies overhear.
29661	J581.1	Wolf as dog's guest sings. He has drunk too much and sings in spite of the dog's warning. He is killed.
29662	J581.2	Paramour who insists on quarreling with mistress about escape caught by her husband. He finds the escape different from that which had been described to him.
29663	J581.3	Monk's enemies quarrel and thus save him. Robber who wants to steal monk's cow and devil who wants to steal his soul quarrel as to which shall begin first; they thus awaken him and the neighbors.
29664	J581.4	Drones dispute possession of honey. Ordered to make honey. Dispossessed.
29665	J581.5	Kites and crows quarrel over division of wounded fox. Meantime fox escapes.
29666	J582	Foolishness of premature coming out of hiding.
29667	J582.1	Hidden goat discovered by his horn protruding above ground.
29668	J582.2	Hidden stag discovered when he begins to eat grapevine too soon after hunters have passed.
29669	J585	Caution in eating.
29670	J585.1	Clever girl refrains from eating figs which would bring on magic sleep.
29671	J610	Forethought in conflict with others general.
29672	J611	Wise man before entering a quarrel considers how it will end.
29673	J612	Wise man considers whom he is attacking.
29674	J612.1	Flea and fever exchange night-lodgings. Flea had attacked abbess and been chased all night; fever, a washerwoman who nearly froze it to death by going to the river and washing clothes. They exchange and succeed.
29675	J613	Wise fear of the weak for the strong.
29676	J613.1	Frogs fear increase of sun's power which will dry up all their puddles.
29677	J613.2	Frogs fear defeated bull.
29678	J620	Forethought in prevention of others's plans.
29679	J621	Destruction of enemy's weapons.
29680	J621.1	The swallow and the hemp-seeds. Swallow in vain urges other birds to eat seed as fast as it is sowed. Ridiculed, he builds his nest among the dwellings of men. Later, birds are caught in nets made from the hemp.
29681	J621.1.1	Snake gives away magic pills later used to kill him.
29682	J622	Preventing the birth of enemies.
29683	J622.1	Wise man destroys serpent's eggs.
29684	J622.1.1	Swallow advises hen against hatching out serpent's eggs. She is hatching her own destruction.
29685	J623	Prevention of hostility by inspiring fear in enemy.
29686	J623.1	"Snake complains to Zeus that people step on him. Zeus: ""If you had bitten the first foot that stepped on you it would not be done now."""
29687	J624	Uniting against a common enemy.
29688	J624.1	Two sheep kill a fox who has licked up the blood they have spilled in a fight.
29689	J624.2	Sheep-dogs stop quarreling to hunt wolf who has raided the flock.
29690	J624.3	Enemy brothers unite to fight a common enemy.
29691	J625	Prevention of hostilities by agreeing to demands while in danger. Barber makes heavy demands of customer while the razor is at his throat. Customer agrees but after the shave throws the barber out.
29692	J626	Prevention of hostilities by disarming the suspect. Later learned that he is a fugitive murderer.
29693	J628	Dissuasion from suicide. Man dissuades simpleton from hanging himself by telling him that hell is a place of pain and torments.
29694	J631	Crab takes hold of heron's neck and fearing attack cuts neck and kills him.
29695	J634	King takes measures against assassination.
29696	J634.1	King to avoid possible assassination singes his beard rather than have barber shave him.
29697	J634.2	King to avoid possible assassination has queen's quarters searched before he enters.
29698	J640	Avoidance of others' power.
29699	J641	Escaping before enemy can strike.
29700	J641.1	One bird escapes as hunter bends his bow; other remains and is shot. (Told also of fish.)
29701	J642	Foolishness of surrendering weapons.
29702	J642.1	Lion suitor allows his teeth to be pulled and his claws to be cut. He is then killed.
29703	J642.2	Robbers persuaded to give hero sword with which they are afterwards killed.
29704	J643	Care against future tyranny.
29705	J643.1	Frogs demand a live king. King Log. Zeus has given them a log as king, but they find him too quiet. He then gives them a stork who eats them.
29706	J643.2	Kite as king of chickens.
29707	J643.3	Lion as king of animals reinstated after elephant is tired.
29708	J644	Avoiding places which have been fatal to others.
29709	J644.1	Fox sees all tracks going into lion's den but none coming out. He saves himself.
29710	J645	Avoiding power of future enemy.
29711	J645.1	Birds flee from cuckoo who, they believe, will later become a hawk.
29712	J646	Disregard advice of your enemy.
29713	J646.1	Palamides, having injured Ulysses, seeks advice from him. Following the advice proves fatal.
29714	J646.2	Bird hears voices from within unhatched eggs and flies away: voices plot to dine on their bird-mother when they are born.
29715	J647	Avoiding enemy's revenge.
29716	J647.1	Avoid enemies' revenge either by making peace and friendship or by killing them all. So says old man to conqueror.
29717	J647.2	Advice not to rob women while they are alone, for fear of returning husbands' revenge.
29718	J648	Care against future imprisonment.
29719	J648.1	Monkeys planning to found a city desist lest with walls up it will be easier to catch them than before.
29720	J651	Inattention to danger.
29721	J651.1	Throstle giving all attention to sweet fruits is caught by bird catcher.
29722	J651.2	Man inattentive to the danger of drowning enters water to save treasure and is drowned.
29723	J652	Inattention to warnings.
29724	J652.1	Frog persists in living in puddle on road. Disregards advice of another frog and is run over.
29725	J652.2	Swallows warn other birds against roosting in tree with glue. They disregard and are caught.
29726	J652.3	Man disregards priest's warning that he will seduce his wife. Adultery committed.
29727	J652.4	Warnings against certain peoples.
29728	J652.4.1	Hector warns Trojans against attacking the stronger Greeks. Warning disregarded. Disastrous defeat.
29729	J652.4.2	Don't play tricks on Gascons.
29730	J655	Approaching danger too familiarly.
29731	J655.1	Birds discuss the trap. One of them is caught in it.
29732	J655.2	Fox jeers at fox-trap. Is caught.
29733	J656	Avoiding things which are harmful by nature.
29734	J656.1	Thornbush blamed by fox for wounding him. He should have known better than to lay hold of something whose nature is to lay hold of others.
29735	J657	Care in selecting the creature to carry one.
29736	J657.1	Youth trusts self to horse over which he has no control. Thrown off.
29737	J657.2	Tortoise lets self be carried by eagle. Dropped and eaten.
29738	J657.3	Crane persuades fish to let him change him from one lake into another: he eats fish.
29739	J670	Forethought in defences against others.
29740	J671	Practical and impractical defences.
29741	J671.1	Belling the cat. Mice decide that a bell should be put on the cat but can find no one to tie it on her.
29742	J672	Defences by strengthening one's own weakest spots.
29743	J672.1	Ears stopped with wax to avoid enchanting song. Odysseus and the Sirens.
29744	J672.2	Cotton put in ears so as not to hear abusive words.
29745	J673	Defence when one needs it most.
29746	J673.1	Armor ordered thin in front and thick in back, since it would be most needed in flight.
29747	J674	Defences in and out of season.
29748	J674.1	Wild-boar sharpens tusks when no enemy is in sight. Tells fox that when enemy comes there are other things to do.
29749	J674.2	Man decides to make himself strong in peaceful times rather than wait until attacked.
29750	J675	Man slays another in order not to be slain himself.
29751	J675.1	Son slays father in order not to be slain himself.
29752	J676	"Youthful fencer yields to infuriated opponent who has picked up a pestle. ""Two against me. I surrender."""
29753	J677	Foolishness of king's taking a washerman for chief minister;  washerman makes no preparation for war and kingdom is conquered.
29754	J680	Forethought in alliances.
29755	J681	Alliances which make both parties more vulnerable.
29756	J681.1	Rat and frog tie paws together to cross marsh. Carried off by falcon.
29757	J681.1.1	Jackal and leopard tie tails together for mutual protection. Frightened, they run apart and injure each other.
29758	J682	Foolishness of alliances with the weak.
29759	J682.1	Foxes desert their allies, the hares, when they foresee defeat by the eagle.
29760	J683	Foolishness of attacking real allies.
29761	J683.1	Ass turns on his driver who would save him from falling over the precipice.
29762	J683.2	Tame doves close wild ones in trap and thus help common enemies.
29763	J683.3	Tame fox helps dogs against wild foxes. Is no longer trusted by latter.
29764	J684	Alliances with the strong.
29765	J684.1	Fox with lion protector goes hunting alone and is killed.
29766	J684.2	Foolishness of taking on too strong a partner: crow crowds sparrow out of its nest.
29767	J684.3	Tortoise joins peacock in dance. Cannot escape hunter; peacock flies off.
29768	J684.4	Victorious ally feared by others.
29769	J685	Alliances with the intelligent.
29770	J685.1	Man, lion, and bear in pit. Bear tells lion not to eat the man, since he would grow hungry again. Rather they should have the man use his intelligence to get them out.
29771	J689	Forethought in alliances   miscellaneous.
29772	J700	Forethought in provision for life (general).
29773	J701	Provision for the future.
29774	J701.1	Planting for the next generation. Man who is planting tree told that it will never mature in his day. He is planting for the next generation.
29775	J701.2	King improves kingdom before leaving it to his sons. He leaves it smaller but much stronger and richer.
29776	J702	Necessity of work.
29777	J702.1	Dervish who stops work.
29778	J702.2	King (queen) teaches children to work at all tasks to prepare them for life's possible hazards.
29779	J703	Planning for the greater office.
29780	J703.1	Looking for the keys of the abbey. Monk goes about with downcast eyes until he is made abbot; then lives in luxury. He explains that he was looking for the keys of the abbey. Now he has them.
29781	J703.2	"""Eat small fish now if you wish larger ones later."". Bishop refuses to eat small fish as he used to when an abbot. ""Then I used small fish to catch big ones I have now!"""
29782	J705	Safe provision for life not to be lightly surrendered.
29783	J705.1	Priest must give up his charge or his mistress. Gives up his parish and immediately loses his fickle mistress.
29784	J706	Acquisition of wealth.
29785	J706.1	Be diligent and spend little: how to become wealthy. Advice of a self-made man.
29786	J707	Wealth is most important.
29787	J710	Forethought in provision for food.
29788	J711	In time of plenty provide for want.
29789	J711.1	Ant and lazy cricket (grasshopper). Lazy bird is put to shame by thrift of industrious bird. In winter he is in distress.
29790	J711.2	Improvident mouse eats grain stored for famine. Loss is discovered and grain placed elsewhere. Mouse, who has saved nothing, starves.
29791	J711.3	King for a year provides for future. Knowing that the custom is that he is to be deposed in a year, he sends provisions to a safe place out of the kingdom.
29792	J711.4	Wise man stores grain against coming famine.
29793	J711.5	Industrious ant works always at his harvest to keep it dry. Ant brings stored grain out into sun to keep it safe.
29794	J712	Food alone keeps off hunger.
29795	J712.1	City without provisions but with much money starves.
29796	J713	Make use of proper seasons for crops.
29797	J713.1	Lazy boy vainly asks God of the Seasons to delay the plowing season.
29798	J715	Kindness unwise when it imperils one's food supply.
29799	J715.1	Eagle warns shepherds that wolf is eating sheep. Crow rebukes eagle for thus imperiling his own food supply.
29800	J730	Forethought in provision for clothing.
