ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
Maliseet,4,ethnic_tribal,indigenous_group,0.95,New Brunswick,"The Maliseet (also known as Wolastoqiyik) are an indigenous First Nations people who traditionally inhabited the Saint John River valley and its tributaries, across parts of New Brunswick, Maine and Quebec. They are part of the Algonquian language family.","[46.5653, -66.4619]",
Maya,4,ethnic_tribal,indigenous_civilization,0.95,Yucatan Peninsula,"Ancient Mesoamerican civilization and indigenous peoples who developed a sophisticated culture in southern Mexico and Central America, known for their advanced writing system, architecture, mathematics and astronomy. Their descendants still live in the region today.","[20.0, -89.0]",
Mingril,4,unknown,unknown,0.1,,"Unable to definitively identify this term - it may be a variant spelling or misrecording of another term, but no reliable references found",,
No. Am. Indian (Cherokee),4,ethnic_tribal,indigenous_group,0.95,Cherokee Nation,"References the Cherokee people, one of the largest indigenous tribes of North America, historically located in the southeastern United States (particularly Georgia, North Carolina, and Tennessee) before forced relocation to Oklahoma","[35.9, -94.97]",
No. Am. Indian (Haida),4,ethnic_tribal,indigenous_group,0.95,Haida Gwaii,"The Haida are an indigenous people primarily inhabiting Haida Gwaii (formerly Queen Charlotte Islands) off the northwest coast of British Columbia, Canada, and parts of southern Alaska. They are known for their distinctive cultural traditions, art, and maritime culture.","[53.2558, -132.0543]",
No. Am. Indian (Kaska),4,ethnic_tribal,indigenous_group,0.95,Southern Yukon/Northern British Columbia,The Kaska are a First Nations/Native American people traditionally inhabiting parts of southern Yukon Territory and northern British Columbia in Canada. They are part of the Athabascan (Dene) language family.,"[60.0, -128.0]",
No. Am. Indian (Malecite),4,ethnic_tribal,indigenous_group,0.95,New Brunswick,"The Malecite (also spelled Maliseet) are an indigenous First Nations people traditionally inhabiting the Saint John River valley and surrounding areas in what is now New Brunswick, Canada and northern Maine, USA","[46.5653, -66.4619]",
No. Am. Indian (Maliseet),4,ethnic_tribal,indigenous_group,0.95,New Brunswick,"The Maliseet (also known as Wolastoqiyik) are an Indigenous people traditionally inhabiting the Saint John River valley in New Brunswick, Canada and parts of northern Maine, USA. They are part of the Algonquian language family and maintain a distinct cultural identity.","[46.5, -66.7]",
Plains Cree,4,ethnic_tribal,indigenous_group,0.95,Saskatchewan,"The Plains Cree are a subgroup of the Cree First Nations people who traditionally inhabited the Great Plains region of Canada, particularly in what is now Saskatchewan and Alberta. They are distinguished from other Cree groups by their Plains culture adaptation, including buffalo hunting and horse culture.","[53.0, -106.0]",
So. Am. Indian (Aymara),4,ethnic_tribal,indigenous_group,0.95,Lake Titicaca region,"The Aymara are an indigenous people who have historically lived in the Altiplano region around Lake Titicaca, primarily in modern-day Bolivia and Peru. They are one of the largest indigenous groups in South America with their own distinct language and culture.","[-16.0, -69.0]",
So. Am. Indian (Carajb),4,ethnic_tribal,indigenous_group,0.9,Tocantins,"Refers to the Karajá (also spelled Carajá) indigenous people of central Brazil, primarily located along the Araguaia River in Tocantins state. They are one of the major indigenous groups of South America.","[-10.18, -48.33]",
So. Am. Indian (Ceuici),4,ethnic_tribal,indigenous_group,0.6,Brazil,"Appears to refer to the Ceuici, an indigenous group from South America, likely Brazil. The term 'So. Am. Indian' is an older form of referring to indigenous peoples of South America. Limited information is available about this specific group.","[-10.0, -55.0]",
So. Am. Indian (Yunca),4,ethnic_tribal,indigenous_group,0.8,Coastal Peru,"The Yunca (also spelled Yunga) were an indigenous people who inhabited the coastal valleys of Peru before the Inca Empire. The term refers specifically to coastal dwelling peoples of pre-Columbian Peru, distinct from highland groups.","[-12.0, -77.0]",
Sulka (New Britain),4,ethnic_tribal,indigenous_group,0.9,East New Britain,"The Sulka are an indigenous ethnic group from East New Britain Province, Papua New Guinea. They have their own distinct language and cultural traditions, primarily residing in the eastern part of New Britain island.","[-4.3167, 151.8833]",
Uruguayan,4,geographic,country,1.0,Uruguay,"Relating to or originating from the country of Uruguay, a nation in South America. The term refers to both the people and culture of Uruguay.","[-32.8755, -56.0201]",
Wakweli,4,ethnic_tribal,indigenous_group,0.6,Tanzania,"Believed to be a tribal or ethnic group name from East Africa, likely in Tanzania, though specific details about this group are limited in available sources","[-6.369, 34.8888]",
Africa (Bakuba),3,ethnic_tribal,indigenous_group,0.9,Democratic Republic of the Congo,"The Bakuba (also known as Kuba or BaKuba) are an ethnic group and historical kingdom located in the Kasai region of the Democratic Republic of the Congo. They are known for their elaborate artwork, textiles, and geometric designs.","[-4.0383, 21.7587]",
Africa (Bantu),3,linguistic,language_family,0.9,Central-Southern Africa,"Refers to the Bantu-speaking peoples and cultures, a major linguistic family covering much of sub-Saharan Africa, particularly central, eastern and southern regions. The Bantu languages comprise over 500 related languages descended from Proto-Bantu.","[-5.0, 25.0]",
Africa (Kamerun),3,geographic,country_historical,0.95,Cameroon,"Refers to the historical German colonial territory of Kamerun (1884-1916) in central Africa, which roughly corresponds to modern-day Cameroon. Kamerun was the German spelling/name for the colony.","[4.0511, 9.7679]",
Africa (Masai),3,ethnic_tribal,indigenous_group,0.95,Maasai Mara,"Refers to the Maasai (also spelled Masai) people, a Nilotic ethnic group inhabiting southern Kenya and northern Tanzania. They are known for their distinctive customs, dress and pastoral lifestyle.","[-1.5, 35.2]",
Africa (Nubia),3,geographic,historical_region,0.9,Nubia,"Ancient region along the Nile River, spanning southern Egypt and northern Sudan, known historically as Nubia. The parenthetical specification suggests this refers specifically to the Nubian region of Africa rather than the broader continent.","[20.5, 33.0]",
Africa (Ronga),3,linguistic,language_group,0.9,Maputo Province,"Ronga (also called Shironga) is a Bantu language spoken primarily in southern Mozambique, particularly around Maputo Province. It is one of the Tswa-Ronga languages. The parenthetical format suggests this is specifying the Ronga-speaking region/people within Africa.","[-25.966667, 32.583333]",
Africa (Somali),3,ethnic_tribal,ethnic_group,0.9,Somalia,"Refers to the Somali people, an ethnic group native to Somalia and parts of neighboring countries in the Horn of Africa. The parenthetical qualifier '(Somali)' specifies this subset of African folklore relates specifically to Somali culture and traditions.","[6.0, 45.0]",
Africa (Western Sudan),3,geographic,historical_region,0.9,Western Sudan,"Historical term referring to the western portion of the Sudan region of Africa, roughly corresponding to parts of modern Mali, Niger, and Chad. In historical/folkloric context, 'Western Sudan' typically refers to the medieval empires of Ghana, Mali and Songhai rather than the modern country of Sudan.","[16.7666, -3.0026]",
Altaic,3,linguistic,language_family,0.9,Altai Mountains,"A proposed language family including Turkic, Mongolic, and Tungusic languages, named after the Altai Mountains region where these language groups historically converged. While the classification is debated by linguists, it remains a useful geographic-cultural reference for folklore studies.","[49.0, 87.0]",
Am. Indian (Apapocuva),3,ethnic_tribal,indigenous_group,0.9,Mato Grosso do Sul,"The Apapocuva are a subgroup of the Guarani indigenous people, historically located in what is now southern Brazil. They are particularly known through the ethnographic work of Curt Nimuendajú. 'Am. Indian' is an older term for Native American/Indigenous peoples.","[-21.0, -54.0]",
Antigua,3,geographic,country,0.95,Antigua and Barbuda,"Antigua is an island in the West Indies and part of the sovereign state of Antigua and Barbuda. It was a British colony from 1632 until independence in 1981. The island has rich folklore traditions blending African, European and indigenous Caribbean cultural elements.","[17.0747, -61.8175]",
British,3,geographic,country,0.95,Great Britain,"Refers to people, culture, or traditions originating from Great Britain (the main island comprising England, Scotland and Wales). Can also refer more broadly to the United Kingdom including Northern Ireland in modern usage.","[54.0, -2.5]",
Celebes,3,geographic,island,0.9,Sulawesi,"Celebes is the former colonial name for Sulawesi, one of the major islands of Indonesia. It is located between Borneo and the Maluku Islands and is known for its distinctive K-shape and diverse indigenous cultures.","[-2.5, 120.0]",
Chile,3,geographic,country,1.0,Chile,"Modern nation-state in South America, stretching along the western coast. Home to diverse indigenous cultures including Mapuche and historically the Inca Empire in the north. Named from the Mapuche word 'chili' meaning 'where the land ends'.","[-33.4489, -70.6693]",
Eskimo (Alaska),3,ethnic_tribal,indigenous_group,0.9,Alaska,"Term historically used to refer to Inuit and Yupik peoples native to Alaska, though 'Eskimo' is now considered outdated or offensive in some regions. In Alaska specifically, it traditionally referred to both Inuit and Yupik peoples, particularly those living along the western and northern coasts.","[64.2008, -149.4937]",
Fartse,3,unknown,unknown,0.1,,Unable to confidently identify or categorize this folkloric reference term with available information. Could potentially be a variant spelling or archaic term but requires additional context.,,
Georgia (U.S.),3,geographic,us_state,1.0,Georgia,"Refers to the U.S. state of Georgia, located in the southeastern United States. The '(U.S.)' qualifier distinguishes it from the country of Georgia in the Caucasus region.","[32.1656, -82.9001]",
Indian (Amazon),3,ethnic_tribal,indigenous_group,0.8,Amazon Rainforest,"Refers to indigenous peoples living in the Amazon rainforest region, rather than people from India. The '(Amazon)' qualifier distinguishes these indigenous groups from other uses of 'Indian'. Multiple ethnic groups are encompassed by this broad term.","[-3.4653, -62.2159]",
Indian (Tiatinagua),3,ethnic_tribal,indigenous_group,0.9,Madre de Dios,"The Tiatinagua (also known as Ese Ejja) are an indigenous people living in the Amazonian regions of Peru and Bolivia, particularly in the Madre de Dios region. The parenthetical notation suggests this refers specifically to this tribal group rather than a general Indian/Native American reference.","[-12.6, -69.7]",
Latin America,3,geographic,cultural_region,0.95,Latin America,"Geographic and cultural region encompassing Mexico, Central America, South America and parts of the Caribbean where Romance languages (primarily Spanish and Portuguese) are predominantly spoken, reflecting the colonial influence of Latin-derived languages from Spain and Portugal","[4.4429, -72.8594]",
Loucheux,3,ethnic_tribal,indigenous_group,0.9,Yukon Territory,"The Loucheux (also known as Gwich'in) are an Indigenous First Nations people traditionally inhabiting parts of the Yukon Territory, Northwest Territories, and Alaska. The name 'Loucheux' was given to them by French traders, meaning 'squinters' in French, though they prefer to be called Gwich'in.","[67.5, -134.0]",
Louisiana Creole,3,ethnic_tribal,mixed_cultural_group,0.9,Louisiana,"Louisiana Creole refers to both the people and culture that emerged from colonial Louisiana's mix of French, African, Spanish and Native American influences. The term can refer to both the ethnic group and their distinct language/dialect. Historically centered in southern Louisiana, particularly around New Orleans and the bayou regions.","[30.9843, -91.9623]",
Malaysia,3,geographic,country,1.0,Malaysia,"A sovereign country in Southeast Asia consisting of 13 states and 3 federal territories, divided between Peninsular Malaysia and East Malaysia (Borneo). Known for its multiethnic population including Malay, Chinese and Indian communities, with rich cultural traditions and folklore.","[4.2105, 101.9758]",
Menominee,3,ethnic_tribal,indigenous_group,0.95,Wisconsin,The Menominee are a Native American tribe historically located in present-day Wisconsin and Michigan's Upper Peninsula. Their traditional territory centered around the Menominee River region. They are one of the oldest continuous residents of Wisconsin.,"[45.1, -88.0]",
Micmac,3,ethnic_tribal,indigenous_group,0.95,Nova Scotia,The Mi'kmaq (also spelled Micmac) are an indigenous First Nations people primarily located in Canada's Maritime provinces and the Gaspé Peninsula of Quebec. They are part of the Algonquian language group.,"[45.0, -63.0]",
Minahassa (Celebes),3,ethnic_tribal,indigenous_group,0.9,North Sulawesi,"Minahassa refers to an indigenous ethnic group and their traditional homeland in northern Sulawesi (historically known as Celebes), Indonesia. The Minahasa people have a distinct culture and language family and primarily inhabit the northern peninsula of Sulawesi.","[1.4, 124.8]",
Molucca,3,geographic,archipelago,0.95,Maluku Islands,"The Moluccas (Maluku Islands) are an archipelago in eastern Indonesia, historically known as the 'Spice Islands' due to their indigenous clove and nutmeg trees. The region has a rich cultural history and was an important center of the spice trade.","[-2.8666, 127.8666]",
No. Am. Indian (Arapaho),3,ethnic_tribal,indigenous_group,0.95,Eastern Wyoming and Colorado,"The Arapaho are a Native American tribe historically located in the eastern Colorado and Wyoming regions. 'No. Am. Indian' is a broader classification indicating Native American/First Nations peoples of North America, with Arapaho being the specific tribe referenced.","[41.13, -104.82]",
No. Am. Indian (Arikara),3,ethnic_tribal,indigenous_group,0.95,North Dakota,The Arikara (also known as Sahnish) are a Native American tribe historically located in North Dakota along the Missouri River. They were traditionally agricultural people and lived in permanent villages. Today they are part of the Three Affiliated Tribes on the Fort Berthold Reservation.,"[47.9, -101.8]",
No. Am. Indian (Aztec),3,ethnic_tribal,indigenous_group,0.9,Tenochtitlan,"The Aztec people were a Mesoamerican culture centered in central Mexico, with their capital at Tenochtitlan (modern-day Mexico City). The parenthetical '(Aztec)' specifies this particular Native American group, while 'No. Am.' is somewhat misleading as the Aztecs are typically considered Mesoamerican rather than North American.","[19.4326, -99.1332]",
No. Am. Indian (Cheyenne),3,ethnic_tribal,indigenous_group,0.95,Montana and Oklahoma,"The Cheyenne are a Native American tribe historically located in the Great Plains region, with modern populations primarily in Montana (Northern Cheyenne) and Oklahoma (Southern Cheyenne). 'No. Am. Indian' is an older term for Native American/Indigenous peoples of North America.","[45.6, -106.6]",
No. Am. Indian (Crow),3,ethnic_tribal,indigenous_group,0.95,Montana,"Refers to the Crow (Apsáalooke) Native American tribe, historically and presently located primarily in south-central Montana. They are one of the Plains Indian tribes and were traditionally nomadic buffalo hunters.","[45.785, -107.46]",
No. Am. Indian (general),3,ethnic_tribal,indigenous_peoples,0.9,North America,"General reference to indigenous peoples/Native Americans across North America, including groups in present-day United States, Canada, and parts of Mexico. Used as a broad classificatory term in folklore indexes rather than referring to specific tribes or nations.","[48.1664, -100.1777]",
No. Am. Indian (Hupa),3,ethnic_tribal,indigenous_group,0.95,Hoopa Valley,The Hupa (or Hoopa) are a Native American tribe traditionally inhabiting the Hoopa Valley region along the Trinity River in northwestern California. They are known for their distinctive cultural practices and belong to the Athabaskan language family.,"[41.05, -123.67]",
No. Am. Indian (Maidu),3,ethnic_tribal,indigenous_group,0.95,"Sacramento Valley, California","The Maidu are a Native American ethnic group indigenous to northern California, traditionally living in the Sacramento Valley and Sierra Nevada foothills. 'No. Am. Indian' is an older term for Native American/First Nations peoples, with Maidu being the specific tribe referenced.","[39.7, -121.8]",
No. Am. Indian (Mandan),3,ethnic_tribal,indigenous_group,0.95,North Dakota,"The Mandan are a Native American tribe historically located along the Missouri River in present-day North Dakota. They were known for their permanent villages and agricultural lifestyle, particularly around the Heart River confluence with the Missouri River.","[47.0, -100.7]",
No. Am. Indian (Passamaquoddy),3,ethnic_tribal,indigenous_group,0.95,Maine,"The Passamaquoddy are an indigenous Native American tribe traditionally located in Maine (US) and New Brunswick (Canada), primarily around the St. Croix River and Passamaquoddy Bay region. They are part of the larger Wabanaki Confederacy of the Northeastern Woodlands.","[45.1, -67.2]",
No. Am. Indian (Plains Cree),3,ethnic_tribal,indigenous_group,0.95,Saskatchewan,"The Plains Cree are an Indigenous people who traditionally inhabited the Great Plains region of Canada, particularly in what is now Saskatchewan and Alberta. They are a subgroup of the larger Cree nation and were historically known for their buffalo hunting culture.","[53.7267, -105.2962]",
No. Am. Indian (Potawatomi),3,ethnic_tribal,indigenous_group,0.95,Lower Michigan,"The Potawatomi are a Native American tribe traditionally located in the Great Lakes region, particularly in what is now Michigan, Wisconsin, Indiana, and Illinois. The parenthetical specification indicates this refers specifically to Potawatomi folklore/culture rather than a general North American Indigenous reference.","[42.7, -84.5]",
No. Am. Indian (Shasta),3,ethnic_tribal,indigenous_group,0.95,Siskiyou County,"The Shasta are a Native American tribe traditionally inhabiting parts of southern Oregon and northern California, particularly around Mount Shasta and the Klamath River region. They are one of the indigenous peoples of the Pacific Northwest.","[41.7, -122.6]",
No. Am. Indian (Wyandot),3,ethnic_tribal,indigenous_group,0.95,Ontario,"The Wyandot (also known as Huron) are an indigenous people historically located in the Great Lakes region, particularly around Lake Ontario and Lake Huron. The 'No. Am. Indian' prefix indicates North American Indigenous peoples, with Wyandot being the specific tribe/nation.","[43.6, -79.4]",
Palestine,3,geographic,historical_region,0.9,Palestine,"Historical and contemporary region in the Levant, roughly corresponding to modern Israel, West Bank, and Gaza Strip. The term has been used historically to refer to the region between the Mediterranean Sea and the Jordan River, with varying political and geographical definitions throughout history.","[31.9, 35.2]",
Paraguayan,3,geographic,country,1.0,Paraguay,"Refers to people, culture, or items originating from the Republic of Paraguay, a landlocked country in central South America known for its mix of Spanish, Guarani and other indigenous cultural influences","[-23.4425, -58.4438]",
Salinan,3,ethnic_tribal,indigenous_group,0.9,Salinas Valley,"Salinan refers to a Native American people and language group historically inhabiting the Salinas Valley region of California, centered around present-day Monterey and San Luis Obispo counties","[36.2274, -121.3147]",
Sierra Leone,3,geographic,country,1.0,Sierra Leone,"A country in West Africa, named by Portuguese explorers who thought the mountains resembled lions ('Serra Leoa' meaning 'Lion Mountains'). Known for its role in the slave trade, civil war history, and rich cultural traditions including storytelling and folklore.","[8.4606, -11.7799]",
Sinkyone,3,ethnic_tribal,indigenous_group,0.9,Northern California Coast,"The Sinkyone are a Native American tribe traditionally living along the coast of Northern California, particularly in present-day Mendocino and Humboldt counties. They are one of several Athapaskan-speaking peoples of the region.","[40.0, -123.9]",
So. Am. Indian (Aztec),3,ethnic_tribal,indigenous_group,0.7,Central Mexico,"This appears to be an erroneous or confused classification, as Aztecs were located in Central Mexico, not South America. The 'So. Am. Indian' portion is incorrect when paired with 'Aztec'. The Aztec Empire was centered in the Valley of Mexico in what is now central Mexico.","[19.4326, -99.1332]",
So. Am. Indian (Cariri),3,ethnic_tribal,indigenous_group,0.9,Ceará,"The Kariri (Cariri) were an indigenous people who historically inhabited northeastern Brazil, particularly in what is now Ceará state. They were one of the major indigenous groups of the region before European colonization.","[-5.5, -39.3]",
So. Am. Indian (Cherentes),3,ethnic_tribal,indigenous_group,0.9,Tocantins,"The Xerente (also spelled Cherentes) are an indigenous people of Brazil, primarily located in the state of Tocantins. They are part of the Jê language family and traditionally live in central Brazil.","[-9.3, -48.2]",
So. Am. Indian (Fuegian),3,ethnic_tribal,indigenous_group,0.9,Tierra del Fuego,"Refers to indigenous peoples of Tierra del Fuego archipelago at South America's southern tip, including groups like Yaghan and Selk'nam who historically inhabited this region","[-54.8, -67.7]",
So. Am. Indian (Huamachuco),3,ethnic_tribal,indigenous_group,0.9,Huamachuco,Refers to indigenous peoples from the Huamachuco region of northern Peru. Huamachuco was a pre-Inca culture and is now a town/district in the La Libertad Region of Peru.,"[-7.8147, -78.0533]",
So. Am. Indian (Shipaya),3,ethnic_tribal,indigenous_group,0.9,Para State,"The Shipaya (also spelled Xipaya) are an indigenous people of Brazil, traditionally living along the Xingu River in Para State. They are a Tupi-speaking group of the Amazon basin.","[-3.7, -52.3]",
So. Am. Indian (Tehuelche),3,ethnic_tribal,indigenous_group,0.95,Patagonia,"The Tehuelche are an indigenous people of Patagonia, primarily inhabiting southern Argentina. They were historically nomadic hunter-gatherers known for their tall stature and skilled horsemanship after European contact. 'So. Am. Indian' refers to their broader classification as South American Indigenous people.","[-48.8632, -69.2891]",
So. Am. Indian (Tropical Forest),3,ethnic_tribal,indigenous_peoples,0.8,Amazon Rainforest,"Refers to indigenous peoples living in tropical forest regions of South America, particularly in the Amazon rainforest basin. This encompasses multiple ethnic groups across several countries including Brazil, Peru, Colombia, and Ecuador.","[-3.4653, -62.2159]",
So. Am. Indian (Yagua),3,ethnic_tribal,indigenous_group,0.9,Peru,The Yagua are an indigenous people primarily located in northeastern Peru and parts of Colombia in the Amazon rainforest. They are known for their traditional blowgun hunting and distinctive clothing made from palm fiber.,"[-3.7833, -73.25]",
Southern Ute,3,ethnic_tribal,indigenous_group,0.95,Southern Ute Indian Reservation,"The Southern Ute are a federally recognized Native American tribe historically located in present-day southern Colorado and northern New Mexico. They are one of three branches of the Ute people, with their current reservation headquartered in Ignacio, Colorado.","[37.1, -107.6]",
Togolese,3,geographic,country_demonym,1.0,Togo,"Refers to people or culture from Togo, a country in West Africa. The term describes both citizenship and cultural identity of people from the Republic of Togo.","[8.6195, 0.8248]",
Tsimshian,3,ethnic_tribal,indigenous_group,0.95,Prince Rupert,"The Tsimshian are an indigenous people of the Pacific Northwest Coast, traditionally inhabiting the coastal areas around Prince Rupert, British Columbia and southern Alaska. They have a distinct language, culture, and oral traditions.","[54.315, -130.3208]",
U.S. (Ozarks),3,geographic,region,0.95,Ozark Mountains,"Refers to the Ozark Mountain region of the United States, a highland area primarily in southern Missouri, northern Arkansas, and parts of Oklahoma and Kansas. The region has a distinct cultural identity and folklore tradition within American culture.","[36.7, -92.9]",
Africa (Ashanti),2,ethnic_tribal,indigenous_group,0.95,Ashanti Region,The Ashanti (or Asante) are a major ethnic group of the Akan people in Ghana. They historically established a powerful empire in West Africa centered in what is now Ghana's Ashanti Region. The term specifically refers to this ethnic group rather than the broader continent of Africa.,"[6.75, -1.5167]",
Africa (Baluba),2,ethnic_tribal,indigenous_group,0.95,Democratic Republic of the Congo,"The Baluba (or Luba) are a Bantu ethnic group indigenous to south-central Democratic Republic of the Congo, primarily in the Katanga and Kasai regions. They historically established one of Central Africa's most influential kingdoms.","[-8.5, 24.5]",
Africa (Boloki),2,ethnic_tribal,indigenous_group,0.9,Democratic Republic of the Congo,The Boloki (also known as Baloqi) are an indigenous ethnic group traditionally living along the Congo River in what is now the Democratic Republic of the Congo. They are part of the Bangala cluster of peoples.,"[1.89, 19.76]",
Africa (Bondei),2,ethnic_tribal,indigenous_group,0.9,Tanga Region,"The Bondei are an ethnic group primarily located in the Tanga Region of northeastern Tanzania. They are a Bantu-speaking people with their own distinct culture and traditions, historically concentrated in the area between the Usambara Mountains and the Indian Ocean coast.","[-5.07, 38.82]",
Africa (Bushonga),2,ethnic_tribal,indigenous_group,0.9,Democratic Republic of the Congo,"The Bushonga (also known as Kuba or BaKuba) are an ethnic group historically located in what is now the Democratic Republic of the Congo. They are known for their elaborate artistic traditions and complex political organization, centered in the Kasai region.","[-4.0383, 21.7587]",
Africa (Ibo of Nigeria),2,ethnic_tribal,indigenous_group,0.95,Igboland,"The Igbo (also spelled Ibo) are one of the largest ethnic groups in Nigeria, traditionally inhabiting the southeastern region known as Igboland. They have a distinct culture, language, and rich oral traditions.","[5.8, 7.4]",
Africa (Konde),2,ethnic_tribal,indigenous_group,0.9,Tanzania,The Konde (also known as Nyakyusa-Ngonde) are an ethnic group primarily located in southern Tanzania and northern Malawi. The term 'Africa (Konde)' appears to be a geographic-ethnic qualifier specifying the Konde people of Africa.,"[-9.3, 33.9]",
Africa (Kpelle),2,ethnic_tribal,indigenous_group,0.9,Liberia,"The Kpelle are one of the largest ethnic groups in Liberia, also found in Guinea. They speak the Kpelle language and traditionally inhabit central and western Liberia, particularly Bong County.","[6.8, -9.5]",
Africa (Kweli),2,ethnic_tribal,indigenous_group,0.7,Tanzania,"Kweli appears to refer to an African ethnic group or tribal designation, likely from the East African region. The term has connections to Swahili language usage where 'kweli' means 'truth' or 'true', suggesting possible origins in Tanzania or nearby regions where Swahili is commonly spoken.","[-6.369, 34.888]",
Africa (Mbundu),2,ethnic_tribal,indigenous_group,0.9,Angola,"The Mbundu (also known as Ambundu) are one of the largest ethnic groups in Angola, traditionally inhabiting the north-central region around Luanda and the Malanje highlands. They speak Kimbundu, a Bantu language.","[-8.8377, 13.2344]",
Africa (Nago),2,ethnic_tribal,indigenous_group,0.9,Benin,"Nago (also spelled Nagô) refers to a subgroup of the Yoruba people, primarily found in Benin and historically associated with the slave trade to Brazil. The term was commonly used in Brazil to refer to Yoruba-speaking enslaved people from the Bight of Benin region.","[9.3077, 2.3158]",
Africa (Nama),2,ethnic_tribal,indigenous_group,0.9,Namibia,The Nama (also known as Namaqua) are an indigenous Khoikhoi ethnic group primarily inhabiting parts of Namibia and South Africa. The parenthetical 'Nama' after 'Africa' specifies this particular ethnic group's folklore within the broader African context.,"[-24.6, 17.1]",
Africa (Nao),2,geographic,region,0.4,Western Africa,"Likely refers to stories or traditions associated with the 'Nao' people or region within Africa, though specifics are unclear without more context. The term 'Nao' could be a variant spelling or classification system notation, but I cannot definitively identify its precise meaning or location.",,
Africa (Nuba),2,ethnic_tribal,indigenous_group,0.9,Nuba Mountains,The Nuba people are an ethnic group inhabiting the Nuba Mountains region of South Kordofan state in Sudan. They comprise various subgroups with distinct languages and cultural traditions.,"[11.0, 30.0]",
Africa (Quelimane),2,geographic,city,0.95,Quelimane,"Quelimane is a major seaport city in Mozambique, Africa. It is the capital of Mozambique's Zambezia Province and has historically been an important trading center on Africa's eastern coast.","[-17.8786, 36.8883]",
Africa (Rozwi),2,ethnic_tribal,historical_kingdom,0.9,Zimbabwe,"The Rozwi Empire was a historical Shona state that dominated the Zimbabwean plateau from the 17th to 19th centuries. They were known for their sophisticated architecture and military prowess, succeeding the Mutapa Empire in the region.","[-18.5, 30.0]",
Africa (Sandeh),2,ethnic_tribal,indigenous_group,0.9,South Sudan,"The Sandeh (also known as Azande or Zande) are an ethnic group living primarily in South Sudan, with populations also in the Democratic Republic of the Congo and Central African Republic. They are known for their complex political organization and rich folklore traditions.","[5.6, 27.0]",
Africa (Suto),2,ethnic_tribal,indigenous_group,0.9,Lesotho,"Suto (also spelled Sotho) refers to the Basotho people, a Bantu ethnic group native to Lesotho and parts of South Africa. The term combines a geographic reference to Africa with a specific ethnic/linguistic group.","[-29.6, 28.2]",
Africa (Swazi),2,ethnic_tribal,indigenous_group,0.95,Eswatini,"Refers to the Swazi people, an ethnic group native to Eswatini (formerly Swaziland) and parts of South Africa. The Swazi are a Nguni ethnic group and the main inhabitants of Eswatini, where they form the dominant ethnic group.","[-26.5225, 31.4659]",
Africa (Temne),2,ethnic_tribal,indigenous_group,0.95,Sierra Leone,"The Temne (also Timne) are one of the largest ethnic groups in Sierra Leone, primarily located in the Northern Province and Western Area. They represent about 35% of Sierra Leone's population and have their own distinct language and cultural traditions.","[8.4858, -12.0431]",
Africa (Tim),2,geographic,continent,0.8,Africa,"This appears to be a reference to timing or temporal patterns in African folklore, with '(Tim)' likely being a qualifier for timing/temporal aspects. Found in folklore classification systems to denote African stories with temporal themes or time-related motifs.","[0.0, 25.0]",
Africa (Venda),2,ethnic_tribal,indigenous_group,0.95,Limpopo Province,"The Venda (VhaVenda) are a Bantu-speaking indigenous group primarily located in the Limpopo Province of South Africa and southern Zimbabwe. They have a distinct culture, language (Tshivenda), and traditional practices.","[-23.0, 30.0]",
Africa (Washaga),2,ethnic_tribal,indigenous_group,0.6,Tanzania,"Washaga appears to be an alternate spelling or variant name for the Chaga (Wachaga) people, an ethnic group found in the Kilimanjaro Region of Tanzania. The 'Wa-' prefix is a common Bantu prefix meaning 'people of'.","[-3.0674, 37.3556]",
Africa (Weute),2,ethnic_tribal,indigenous_group,0.3,Africa,"Appears to reference a tribal or ethnic group name 'Weute' from Africa, but specific location and details are uncertain. The term format suggests a folklorist's geographic-ethnic classification but insufficient information exists to pinpoint the exact location or cultural context.",,
Africa (Wolof),2,linguistic,language_group,0.95,Senegal,"Wolof is a major language spoken primarily in Senegal, The Gambia, and Mauritania. It is the most widely spoken language in Senegal. The term 'Africa (Wolof)' refers to folklore or cultural elements specifically from the Wolof-speaking regions of West Africa.","[14.5, -14.4]",
Africa (Ziba),2,ethnic_tribal,indigenous_group,0.9,Tanzania,The Ziba (also known as Haya) are an ethnic group primarily located in northwestern Tanzania near Lake Victoria. They are one of the larger ethnic groups in the Kagera Region of Tanzania.,"[-1.33, 31.8]",
Amazon tribes,2,ethnic_tribal,indigenous_groups,0.9,Amazon Rainforest,"Refers to various indigenous peoples and tribal groups living in the Amazon rainforest region, including groups like the Yanomami, Kayapo, and hundreds of other distinct tribes across multiple South American countries","[-3.4653, -62.2159]",
American Indian (Seneca),2,ethnic_tribal,indigenous_group,0.95,Western New York,"The Seneca are one of the original nations of the Haudenosaunee (Iroquois) Confederacy, historically centered in western New York state. They were known as the 'Keepers of the Western Door' due to their traditional location as the westernmost of the Iroquois nations.","[42.5, -77.7]",
American Negro (Virginia),2,ethnic_tribal,african_american,0.95,Virginia,"Refers to African American folklore and cultural traditions specifically from the U.S. state of Virginia, reflecting narratives and customs of descendants of enslaved Africans in that region during the historical period when this term was commonly used","[37.5407, -77.436]",
