rownum	motif_id	motif_text_with_references
28588	H659.7.3	What is the greatest?. Charity. In languages spoken in Spanish, Linked to Spanish Exempla
28589	H659.7.4	What is the greatest villainy?. Stealing. In languages spoken in Spanish, Linked to Spanish Exempla
28590	H659.8	What is moistest?. The south wind. In languages spoken in Arab
28591	H659.9	Riddle: what is wisest?
28592	H659.9.1	What is wisest?. Time.
28593	H660	Riddles of comparison. Linked to Ireland
28594	H661	Riddle: what is swifter than a bird, the wind or lightning?. The eye. Linked to Gascon
28595	H662	Riddle: what is dearer than gold?. Mother love. Linked to Switzerland
28596	H663	Riddle: what is whiter than a swan?. An angel.
28597	H671	Riddle: what is sweeter than honey?
28598	H672	Riddle: what is softer than swan down?
28599	H673	Riddle: what is harder than stone?
28600	H674	Who is greater than God?. Man's purpose. Linked to India
28601	H680	Riddles of distance.
28602	H681	Riddles of terrestrial distance.
28603	H681.1	Riddle: how far is it from one end of the earth to the other (east to west)?
28604	H681.1.1	How far is it from one end of the earth to the other?. A day's journey, since the sun makes it daily. Referenced in Jewish religious texts
28605	H681.2	Riddle: how deep is the earth (or how far to lower world)?
28606	H681.2.1	How deep is the earth?. It is deep: my grandfather went into it (died) years ago and has not yet returned.
28607	H681.2.2	How deep is the earth?. My father went five years ago to measure it (died); when he returns I shall tell you the result.
28608	H681.3	Riddle: what is the center of the earth?
28609	H681.3.1	Where is the center of the earth?. Here; if you don't believe it, measure it yourself. Linked to India
28610	H681.3.2	Where is the center of the earth?. Here, for the earth is round and any point can serve as center.
28611	H681.4	Riddle: how deep is the sea?
28612	H681.4.1	How deep is the sea?. A stone's throw.
28613	H681.4.2	How deep is the sea?. At first, knee-deep; further on, waist-deep, neck-deep; and beyond that over the head. Linked to India
28614	H682	Riddles of heavenly distance.
28615	H682.1	Riddle: how far is it from earth to heaven? Referenced in Jewish religious texts
28616	H682.1.1	How far is it from earth to heaven?. A day's journey, since Christ went to heaven in one day. (A half-day's journey, similar reason).
28617	H682.1.10	How far from earth to heaven?. The devil knows for he has fallen this distance.
28618	H682.1.2	How far is it from earth to heaven?. A day's journey, since there is no inn to stop at on the way.
28619	H682.1.3	How far is it from earth to heaven?. So and so high, and if you don't believe it, measure it yourself.
28620	H682.1.4	How far is it from earth to heaven?. As far as you can see.
28621	H682.1.5	How far is it from earth to heaven?. As far as from heaven to earth.
28622	H682.1.6	How far is it from earth to heaven?. Not far; when it thunders there it can be heard here.
28623	H682.1.7	How far from earth to heaven?. A calf's (fox's) tail, if it were long enough.
28624	H682.1.8	How far from earth to heaven?. A leg's length, for it is written, Heaven is my throne and earth my footstool.
28625	H682.1.9	How far from earth to heaven?. One step, for they say, He stands with one foot in the grave and one in heaven.
28626	H682.2	Riddle: how wide is heaven?
28627	H682.2.1	How wide is heaven?. So and so wide, and if you do not believe it, go measure it yourself.
28628	H682.3	How many exits from paradise? Referenced in Jewish religious texts
28629	H685	Riddle: how far is it from happiness to misfortune?
28630	H685.1	How far is it from happiness to misfortune?. One day; yesterday I was herdsman and now I am abbot.
28631	H690	Riddles of weight and measure.
28632	H691	Riddles of weight.
28633	H691.1	Riddle: how much does the moon weigh?
28634	H691.1.1	How much does the moon weigh?. A pound, for it has four quarters.
28635	H691.1.2	How much does the moon weigh?. So and so much, and if you don't believe it go and weigh it yourself.
28636	H691.2	Riddle: how heavy is the earth?
28637	H691.2.1	How heavy is the earth?. Take away all the stones and I will weigh it.
28638	H696	Riddles of measure.
28639	H696.1	Riddle: how much water is in the sea?
28640	H696.1.1	How much water is in the sea?. Stop all the rivers and I will measure it. Linked to Japan
28641	H696.1.2	How much water is in the sea?. So and so much, and if you don't believe it, go measure it yourself.
28642	H696.1.3	How much water is in the sea?. A tub-full if the tub is large enough.
28643	H696.1.4	How many measures of water are in the river? Linked to India
28644	H700	Riddles of numbers.
28645	H701	Riddle: how many seconds in eternity?
28646	H701.1	How many seconds in eternity?. A bird carries a grain of sand from a mountain each century; when the whole mountain is gone, the first second of eternity has passed.
28647	H702	Riddle: how many stars in the heavens? In languages spoken in Spanish
28648	H702.1	How many stars in the heavens?. As many as the grains of sand; if you don't believe it, count them yourself.
28649	H702.1.1	How many stars in the heaven?. Two million; if you don't believe it, count them yourself. Linked to India
28650	H702.2	How many stars in the heavens?. As many as the hairs in the head; if you don't believe it, count them yourself.
28651	H702.2.1	How many stars in the heavens?. As many as the hairs in the goatskin (on a donkey). Linked to India
28652	H702.3	How many stars in the heavens?. As many as the points on paper; if you don't believe it, count them yourself.
28653	H703	Riddle: how many hairs are in the head?
28654	H703.1	How many hairs are there in the head?. As many as are in the tail of my ass; if you don't believe it we will keep pulling out one hair from your beard and one from his tail.
28655	H704	Riddle: how many drops in the sea.
28656	H705	Riddle: how many leaves are on the tree? From the region of West Indies
28657	H705.1	How many leaves are on the tree?. As many as there are stems for.
28658	H705.2	How many leaves are on the tree?. So and so many; and if you don't believe it, go count them.
28659	H705.3	How many leaves are on the tree?. Counterquestion: how many stars in the sky? In languages spoken in Spanish
28660	H706	Riddle: how many days have passed since the time of Adam?
28661	H706.1	How many days have passed since the time of Adam?. The seven days of the week.
28662	H707	Riddle of dates.
28663	H707.1	When were you born?. Its beginning is like its end, its top like its bottom (1691).
28664	H708	Are there more men or women in the world? Linked to India
28665	H71	Marks of royalty. Linked to India
28666	H71.1	Star on forehead as sign of royalty. Linked to Switzerland, In languages spoken in Spanish
28667	H71.1.1	Moon on forehead and stars in palm of hand as sign of royalty. Linked to India
28668	H71.10	Marvel as sign of royalty. Linked to India, Linked to Iceland, Linked to Ireland
28669	H71.10.1	Tree bows before prince. Linked to India, Linked to Ireland
28670	H71.10.2	Water stands still before prince.
28671	H71.10.3	Frogs croak at prince's command.
28672	H71.10.4	Chariot horses spring at anyone who is not entitled to throne. Linked to Ireland
28673	H71.10.5	Two blocks of stone that move apart to allow passage of chariot of true king. Linked to Ireland
28674	H71.10.6	Stone screams under feet of legitimate king. Linked to Ireland
28675	H71.10.7	Arrows turn aside for prince (king). Linked to India
28676	H71.11	Gold in stool as sign of royalty. Linked to India
28677	H71.2	Gold (silver) hairs as sign of royalty. Linked to India
28678	H71.2.1	Golden body of boy as sign of royalty. Linked to India
28679	H71.3	Pearls from hair as sign of royalty.
28680	H71.4	Roses from lips as sign of royalty. Princess laughs roses.
28681	H71.5	Cross between shoulders as sign of royalty (nobility). Found in England
28682	H71.6	Bright eyes as sign of royalty (nobility). Linked to Iceland
28683	H71.6.1	Luminous face as sign of royalty. Linked to Ireland
28684	H71.6.2	Gold tint as sign of royalty. Linked to India
28685	H71.7	Child born with chain around neck: sign of royalty.
28686	H71.7.1	Girl born with costly jewels: sign of royalty. Linked to India
28687	H71.7.2	Prince born with bow of gold and string of silver. Linked to India
28688	H71.8	Tears of blood: sign of royalty. In the historic region of Inca, In the historic region of Inca
28689	H71.9	Red teeth as sign of royalty. Associated with the tribe Africa (Tsonga)
28690	H710	Riddles of value.
28691	H711	Riddle: how much am I (the king) worth?
28692	H711.1	How much am I (the king) worth?. Twenty-nine pieces of silver, for Christ was sold for thirty.
28693	H712	Riddle: how much is my beard (king's) worth?
28694	H712.1	How much is king's beard worth?. The months July, August, and September.
28695	H712.2	How much is king's beard worth?. A May rain (three rains in summer).
28696	H713	Riddle: how much is a golden plow (throne, crown, palace) worth?
28697	H713.1	How much is a golden plow (throne, crown, palace) worth?. A rain in May.
28698	H715	Riddle: how much does the sun earn for his daily work?
28699	H715.1	How much does the sun earn for his daily work?. A day's wages.
28700	H716	Riddle: how much is a certain crucifix worth?. Twenty-nine pieces of silver. Linked to Italy
28701	H720	Metaphorical riddles. Referenced in Jewish religious texts
28702	H721	Riddle of the year.
28703	H721.1	Riddle: tree with twelve branches, each with thirty leaves, black and white. Year, month, days and nights.
28704	H721.2	Riddle: tree with leaves white on one side and black on other. Year made up of nights and days.
28705	H721.3	Riddle: twelve cypresses with thirty boughs each. Years and months. In the historic region of Persia
28706	H721.4	Riddle: palace consisting of 8760 stones; twelve trees, thirty branches, each with black and white cluster of grapes. Year, months, days, hours.
28707	H722	Riddle of the day and night.
28708	H722.1	Riddle: white brother, black sister: every morning brother kills sister; every evening sister kills brother; they never die. (Day and night.) Linked to Gascon
28709	H722.2	Riddle: black and white horses chasing each other. (Day and night.) In the historic region of Persia
28710	H725	Riddle of the course of the sun.
28711	H725.1	Riddle: bird nests on top of one cypress in morning, on top of another in evening. (Bird is the sun.) In the historic region of Persia
28712	H726	Riddle: who are the real travellers?. The son and the moon. Linked to India
28713	H731	Riddle of king and courtiers.
28714	H731.1	Riddle: king in red; courtiers in white. (Sun and its rays.)
28715	H731.2	Riddle: king in white; courtiers in white. (Moon and stars.)
28716	H731.3	Riddle: king in red; courtiers in different colors. (Spring and flowers.)
28717	H734	Riddle: what is the mother who devours her children when they grow up?. (Ocean and rivers.)
28718	H741	Riddle white field, black seed. (Paper with writing.)
28719	H742	Riddle: two legs, three legs, four legs. (Man, three-legged stool dog.)
28720	H743	Riddle: four hang, four walk, two show the road, one wags behind. (Cow's teats, feet, eyes, tail.) (Other answers: cat, dog, horse, hog, etc.) 
28721	H744	Riddle: six legs, four ears, two faces, etc. (Horse and rider.)
28722	H746	Riddle: bill white, horns on feet, knob on head (cock).
28723	H75	Identification by a hair.
28724	H75.1	Identification by hair found floating on water. Linked to No. Am. Indian, Linked to India
28725	H75.2	Identification by hair dropped by bird.
28726	H75.3	Recognition by hair found in a fish which has swallowed it. Linked to India
28727	H75.4	Recognition by golden hair. Linked to Iceland
28728	H75.5	Identification by wolf's hair. Linked to Iceland
28729	H75.6	Recognition by missing hair. Linked to Eskimo (Greenland)
28730	H75.7	Recognition of murderers by their short hair. Located in Tonga
28731	H751	Riddle: who of fourfold beard is he, of azure foot and neck so ruddy?. Arrow. Linked to India
28732	H761	Riddle of the Sphinx: what is it that goes on four legs in the morning, on two at midday, and on three in the evening. (Man, who crawls as a child, walks in middle life, and walks with a stick in old age.) Linked to Gascon, Linked to Greece
28733	H761.1	Riddle: two are better than three (two legs better than man with staff in old age). Referenced in Jewish religious texts
28734	H762	Riddle: what is the creature that is of all countries, that is loved by all the world, and that has no equal?. (The sun.)
28735	H763	Riddle: the father not yet born, the son already at the top of the house. (Flame and smoke.)
28736	H764	Riddle: bird without feathers flies on tree without leaves. (Snow falls on bare tree.)
28737	H765	From wooden spring iron bucket makes stones from which water flows. (Metal stick picks stone from eye. If you rub lids with it, tears come.) Referenced in Jewish religious texts
28738	H767	Allegorical riddles. Linked to Ireland
28739	H767.1	Riddle: what is that thou passest over with haste?. (The field of youth; the mountains of youth, etc.) Irish myth: Cross.
28740	H768	What house gives no hostages, cannot be burned, and cannot be harried?. (The fairy stronghold [sndh] of brugh na Boinne. ) Linked to Ireland
28741	H770	Riddles of explanation. Referenced in Jewish religious texts
28742	H771	Riddle: why is the hair gray before the beard?. (It is twenty years older.)
28743	H772	Riddle: why are there more days than nights?. (The moon turns some nights into days.)
28744	H773	Riddle: why are there more living than dead?. (There are some of the dead of whom we still speak.)
28745	H774	Riddle: why are there more women than men?. (Some women make women [i.e., weaklings] of their husbands.)
28746	H78	Recognition by feather.
28747	H78.1	Youth shoots raven and takes feather to raven's sister as token.
28748	H78.2	Identification by feather taken from hero when he was transformed to bird.
28749	H79	Recognition by physical attributes miscellaneous. Referenced in Jewish religious texts
28750	H79.1	Troll's daughter after being cooked in kettle recognized by golden fingernail.
28751	H79.2	Identification of man by his little toe. Linked to China
28752	H79.3	Recognition by voice. Linked to Italy, Linked to Iceland, Linked to India
28753	H79.4	Recognition by smile. Sultan frees prisoner when he recognizes him as a former aid. Linked to Italy
28754	H79.5	Identification of man by his skull. Linked to Ireland
28755	H79.6	Recognition by large breasts that woman in bed is not husband's wife.
28756	H79.7	Recognition of monk by his large organ.
28757	H79.8	Identity established because one of man's teeth is blue. Linked to India
28758	H790	Riddles based on unusual circumstances. Linked to India
28759	H791	Riddle: a fish was my father; a man was my mother. (Man eats magic fish and becomes pregnant; a girl is taken from his knee.) Linked to the ethnicity Norse
28760	H792	Riddle of the unborn. I am unborn; my horse is unborn; I carry my mother on my hands. (A boy who has been taken from his dead mother's body digs up the body of his mother and makes gloves of her skin. He rides on a colt which has been taken from a dead mare's body.) Associated with the tribe Africa (Swahili)
28761	H793	Riddle: seven tongues in a head. (A horse's head in which a bird's nest is found with seven birds in it.)
28762	H795	Relationship riddles arising from unusual marriages of relatives. Referenced in Jewish religious texts
28763	H797	Riddle: what does God do?
28764	H797.1	What does God do?. He brings low the proud and exalts the lowly  (said by shepherd masking as bishop to king, who has exchanged places with him).
28765	H797.2	What does God do?. God is astonished that I sit on a horse and the king on an ass  (see +H797.1.)
28766	H80	Identification by tokens. Linked to Greece, From the region of French-Canadian, Linked to France, Found in England, Linked to Canada, Referenced in Jewish religious texts, Linked to India
28767	H80.1	True redeemers to be recognized by tokens. Referenced in Jewish religious texts
28768	H802	Riddle: one killed none and yet killed twelve. (Horse is poisoned; raven eats of him and dies; twelve robbers eat raven and die.) Associated with the tribe Africa (Gold Coast)
28769	H803	Riddle: deaths from sleepiness, anger, and greed. Elephant sleeps before snake's hole. Snake bites elephant and kills it. Jackal eats hole in elephant and is caught inside. Snake can't get out of its hole. Linked to India
28770	H804	Riddle: from the eater came forth meat and from the strong sweetness. (Swarm of bees and honey in lion's carcass.) Referenced in Jewish religious texts
28771	H805	Riddle of the murdered lover. With what thinks, I drink; what sees, I carry; with what eats I walk. (Queen has cup made from skull of her murdered lover; ring with one of his eyes; she carries two of his teeth in her boots.) Linked to India
28772	H806	Riddle: drink this wine which a bird took to nest. (Stork took bunch of grapes to nest; boy makes wine from them.) In languages spoken in Spanish
28773	H807	Formerly I was daughter, now I am mother; I have a son who was the husband of my mother. (Girl has nursed her imprisoned father through a crack in the prison wall.) In languages spoken in Spanish
28774	H81	Clandestine lover recognized by tokens.
28775	H81.1	Hero lies by sleeping girl and leaves identification token with her. Linked to India, Referenced in Jewish religious texts, Linked to Ireland
28776	H81.1.1	Hero takes token from sleeping princess. Linked to Germany
28777	H81.2	Clandestine visit of princess to hero betrayed by token. Linked to India
28778	H81.3	Clandestine visit of lover to queen betrayed by token. Linked to Iceland
28779	H810	Riddles based on the Bible or legend. Referenced in Jewish religious texts
28780	H811	Riddle: who first spun and when?. (Eve.)
28781	H812	Riddle: what were the clothes of Adam and Eve?. (Their hair.)
28782	H813	Riddle: who, having neither father nor mother, are dead?. (Adam and Eve.)
28783	H814	Riddle: who, having had father and mother, is not dead?. (Elias.) Referenced in Jewish religious texts
28784	H815	Riddle: who, having had father and mother, is not dead like other mortals?. (Lot's wife.)
28785	H817	Riddle: who has had, here below, two names?. (Jacob-Israel.)
28786	H82	Identifying tokens sent with messenger. Linked to Iceland, Found in England
28787	H82.1	Tokens sent to jailor as warrant of king's authority. Found in England
28788	H82.2	Marriage tokens identifying lover. Found in England, Linked to Iceland
28789	H82.3	Tokens between lovers. Linked to Iceland
28790	H82.4	Ring sent from husband to wife as token that he has been baptized, and that she should also be. Linked to Iceland
28791	H82.5	Token sent as warning. Linked to Iceland
28792	H82.6	Token sent with youth to relatives, that they may take care of him. Linked to Iceland
28793	H821	Riddle: what was the walking tomb with the living tenant?. (Jonah and the whale.) Referenced in Jewish religious texts
28794	H822	Riddle: what is the land that has seen the sun only once?. (The bottom of the Red Sea during the passage of the Israelites.) Referenced in Jewish religious texts
28795	H822.1	What is the land that has seen the sun only once?. (The land on which the waters were gathered after the creation.) Referenced in Jewish religious texts
28796	H823	What is the tree that became flesh?. (Moses's staff.)
28797	H824	Riddle: what is that which has drunk water for its sustenance and eaten after its death?. (Moses's staff, which became a serpent.)
28798	H825	Riddle: the king is surrounded by his nobles; what is this like?. (The idol Bel surrounded by the priests of the god.)
28799	H826	Riddle: what did Christ do in his 30th year?. Answer: entered into his thirty-first. Linked to Italy
28800	H827	Riddle: what does the king of the world of the Devas do?. Punishes the bad people. Linked to India
28801	H828	What three not born of male and female ate and drank on earth?. (Angels who visited Abraham.) Referenced in Jewish religious texts
28802	H83	Rescue tokens. Proof that hero has succeeded in rescue.
28803	H831	Riddle: what house was full of dead?. (Philistines in the building demolished by Samson.) Referenced in Jewish religious texts
28804	H832	What was not born, yet life was given to it?. (The golden calf.) Referenced in Jewish religious texts
28805	H84	Tokens of exploits.
28806	H84.1	Branches broken from tree to prove journey. Linked to Germany
28807	H84.2	Cup taken as proof that one has been present at feast. Linked to Germany
28808	H84.3	Flail substantiates story of witnessing threshing in heaven. Linked to Germany
28809	H84.4	Stolen ring as proof of daring theft. Linked to Germany
28810	H840	Other riddles.
28811	H841	Riddle: worth of the animal.
28812	H841.1	Riddle: what animal is good living but not dead?. (Ass.)
28813	H841.2	Riddle: what animal is good dead but not living?. (Hog.)
28814	H841.3	Riddle: what animal is good living and dead?. (Cow.)
28815	H841.4	Riddle: what animal is not good living or dead?. (Wolf.)
28816	H842	Riddle: animal qualities.
28817	H842.1	What animal which lives in sea-water will drown if taken out of it?. (Gnnm Abraein.) Linked to Ireland
28818	H842.2	What animal which lives in fire will burn if taken out of it?. (Tegillus, now called salamander.) Linked to Ireland
28819	H842.3	What animal has one voice living and seven voices dead?. (Ibis, from whose carcass musical instruments are made.) Referenced in Jewish religious texts
28820	H85	Captive sends token of safety. Associated with the tribe Africa (Swahili)
28821	H851	Riddle: what are the two fixed, the two moving, the two joined, the two separated by jealousy, the two eternal enemies?. (Heaven and earth; sun and moon; night and day; soul and body; life and death.)
28822	H852	What two trees do not fade until they wither?. (Yew and holly.) Linked to Ireland
28823	H853	What goodness did man find on earth that God did not find?. (An overlord.) Linked to Ireland
28824	H86	Inscribed name on article as token of ownership. Linked to Germany
28825	H86.1	Saber with king's name inscribed on it. Linked to Germany
28826	H86.2	Articles of clothing with name embroidered on them taken as tokens. Linked to Germany
28827	H86.3	Ring with names inscribed on it. Linked to Germany
28828	H86.4	Handkerchief with name on it. Linked to Germany
28829	H861	Riddle: what are the two combatants without hands or feet or words?. (The bull and the buffalo.)
28830	H862	Riddle: what is that which is neither man nor jinn nor beast nor bird?. (Louse and ant.)
28831	H865	Riddle: what do crows do when they are five years old?. (They start their sixth year.)
28832	H87	Garlands (flowers) as token. Linked to India
28833	H871	Riddle: what six things are not worth doing?. (Sowing salt, mowing pebbles, drinking from an empty jug, making signs to a blind man, wooing at mealtime, playing a harp in a mill.)
28834	H871.1	Three stupid things for men to do (various answers). In languages spoken in Spanish
28835	H875	Riddle: what is the difference between a poor man and a rich?. (Riches.)
28836	H878	Riddle: what is it that one buys who does not want it or use it?. (Coffin.)
28837	H88	Recognition by tokens left as trail. Linked to Ireland
28838	H881	"Riddles with ""none"" as answer."
28839	H881.1	Riddle: how many dead mice go to a feast?. (None.)
28840	H882	Riddle: bottom and top of staff. Of the two ends which is the top and which the bottom?
28841	H883	Riddle: where is the root of the floor?. Below. Linked to India
28842	H885	Riddles about flax. Referenced in Jewish religious texts
28843	H886	Riddles about naphtha. Referenced in Jewish religious texts
28844	H90	Identification by ornaments. Linked to India
28845	H900	Tasks imposed. A person's prowess is tested by assigning him certain tasks (usually impossible or extremely difficult) to be performed either to escape punishment or to receive a valuable reward. Linked to Ireland, Found in Brittany, Linked to Greece
28846	H901	Tasks imposed on pain of death. From the region of French-Canadian, Linked to Canada, Linked to China, Linked to France, Linked to Ireland, Linked to India, Linked to Iceland
28847	H901.0.1	Tasks imposed on pain of death of relative (friend, hostage, etc. ). Linked to Ireland
28848	H901.0.2	Bird must bring orphan to king or bird will be killed. Linked to China
28849	H901.1	Heads placed on stakes for failure in performance of task. Unsuccessful youths are beheaded and heads exposed. Hero sees them when he sets out to accomplish his task. Linked to Greece, Linked to India, Linked to Iceland, Linked to Japan, Linked to Ireland
28850	H902	Task assigned the Gods. Linked to India
28851	H91	Recognition through precious metal.
28852	H91.1	Recognition through gold found in eagle's nest. Found in England
28853	H91.2	Recognition by gold wrapped in mantle.
28854	H91.3	Identification by producing three golden apples. Linked to Germany
28855	H910	Assignment of tasks in response to suggestion.
28856	H911	Tasks assigned at suggestion of jealous rivals. From the region of Missouri French, Linked to Ireland, Linked to India, Linked to Iceland, From the region of French-Canadian, Linked to France, Linked to Canada, Linked to Italy, From the region of West Indies, In languages spoken in Spanish
28857	H911.1	Task (quest) assigned at suggestion of jealous co-wife. Associated with the tribe Africa (Ekoi)
28858	H912	Tasks assigned at suggestion of jealous brothers (sisters). In languages spoken in Spanish
28859	H913	Tasks assigned by jealous parent.
28860	H913.1	Tasks assigned by jealous mother.
28861	H913.1.1	Task assigned at suggestion of jealous mother  (of prospective bride). Linked to Ireland
28862	H913.1.2	Task suggested by jealous co-wife of mother. Linked to India
28863	H913.2	Tasks assigned at suggestion of jealous father.
28864	H913.2.1	Task assigned at suggestion of jealous father (of prospective bride). Linked to Ireland
28865	H914	Tasks assigned because of mother's foolish boasting. The mother foolishly boasts to the king that the daughter can perform an impossible task (often spinning). Linked to Italy
28866	H915	Tasks assigned because of girl's (boy's) own foolish boast. Linked to India, From the region of West Indies, Linked to Iceland, Linked to Italy
28867	H915.1	Tasks assigned because of man's boast. Linked to India, Linked to Iceland
28868	H916	Tasks imposed at suggestion of spouse (sweetheart).
28869	H916.1	Tasks imposed because of wife's foolish boast. Linked to India
28870	H916.1.1	Malicious wife reports that her husband is a famous doctor: he is commanded to cure the princess.
28871	H916.2	Task imposed because of girl's foolish boast. Linked to India
28872	H916.3	Tasks assigned at suggestion of wife and paramour. Linked to India
28873	H917	Tasks assigned at own unwitting suggestion. Jason thus sent for the Golden Fleece. Linked to Greece
28874	H918	Tasks assigned at suggestion contained in letter borne by the victim. Linked to Japan, Linked to Greece
28875	H919	Assignment of tasks in response to suggestion miscellaneous.
28876	H919.1	Tasks assigned at suggestion of treacherous servants. Linked to Italy, Linked to Iceland
28877	H919.1.1	Task upon suggestion of barber. Linked to India
28878	H919.2	Tasks assigned at suggestion of religious person. Linked to India
28879	H919.3	Task assigned at suggestion of parrot. Linked to India
28880	H919.4	Impossible task assigned by plaintiff as proof. Linked to Spanish Exempla, In languages spoken in Spanish
28881	H919.5	Task assigned at suggestion of treacherous soldier. Linked to Cheremis
28882	H919.6	Tasks assigned at instigation of queen (disguised ogress). Linked to India
28883	H92	Identification by necklace. Found in Hawaii, Linked to India, Linked to Italy, Referenced in Jewish religious texts
28884	H920	Assigners of tasks.
28885	H921	King (father) assigns tasks to his unknown son. Associated with the tribe So. Am. Indian (Tupinamba)
28886	H921.1	Task set by king to sons to determine heir to kingdom. Linked to India
28887	H922	Departing husband assigns his wife tasks. Linked to Iceland
28888	H923	Tasks assigned before man may rescue wife from spirit world. Linked to Indonesia
28889	H923.1	Task assigned before wife may rescue husband from supernatural power. Linked to Germany
28890	H924	Tasks assigned prisoner so that he may escape punishment. Linked to India, Linked to Iceland
28891	H924.1	Tasks assigned as ransom. Linked to Ireland, Linked to Iceland
28892	H927	Tasks set by deity.
28893	H927.1	Tasks as trial of prowess of mortal by gods. Linked to India
28894	H927.2	Task assigned by angel on God's order.
28895	H928	Tasks imposed as tribute. Linked to Ireland
28896	H928.1	Tasks imposed as fine. Linked to Ireland
28897	H93	Identification by jewel. Linked to France, Referenced in Hindu religious texts
28898	H93.0.1	Recognition by smell of jewels worn about neck. Linked to India
28899	H931	Tasks assigned in order to get rid of hero. Linked to Japan, Linked to Italy, Linked to India, Linked to Iceland, Linked to Greece, Linked to China, Referenced in Jewish religious texts
28900	H931.1	Prince envious of hero's wife assigns hero tasks. Linked to Indonesia, Linked to India, Linked to Japan, Linked to Italy, Referenced in Jewish religious texts
28901	H931.1.1	Husband assigns tasks for king who has stolen his wife. Linked to India
28902	H931.2	Disagreeable tasks set hero to do so that he will disobey and be killed. Linked to India
28903	H932	Tasks assigned to devil (ogre).
28904	H933	Princess sets hero tasks.
28905	H933.1	Princess throws handkerchief high in tree; asks hero to get it. In languages spoken in Spanish
28906	H933.2	Maiden queen sets hero three dangerous tasks in order to disenchant her sisters. Linked to Iceland
28907	H933.3	Princess orders hero to bring her rings of another princess. From the region of French-Canadian, Linked to Canada, Linked to France
28908	H933.4	Quest assigned by scorned princess. From the region of French-Canadian, Linked to Canada, Linked to France
28909	H933.5	Queen of Sea sets hero tasks. Linked to Tuamotu
28910	H934	Relative assigns tasks.
28911	H934.1	Wife assigns husband tasks. Linked to Ireland
28912	H934.2	Sisters-in-law impose tasks. Linked to India
28913	H934.3	Tasks assigned by stepmother. Linked to China
28914	H934.4	Task imposed by elder brothers. Linked to India, Linked to Ireland
28915	H935	Witch assigns tasks. Linked to Lithuania
28916	H936	Tasks assigned because of longings of pregnant woman. Linked to India, Linked to Japan, Linked to Italy, Linked to Ireland
28917	H937	Task assigned by dying child. Linked to Italy
28918	H938	Fairy assigns tasks. Linked to Ireland
28919	H939	Other assigners of tasks. Linked to Ireland
28920	H939.1	Tasks assigned by druid. Linked to Ireland
28921	H939.2	Tests imposed on woman by prospective paramour.
28922	H939.3	Tasks set by cruel sisters-in-law to get tigress. Linked to India
28923	H939.4	Giant assigns task. Linked to Canada, Linked to France, From the region of French-Canadian
28924	H939.4.1	Serpent-king assigns task. Linked to India
28925	H94	Identification by ring.
28926	H94.0.1	Recognition of wife's ring in friend's possession informs husband of her unfaithfulness.
28927	H94.1	Identification by ring baked in cake.
28928	H94.10	Recognition through gold ring with owner's name engraved on it. Linked to India
28929	H94.11	Recognition by earrings. From the region of Eskimo (Mackenzie Area)
28930	H94.2	Identification by ring baked in bread. Found in Brittany
28931	H94.3	Identification by ring dropped in pitcher of wine.
28932	H94.4	Identification by ring dropped in glass (cup) of wine. Linked to Ireland, Found in England
28933	H94.5	Identification through broken ring. Found in England, Linked to Iceland, Linked to Philippines
28934	H94.6	Recognition through arm-ring. Linked to Angola
28935	H94.7	Recognition by ring springing off finger. Linked to Italy
28936	H94.8	Recognition by medallion (plaque). Linked to Italy
28937	H94.9	Identification through ring concealed in garland. Linked to India
28938	H940	Assignment of tasks miscellaneous.
28939	H941	Cumulative tasks: second assigned so that first can be done. Linked to Greece, Linked to India
28940	H942	Tasks assigned as payment of gambling loss. Linked to Ireland, Linked to Iceland
28941	H945	Tasks voluntarily undertaken.
28942	H945.1	Warriors go towards strong enemy as consequence of own boast. Linked to Iceland
28943	H945.2	Hero goes north to fight with trolls. Linked to Iceland
28944	H946	Task assigned from misunderstanding.
28945	H946.1	"Task assigned from misunderstanding: search for prince named Sabr (""wait"")." Linked to India
28946	H95	Recognition by bracelet. Linked to China
28947	H950	Task evaded by subterfuge.
28948	H951	Countertasks. When a task is assigned, the hero agrees to perform it as soon as the assigner performs a certain other task. Linked to China, Linked to Japan, Linked to India
28949	H952	Reductio ad absurdum of task. When an impossible task is given, the hero responds with a countertask so absurd as to show the manifest absurdity of the original task. Linked to China, Linked to Indonesia, Linked to India
28950	H96	Identification by amulet. Referenced in Jewish religious texts
28951	H960	Tasks performed through cleverness or intelligence. Linked to Ireland
28952	H961	Tasks performed by cleverness. Associated with the tribe So. Am. Indian (Kʼicheʼ)
28953	H962	Tasks performed by close observation. Linked to India
28954	H962.1	Task: sitting on eggs without breaking them; hero perceives trick. Linked to Ireland
28955	H963	Tasks performed by means of secrets overheard from tree. Linked to Japan, Linked to China, Linked to India
28956	H970	Help in performing tasks. Linked to India
28957	H971	Task performed with help of old person. Located in Tonga
28958	H971.1	Tasks performed with help of old woman. Linked to Japan, Linked to Germany, Linked to Ireland, Linked to Italy, Found in Scotland
28959	H971.2	Task performed with help of little old men. Linked to Iceland
28960	H972	Tasks accomplished with help of grateful dead. Linked to India
28961	H972.1	Tasks performed by captive spirits of the dead. Associated with the tribe Africa (Fang)
28962	H973	Tasks performed by helpful forest spirits. Linked to Maori
28963	H973.1	Task performed by fairy. Linked to India, Linked to Ireland
